Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2p^63s	^2S	^1/_2	2.0	0.000000	0	L4714		L4714
2p^63p	^2P°	^1/_2	2.0	6.655835				
2p^63p	^2P°	^3/_2	4.0	6.684806				
2p^63d	^2D	^5/_2	6.0	14.376738				
2p^63d	^2D	^3/_2	4.0	14.377022				
2p^64s	^2S	^1/_2	2.0	15.642349				
2p^64p	^2P°	^1/_2	2.0	17.808269				
2p^64p	^2P°	^3/_2	4.0	17.818203				
2p^64d	^2D	^5/_2	6.0	20.554884				
2p^64d	^2D	^3/_2	4.0	20.555032				
2p^64f	^2F°	^5/_2	6.0	20.781332				
2p^64f	^2F°	^7/_2	8.0	20.781409				
2p^65s	^2S	^1/_2	2.0	21.156335				
2p^65p	^2P°	^1/_2	2.0	22.122926				
2p^65p	^2P°	^3/_2	4.0	22.127500				
2p^65d	^2D	^5/_2	6.0	23.417834				
2p^65d	^2D	^3/_2	4.0	23.417915				
2p^65f	^2F°	^5/_2	6.0	23.541636				
2p^65f	^2F°	^7/_2	8.0	23.541676				
2p^65g	^2G	^7/_2	8.0	23.548132				
2p^65g	^2G	^9/_2	10.0	23.548155				
2p^66s	^2S	^1/_2	2.0	23.741019				
2p^66p	^2P°	^1/_2	2.0	24.254002				
2p^66p	^2P°	^3/_2	4.0	24.256484				
2p^66d	^2D	^5/_2	6.0	24.967343				
2p^66d	^2D	^3/_2	4.0	24.967387				
2p^66f	^2F°	^5/_2	6.0	25.041232				
2p^66f	^2F°	^7/_2	8.0	25.041232				
2p^66g	^2G	^7/_2	8.0	25.045252				
2p^66g	^2G	^9/_2	10.0	25.045252				
2p^66h	^2H°	^11/_2	12.0	25.046012				
2p^66h	^2H°	^9/_2	10.0	25.046012				
2p^67s	^2S	^1/_2	2.0	25.159072				
2p^67p	^2P°	^1/_2	2.0	25.463347				
2p^67p	^2P°	^3/_2	4.0	25.464838				
2p^67d	^2D	^5/_2	6.0	25.898046				
2p^67d	^2D	^3/_2	4.0	25.898046				
2p^67f	^2F°	^5/_2	6.0	25.945336				
2p^67f	^2F°	^7/_2	8.0	25.945336				
2p^67g	^2G	^7/_2	8.0	25.947975				
2p^67g	^2G	^9/_2	10.0	25.947975				
2p^67h	^2H°	^9/_2	10.0	25.948462				
2p^67h	^2H°	^11/_2	12.0	25.948462				
2p^68s	^2S	^1/_2	2.0	26.020550				
2p^68d	^2D	^5/_2	6.0	26.500065				
2p^68d	^2D	^3/_2	4.0	26.500065				
2p^68f	^2F°	^7/_2	8.0	26.532058				
2p^68f	^2F°	^5/_2	6.0	26.532058				
2p^68g	^2G	^9/_2	10.0	26.533886				
2p^68g	^2G	^7/_2	8.0	26.533886				
2p^68h	^2H°	^11/_2	12.0	26.534222				
2p^68h	^2H°	^9/_2	10.0	26.534222				
2p^69f	^2F°	^7/_2	8.0	26.934242				
2p^69f	^2F°	^5/_2	6.0	26.934242				
2p^69g	^2G	^9/_2	10.0	26.935588				
2p^69g	^2G	^7/_2	8.0	26.935588				
2p^69h	^2H°	^11/_2	12.0	26.935834				
2p^69h	^2H°	^9/_2	10.0	26.935834				
