Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2p^63s^2	^1S	0	1.0	0.000000	0		94	L4714
3s3p	^3P°	0	1.0	4.636145				
3s3p	^3P°	1	3.0	4.643693				
3s3p	^3P°	2	5.0	4.659052				
3s3p	^1P°	1	3.0	7.420705			94	
3p^2	^1D	2	5.0	10.598337			52	
3s4s	^3S	1	3.0	11.316596				
3p^2	^3P	0	1.0	11.665048				
3p^2	^3P	1	3.0	11.672797				
3p^2	^3P	2	5.0	11.687827				
3s4s	^1S	0	1.0	11.821968				
3s3d	^3D	3	7.0	11.846618			99	
3s3d	^3D	2	5.0	11.846753			99	
3s3d	^3D	1	3.0	11.846869			99	
3s4p	^3P°	0	1.0	13.071347				
3s4p	^3P°	1	3.0	13.073080				
3s4p	^3P°	2	5.0	13.076729				
3s4p	^1P°	1	3.0	13.256460				
3s3d	^1D	2	5.0	13.649399			38	
3p^2	^1S	0	1.0	13.841265			91	
3s5s	^3S	1	3.0	14.8896243				
3s5s	^1S	0	1.0	15.0475561				
3s4d	^3D	3	7.0	15.062034			99	
3s4d	^3D	2	5.0	15.062086			99	
3s4d	^3D	1	3.0	15.0621276			99	
3s4f	^3F°	2	5.0	15.301941			96	
3s4f	^3F°	3	7.0	15.302186			96	
3s4f	^3F°	4	9.0	15.302546			96	
3s4f	^1F°	3	7.0	15.30839				
3s4d	^1D	2	5.0	15.472500			54	
3s5p	^3P°	0	1.0	15.585203				
3s5p	^3P°	1	3.0	15.5859083				
3s5p	^3P°	2	5.0	15.5875046				
3s5p	^1P°	1	3.0	15.6057689				
3s6s	^3S	1	3.0	16.3926349				
3s6s	^1S	0	1.0	16.4624524				
3s5d	^3D	2	5.0	16.467928				
3s5d	^3D	3	7.0	16.467940				
3s5d	^3D	1	3.0	16.467947				
3s5f	^3F°	2	5.0	16.544168			89	
3s5f	^3F°	3	7.0	16.544833			89	
3s5f	^3F°	4	9.0	16.545700			89	
3s5f	^1F°	3	7.0	16.574428				
