Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2s^22p^6	^1S	0	1.0	0.0000	0			L4714
2s^22p^5(^2P°)3s	^3P°	2	5.0	76.45414				
2s^22p^5(^2P°)3s	^3P°	1	3.0	76.68099				
2s^22p^5(^2P°)3s	^3P°	0	1.0	76.87765				
2s^22p^5(^2P°)3s	^1P°	1	3.0	77.45510				
2s^22p^5(^2P°)3p	^3S	1	3.0	83.27182			99	
2s^22p^5(^2P°)3p	^3D	3	7.0	84.41586			100	
2s^22p^5(^2P°)3p	^3D	2	5.0	84.51796			88	
2s^22p^5(^2P°)3p	^3D	1	3.0	84.67895			89	
2s^22p^5(^2P°)3p	^1D	2	5.0	85.01946			56	
2s^22p^5(^2P°)3p	^1P	1	3.0	85.17207			60	
2s^22p^5(^2P°)3p	^3P	2	5.0	85.28011			55	
2s^22p^5(^2P°)3p	^3P	0	1.0	85.33951			100	
2s^22p^5(^2P°)3p	^3P	1	3.0	85.38164			65	
2s^22p^5(^2P°)3p	^1S	0	1.0	88.53673			100	
2s^22p^5(^2P°)3d	^3P°	0	1.0	94.12799			100	
2s^22p^5(^2P°)3d	^3P°	1	3.0	94.17800			98	
2s^22p^5(^2P°)3d	^3P°	2	5.0	94.28655			95	
2s^22p^5(^2P°)3d	^3F°	4	9.0	94.43733			100	
2s^22p^5(^2P°)3d	^3F°	3	7.0	94.50974			76	
2s^22p^5(^2P°)3d	^3F°	2	5.0	94.67602			83	
2s^22p^5(^2P°)3d	^1F°	3	7.0	94.76076			62	
2s^22p^5(^2P°)3d	^3D°	1	3.0	95.08110			85	
2s^22p^5(^2P°)3d	^1D°	2	5.0	95.10031			50	
2s^22p^5(^2P°)3d	^3D°	3	7.0	95.13872			75	
2s^22p^5(^2P°)3d	^3D°	2	5.0	95.18894			57	
2s^22p^5(^2P°)3d	^1P°	1	3.0	95.57160			85	
2s^22p^5(^2P°_3/2)4s	^2[^3/_2]°	2	5.0	99.42073				
2s^22p^5(^2P°_3/2)4s	^2[^3/_2]°	1	3.0	99.54784				
2s^22p^5(^2P°_1/2)4s	^2[^1/_2]°	0	1.0	99.84568				
2s^22p^5(^2P°_1/2)4s	^2[^1/_2]°	1	3.0	99.96039				
