Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3s^23p	^2P°	^1/_2	2.0	0.0000000	0			L4714
3s^23p	^2P°	^3/_2	4.0	0.0138938				
3s^24s	^2S	^1/_2	2.0	3.1427212				
3s3p^2	^4P	^1/_2	2.0	3.598072				
3s3p^2	^4P	^3/_2	4.0	3.603844				
3s3p^2	^4P	^5/_2	6.0	3.613244				
3s^23d	^2D	^3/_2	4.0	4.0214836			73 | 3s^2nd	
3s^23d	^2D	^5/_2	6.0	4.0216502			73 | 3s^2nd	
3s^24p	^2P°	^1/_2	2.0	4.0852554				
3s^24p	^2P°	^3/_2	4.0	4.0872183				
3s^25s	^2S	^1/_2	2.0	4.6728909				
3s^2nd	y ^2D	^3/_2	4.0	4.8266321			73 | 3s^2nd	
3s^2nd	y ^2D	^5/_2	6.0	4.8271968			73 | 3s^2nd	
3s^25p	^2P°	^1/_2	2.0	4.9930889				
3s^25p	^2P°	^3/_2	4.0	4.9938210				
3s^24f	^2F°	^5/_2	6.0	5.1229514				
3s^24f	^2F°	^7/_2	8.0	5.1229524				
3s^26s	^2S	^1/_2	2.0	5.2252410				
3s^24d	^2D	^3/_2	4.0	5.2363166			81 | 3s^2nd	
3s^24d	^2D	^5/_2	6.0	5.2368177			81 | 3s^2nd	
3s^26p	^2P°	^1/_2	2.0	5.3728582				
3s^26p	^2P°	^3/_2	4.0	5.3732134				
3s^25f	^2F°	^5/_2	6.0	5.4343639				
3s^25f	^2F°	^7/_2	8.0	5.4343644				
3s^25g	^2G	^7/_2	8.0	5.4398996				
3s^25g	^2G	^9/_2	10.0	5.4398996				
3s^25d	^2D	^3/_2	4.0	5.4759355			87 | 3s^2nd	
3s^25d	^2D	^5/_2	6.0	5.4762391			87 | 3s^2nd	
3s^27s	^2S	^1/_2	2.0	5.4891689				
3s^27p	^2P°	^1/_2	2.0	5.5693288				
3s^27p	^2P°	^3/_2	4.0	5.5695298				
3s^26f	^2F°	^5/_2	6.0	5.6034263				
3s^26f	^2F°	^7/_2	8.0	5.6034263				
3s^26g	^2G	^7/_2	8.0	5.6067785				
3s^26g	^2G	^9/_2	10.0	5.6067785				
3s^26d	^2D	^3/_2	4.0	5.6219600			89 | 3s^2(^1S)6g	
3s^26d	^2D	^5/_2	6.0	5.6221371			89 | 3s^2(^1S)6g	
3s^28s	^2S	^1/_2	2.0	5.6359800				
3s^27f	^2F°	^5/_2	6.0	5.7052289				
3s^27f	^2F°	^7/_2	8.0	5.7052289				
3s^27g	^2G	^7/_2	8.0	5.7073982				
3s^27g	^2G	^9/_2	10.0	5.7073982				
3s^27h	^2H°	^9/_2	10.0	5.7078721				
3s^27h	^2H°	^11/_2	12.0	5.7078721				
3s^27d	^2D	^3/_2	4.0	5.7148562				
3s^27d	^2D	^5/_2	6.0	5.7149663				
3s^29s	^2S	^1/_2	2.0	5.7260732				
3s^28f	^2F°	^5/_2	6.0	5.7712093				
3s^28f	^2F°	^7/_2	8.0	5.7712093				
3s^28d	^2D	^3/_2	4.0	5.776835				
3s^28d	^2D	^5/_2	6.0	5.776914				
3s^210s	^2S	^1/_2	2.0	[5.785342]				
3s^29f	^2F°	^5/_2	6.0	[5.816394]				
3s^29f	^2F°	^7/_2	8.0	[5.816394]				
3s^29d	^2D	^3/_2	4.0	5.819939				
3s^29d	^2D	^5/_2	6.0	5.820010				
3s^211s	^2S	^1/_2	2.0	[5.826403]				
3s^210f	^2F°	^5/_2	6.0	[5.848678]				
3s^210f	^2F°	^7/_2	8.0	[5.848678]				
3s^210d	^2D	^3/_2	4.0	5.851109				
3s^210d	^2D	^5/_2	6.0	5.851109				
3s^212s	^2S	^1/_2	2.0	[5.856022]				
