Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p	^2P°	^1/_2	2.0	0.0000	0	L3465		L3465
4s^24p	^2P°	^3/_2	4.0	0.3645				
4s4p^2	^2D	^3/_2	4.0	10.5771				
4s4p^2	^2D	^5/_2	6.0	10.6171				
4s^25s	^2S	^1/_2	2.0	13.2284				
4s4p^2	^2S	^1/_2	2.0	13.3665				
4s4p^2	^2P	^1/_2	2.0	14.1263				
4s4p^2	^2P	^3/_2	4.0	14.3108				
4s^24d	^2D	^3/_2	4.0	14.5869				
4s^24d	^2D	^5/_2	6.0	14.5984				
4s^25p	^2P°	^1/_2	2.0	16.2987				
4s^25p	^2P°	^3/_2	4.0	16.3885				
4p^3	^2P°	^3/_2	4.0	20.0712				
4p^3	^2P°	^1/_2	2.0	20.0914				
4s^26s	^2S	^1/_2	2.0	20.19572				
4s^24f	^2F°	^7/_2	8.0	20.3467				
4s^24f	^2F°	^5/_2	6.0	20.3477				
4s^25d	^2D	^3/_2	4.0	20.5346				
4s^25d	^2D	^5/_2	6.0	20.5452				
4s^25g	^2G	^7/_2	8.0	23.4215				
4s^25g	^2G	^9/_2	10.0	23.4215				
