Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p^2	^3P	0	1.0	0.000000	0	L3465		L3465
4s^24p^2	^3P	1	3.0	0.131856				
4s^24p^2	^3P	2	5.0	0.315087				
4s^24p^2	^1D	2	5.0	1.251722				
4s^24p^2	^1S	0	1.0	2.80187				
4s4p^3	^5S°	2	5.0	6.796452				
4s4p^3	^3D°	1	3.0	9.143821				
4s4p^3	^3D°	2	5.0	9.157762				
4s4p^3	^3D°	3	7.0	9.205135				
4s^24p(^2P°_1/2)5s	11°	0	1.0	9.7613867				
4s^24p(^2P°_1/2)5s	11°	1	3.0	9.810663				
4s^24p(^2P°_3/2)5s	21°	2	5.0	10.1058187				
4s^24p(^2P°_3/2)5s	21°	1	3.0	10.2682739				
4s^24p(^2P°)4d	^1D°	2	5.0	10.3031866				
4s4p^3	^3P°	1	3.0	10.4935497				
4s4p^3	^3P°	0	1.0	10.4950672				
4s4p^3	^3P°	2	5.0	10.551782				
4s^24p(^2P°)4d	^3F°	2	5.0	11.0134101				
4s^24p(^2P°)4d	^3F°	3	7.0	11.1027421				
4s^24p(^2P°)4d	^3F°	4	9.0	11.2735634				
4s^24p(^2P°_1/2)5p	^2[^3/_2]	1	3.0	11.8194859				
4s^24p(^2P°_1/2)5p	^2[^1/_2]	1	3.0	12.0159505				
4s^24p(^2P°_1/2)5p	^2[^3/_2]	2	5.0	12.0407423				
4s^24p(^2P°_1/2)5p	^2[^3/_2]	0	1.0	12.1800118				
4s^24p(^2P°)4d	^3D°	1	3.0	12.2826195				
4s^24p(^2P°_3/2)5p	^2[^3/_2]	1	3.0	12.2968910				
4s^24p(^2P°_3/2)5p	^2[^5/_2]	3	7.0	12.2991085				
4s^24p(^2P°)4d	^3D°	2	5.0	12.3424803				
4s^24p(^2P°_3/2)5p	^2[^3/_2]	2	5.0	12.4307958				
4s^24p(^2P°)4d	^3D°	3	7.0	12.4469099				
4s^24p(^2P°_3/2)5p	^2[^1/_2]	1	3.0	12.5335505				
4s^24p(^2P°)4d	^1P°	1	3.0	12.5829385				
4s^24p(^2P°)4d	^3P°	2	5.0	12.6854930				
4s^24p(^2P°_3/2)5p	^2[^5/_2]	2	5.0	12.6950787				
4s^24p(^2P°)4d	^1F°	3	7.0	12.7067795				
4s^24p(^2P°)4d	^3P°	0	1.0	12.7145902				
4s^24p(^2P°)4d	^3P°	1	3.0	12.7201521				
4s^24p(^2P°_3/2)5p	^2[^1/_2]	0	1.0	13.1162798				
4s4p^3	^3S°	1	3.0	13.518742				
4s4p^3	^1D°	2	5.0	13.8281728				
4s^24p(^2P°_1/2)6s	11°	0	1.0	14.1960986				
4s^24p(^2P°_1/2)6s	11°	1	3.0	14.2211479				
4s^24p(^2P°_3/2)6s	21°	2	5.0	14.5539894				
4s^24p(^2P°_3/2)6s	21°	1	3.0	14.5985630				
4s^24p(^2P°_1/2)5d	12°	2	5.0	14.7407618				
4s4p^3	^1P°	1	3.0	14.7559509				
4s^24p(^2P°_1/2)5d	13°	3	7.0	14.8208308				
4s^24p(^2P°_1/2)5d	13°	2	5.0	14.9741092				
4s^24p(^2P°_1/2)6p	^2[^3/_2]	1	3.0	14.9741551				
4s^24p(^2P°_1/2)5d	12°	1	3.0	15.0466431				
4s^24p(^2P°_1/2)6p	^2[^1/_2]	1	3.0	15.052008				
4s^24p(^2P°_3/2)5d	23°	4	9.0	15.0570764				
4s^24p(^2P°_1/2)6p	^2[^3/_2]	2	5.0	15.060626				
4s^24p(^2P°_1/2)4f	^2[^7/_2]	3	7.0	15.0667256				
4s^24p(^2P°_1/2)4f	^2[^5/_2]	3	7.0	15.0728054				
4s^24p(^2P°_1/2)4f	^2[^5/_2]	2	5.0	15.0795881				
4s^24p(^2P°_1/2)4f	^2[^7/_2]	4	9.0	15.0798836				
4s^24p(^2P°_1/2)6p	^2[^1/_2]	0	1.0	15.103301				
4s^24p(^2P°_3/2)5d	22°	3	7.0	15.2305811				
4s^24p(^2P°_3/2)5d	22°	2	5.0	15.2783315				
4s^24p(^2P°_3/2)5d	22°	1	3.0	15.3120155				
