Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^104s^2	^1S	0	1.0	0.0000	0	L3465		L3465
3d^104s4p	^3P°	0	1.0	9.3995				
3d^104s4p	^3P°	1	3.0	9.5421				
3d^104s4p	^3P°	2	5.0	9.8558				
3d^104s4p	^1P°	1	3.0	13.8890				
3d^104s4d	^1D	2	5.0	22.2630				
3d^104p^2	^3P	0	1.0	22.3090				
3d^104p^2	^3P	1	3.0	22.4992				
3d^104p^2	^3P	2	5.0	22.8619				
3d^104p^2	^1D	2	5.0	25.3744				
3d^104s4d	^3D	1	3.0	26.11070				
3d^104s4d	^3D	2	5.0	26.12717				
3d^104s4d	^3D	3	7.0	26.15231				
3d^104p^2	^1S	0	1.0	26.2453				
3d^104s5s	^3S	1	3.0	27.29234				
3d^104s5s	^1S	0	1.0	28.44452				
3d^104s5p	^3P°	0	1.0	31.14632				
3d^104s5p	^3P°	1	3.0	31.17792				
3d^104s5p	^3P°	2	5.0	31.27935				
3d^104s5p	^1P°	1	3.0	31.49693				
3d^104s4f	^3F°	2	5.0	35.2680				
3d^104s4f	^3F°	3	7.0	35.3020				
3d^104s4f	^3F°	4	9.0	35.3532				
3d^104s4f	^1F°	3	7.0	35.4260				
3d^104s5d	^1D	2	5.0	36.43082				
3d^104s5d	2	2	5.0	36.52729				
3d^104s5d	^3D	1	3.0	36.64735				
3d^104s5d	^3D	2	5.0	36.65456				
3d^104s5d	^3D	3	7.0	36.66587				
3d^104s5d	3	0	1.0	36.9406				
3d^104s5d	1	2	5.0	36.9618				
3d^104s6s	^3S	1	3.0	37.05579				
3d^104s6s	^1S	0	1.0	37.28191				
