Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p^3	^4S°	^3/_2	4.0	0.00000	0	L3465		L3465
4s^24p^3	^2D°	^3/_2	4.0	1.31330				
4s^24p^3	^2D°	^5/_2	6.0	1.35324				
4s^24p^3	^2P°	^1/_2	2.0	2.25479				
4s^24p^3	^2P°	^3/_2	4.0	2.31200				
4s^24p^2(^3P)5s	^4P	^1/_2	2.0	6.28523				
4s^24p^2(^3P)5s	^4P	^3/_2	4.0	6.39885				
4s^24p^2(^3P)5s	^4P	^5/_2	6.0	6.55850				
4s^24p^2(^3P)5s	^2P	^1/_2	2.0	6.58797				
4s^24p^2(^3P)5s	^2P	^3/_2	4.0	6.77019				
4s4p^4	^4P	^5/_2	6.0	6.86456				
4s4p^4	^4P	^3/_2	4.0	7.05019				
4s4p^4	^4P	^1/_2	2.0	7.12762				
4s^24p^2(^3P)5p	^2S°	^1/_2	2.0	7.457333				
4s^24p^2(^3P)5p	^4D°	^1/_2	2.0	7.53719				
4s^24p^2(^1D)5s	^2D	^5/_2	6.0	7.54010				
4s^24p^2(^1D)5s	^2D	^3/_2	4.0	7.54255				
4s^24p^2(^3P)5p	^4D°	^3/_2	4.0	7.54573				
4s^24p^2(^3P)5p	^4D°	^5/_2	6.0	7.64797				
4s^24p^2(^3P)5p	^4P°	^3/_2	4.0	7.69028				
4s^24p^2(^3P)5p	^4P°	^1/_2	2.0	7.73637				
4s^24p^2(^3P)5p	^2D°	^3/_2	4.0	7.75576				
4s^24p^2(^3P)4d	^4P	^5/_2	6.0	7.78014				
4s^24p^2(^3P)5p	^4D°	^7/_2	8.0	7.79504				
4s^24p^2(^3P)5p	^4P°	^5/_2	6.0	7.84607				
4s^24p^2(^3P)4d	^4P	^3/_2	4.0	7.87344				
4s^24p^2(^3P)5p	^4S°	^3/_2	4.0	7.89122				
4s^24p^2(^3P)5p	21	^3/_2	4.0	7.9326				
4s^24p^2(^3P)4d	^4P	^1/_2	2.0	7.93272				
4s^24p^2(^3P)4d	^2P	^1/_2	2.0	7.95011				
4s^24p^2(^3P)5p	^2D°	^5/_2	6.0	7.95597				
4s^24p^2(^3P)5p	^2P°	^1/_2	2.0	7.97513				
4s^24p^2(^3P)4d	^2D	^3/_2	4.0	7.97744				
4s^24p^2(^3P)4d	^2F	^5/_2	6.0	8.01428				
4s^24p^2(^3P)5p	^2P°	^3/_2	4.0	8.02024				
4s4p^4	^2P	^3/_2	4.0	8.03560				
4s4p^4	^2P	^1/_2	2.0	8.12064				
4s^24p^2(^3P)4d	^2P	^3/_2	4.0	8.24311				
4s4p^4	^2S	^1/_2	2.0	8.25590				
4s^24p^2(^3P)4d	^2D	^5/_2	6.0	8.27290				
4s^24p^2(^3P)4d	^2F	^7/_2	8.0	8.28031				
4s^24p^2(^3P)6s	^4P	^1/_2	2.0	8.30803				
4s^24p^2(^3P)6s	^4P	^3/_2	4.0	8.42102				
4s4p^4	^2D	^3/_2	4.0	8.46820				
4s^24p^2(^3P)6s	^2P	^1/_2	2.0	8.46992				
4s4p^4	^2D	^5/_2	6.0	8.48085				
4s^24p^2(^3P)6s	^2P	^3/_2	4.0	8.59395				
4s^24p^2(^3P)6s	1	^1/_2	2.0	8.63485				
4s^24p^2(^3P)6s	1	^3/_2	4.0	8.63485				
4s^24p^2(^3P)6s	2	^3/_2	4.0	8.64149				
4s^24p^2(^3P)6s	2	^5/_2	6.0	8.64149				
4s^24p^2(^3P)6p	^4D°	^1/_2	2.0	8.66420				
4s^24p^2(^3P)6p	^4D°	^3/_2	4.0	8.67065				
4s^24p^2(^1D)5p	^2D°	^5/_2	6.0	8.72559				
4s^24p^2(^1D)5p	^2D°	^3/_2	4.0	8.74294				
4s^24p^2(^3P)6p	^2S°	^1/_2	2.0	8.776947				
4s^24p^2(^1D)5p	^2F°	^5/_2	6.0	8.78073				
4s^24p^2(^1D)5p	^2F°	^7/_2	8.0	8.79389				
4s^24p^2(^3P)6p	^4P°	^3/_2	4.0	8.80956				
4s^24p^2(^3P)6p	3	^3/_2	4.0	8.80972				
4s^24p^2(^3P)6p	^4D°	^5/_2	6.0	8.81912				
4s^24p^2(^3P)6p	^4P°	^1/_2	2.0	8.82756				
4s^24p^2(^3P)6p	^2D°	^3/_2	4.0	8.87992				
4s^24p^2(^1D)5p	^2P°	^1/_2	2.0	8.90159				
4s^24p^2(^1D)4d	22	^3/_2	4.0	8.9174				
4s^24p^2(^1D)4d	^2P	^1/_2	2.0	8.91749				
4s^24p^2(^1D)5p	^2P°	^3/_2	4.0	8.91839				
4s^24p^2(^1D)4d	^2P	^3/_2	4.0	8.94236				
4s^24p^2(^1D)4d	23	^3/_2	4.0	8.9424				
4s^24p^2(^1D)4d	26°	^7/_2	8.0	8.96922				
4s^24p^2(^3P)6p	^4D°	^7/_2	8.0	8.97431				
4s^24p^2(^1S)5s	^2S	^1/_2	2.0	8.97638				
4s^24p^2(^3P)6p	^4P°	^5/_2	6.0	8.98909				
4s^24p^2(^3P)6p	4	^3/_2	4.0	8.99126				
4s^24p^2(^3P)6p	^4S°	^3/_2	4.0	9.00377				
4s^24p^2(^3P)6p	5	^3/_2	4.0	9.02345				
4s^24p^2(^3P)6p	^2P°	^1/_2	2.0	9.02612				
4s^24p^2(^3P)6p	^2D°	^5/_2	6.0	9.04395				
4s^24p^2(^3P)6p	^2P°	^3/_2	4.0	9.08120				
4s^24p^2(^3P)6p	6	^3/_2	4.0	9.12102				
4s^24p^2(^3P)6p	6	^5/_2	6.0	9.12102				
4s^24p^2(^3P)6p	7	^3/_2	4.0	9.12958				
4s^24p^2(^3P)6p	8	^3/_2	4.0	9.18099				
4s^24p^2(^3P)6p	8	^5/_2	6.0	9.18099				
4s^24p^2(^3P)6p	9	^1/_2	2.0	9.19266				
4s^24p^2(^3P)6p	9	^3/_2	4.0	9.19266				
4s^24p^2(^1D)4d	24	^5/_2	6.0	9.2310				
4s^24p^2(^1S)4d	^2D	^5/_2	6.0	9.23101				
4s^24p^2(^1S)4d	^2D	^3/_2	4.0	9.27532				
4s^24p^2(^1S)4d	10	^1/_2	2.0	9.30948				
4s^24p^2(^1S)4d	10	^3/_2	4.0	9.30948				
4s^24p^2(^1D)4d	25	^7/_2	8.0	9.3206				
4s^24p^2(^1D)4d	11	^3/_2	4.0	9.32069				
4s^24p^2(^1D)4d	11	^5/_2	6.0	9.32069				
4s^24p^2(^1D)4d	12	^5/_2	6.0	9.37056				
4s^24p^2(^1D)4d	12	^3/_2	4.0	9.37056				
4s^24p^2(^1D)4d	13	^1/_2	2.0	9.39793				
4s^24p^2(^1D)4d	13	^3/_2	4.0	9.39793				
4s^24p^2(^1D)4d	14	^3/_2	4.0	9.43225				
4s^24p^2(^1D)4d	15	^3/_2	4.0	9.52640				
4s^24p^2(^1D)4d	15	^5/_2	6.0	9.52640				
4s^24p^2(^1D)4d	16	^3/_2	4.0	9.56187				
4s^24p^2(^1D)4d	16	^5/_2	6.0	9.56187				
4s^24p^2(^1D)4d	17	^3/_2	4.0	9.58057				
4s^24p^2(^1D)4d	17	^5/_2	6.0	9.58057				
