Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
1s^22s	^2S	^1/_2	2.0	0.0000000	0.0000015		100	L12547
1s^22p	^2P°	^1/_2	2.0	5.9956694	0.0000015		100	L12547
1s^22p	^2P°	^3/_2	4.0	5.9998973	0.0000015		100	L12547
1s^23s	^2S	^1/_2	2.0	22.34219	0.00007		100	L12547
1s^23p	^2P°	^1/_2	2.0	23.922904	0.000006		100	L12547
1s^23p	^2P°	^3/_2	4.0	23.924145	0.000006		100	L12547
1s^23d	^2D	^3/_2	4.0	24.30943	0.00004		100	L12547
1s^23d	^2D	^5/_2	6.0	24.30979	0.00004		100	L12547
1s^24s	^2S	^1/_2	2.0	29.470829	0.000016		100	L12547
1s^24p	^2P°	^1/_2	2.0	30.10705	0.00004		100	L12547
1s^24p	^2P°	^3/_2	4.0	30.10754	0.00004		100	L12547
1s^24d	^2D	^3/_2	4.0	30.269704	0.000017		100	L12547
1s^24d	^2D	^5/_2	6.0	30.269857	0.000017		100	L12547
1s^24f	^2F°	^5/_2	6.0	30.27683	0.00003		100	L12547
1s^24f	^2F°	^7/_2	8.0	30.27691	0.00003		100	L12547
1s^25s	^2S	^1/_2	2.0	32.62765	0.00005		100	L12547
1s^25p	^2P°	^1/_2	2.0	32.94528	0.00003		100	L12547
1s^25p	^2P°	^3/_2	4.0	32.94555	0.00003		100	L12547
1s^25d	^2D	^3/_2	4.0	33.02832	0.00004		100	L12547
1s^25d	^2D	^5/_2	6.0	33.02840	0.00004		100	L12547
1s^25f	^2F°	^5/_2	6.0	33.03217	0.00003		100	L12547
1s^25f	^2F°	^7/_2	8.0	33.03220	0.00003		100	L12547
1s^25g	^2G	^7/_2,^9/_2	18.0	33.03273	0.00004		100	L12547
1s^26s	^2S	^1/_2	2.0	[34.29779]	0.00005		100	L12547
1s^26p	^2P°	^1/_2	2.0	[34.47878]	0.00005		100	L12547
1s^26p	^2P°	^3/_2	4.0	[34.47878]	0.00005		100	L12547
1s^26d	^2D	^3/_2	4.0	[34.52668]	0.00005		100	L12547
1s^26d	^2D	^5/_2	6.0	[34.52668]	0.00005		100	L12547
1s^26f	^2F°	^5/_2	6.0	[34.52900]	0.00005		100	L12547
1s^26f	^2F°	^7/_2	8.0	[34.52900]	0.00005		100	L12547
1s^26g	^2G	^7/_2,^9/_2	18.0	[34.52924]	0.00005		100	L12547
1s^26h	^2H°	^9/_2,^11/_2	22.0	[34.52930]	0.00005		100	L12547
1s^27s	^2S	^1/_2	2.0	[35.28713]	0.00005		100	L12547
1s^27p	^2P°	^1/_2	2.0	[35.39988]	0.00005		100	L12547
1s^27p	^2P°	^3/_2	4.0	[35.39988]	0.00005		100	L12547
1s^27d	^2D	^3/_2,^5/_2	10.0	[35.43000]	0.00005		100	L12547
1s^27f	^2F°	^5/_2	6.0	[35.43149]	0.00005		100	L12547
1s^27f	^2F°	^7/_2	8.0	[35.43149]	0.00005		100	L12547
1s^27g	^2G	^7/_2,^9/_2	18.0	[35.43164]	0.00005		100	L12547
1s^27h	^2H°	^9/_2,^11/_2	22.0	[35.43168]	0.00005		100	L12547
1s^28s	^2S	^1/_2	2.0	[35.92112]	0.00005		100	L12547
1s^28p	^2P°	^1/_2	2.0	[35.99607]	0.00005		100	L12547
1s^28p	^2P°	^3/_2	4.0	[35.99607]	0.00005		100	L12547
1s^28d	^2D	^3/_2,^5/_2	10.0	[36.01622]	0.00005		100	L12547
1s^28f	^2F°	^5/_2	6.0	[36.01723]	0.00005		100	L12547
1s^28f	^2F°	^7/_2	8.0	[36.01723]	0.00005		100	L12547
1s^28g	^2G	^7/_2,^9/_2	18.0	[36.01733]	0.00005		100	L12547
1s^28h	^2H°	^9/_2,^11/_2	22.0	[36.01736]	0.00005		100	L12547
1s^29s	^2S	^1/_2	2.0	[36.35163]	0.00005		100	L12547
1s^29p	^2P°	^1/_2	2.0	[36.40395]	0.00005		100	L12547
1s^29p	^2P°	^3/_2	4.0	[36.40395]	0.00005		100	L12547
1s^29d	^2D	^3/_2,^5/_2	10.0	[36.41809]	0.00005		100	L12547
1s^29f	^2F°	^5/_2	6.0	[36.41881]	0.00005		100	L12547
1s^29f	^2F°	^7/_2	8.0	[36.41881]	0.00005		100	L12547
1s^29g	^2G	^7/_2,^9/_2	18.0	[36.41888]	0.00005		100	L12547
1s^29h	^2H°	^9/_2,^11/_2	22.0	[36.41890]	0.00005		100	L12547
1s^210d	^2D	^3/_2,^5/_2	10.0	[36.70553]	0.00005		100	L12547
1s^210f	^2F°	^5/_2,^7/_2	14.0	[36.70605]	0.00005		100	L12547
1s^210g	^2G	^7/_2,^9/_2	18.0	[36.70611]	0.00005		100	L12547
1s^210h	^2H°	^9/_2,^11/_2	22.0	[36.70612]	0.00005		100	L12547
1s^211d	^2D	^3/_2,^5/_2	10.0	[36.91819]	0.00005		100	L12547
1s^211f	^2F°	^5/_2,^7/_2	14.0	[36.91858]	0.00005		100	L12547
