Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
1s^22s^2	^1S	0	1.0	0.000000	0		93	L12120
1s^22s2p	^3P°	0	1.0	4.629017	0.000005		100	L12120
1s^22s2p	^3P°	1	3.0	4.629775	0.000004		100	L12120
1s^22s2p	^3P°	2	5.0	4.631777	0.000004		100	L12120
1s^22s2p	^1P°	1	3.0	9.100007	0.000004		97	L12120
1s^22p^2	^3P	0	1.0	12.263448	0.000005		100	L12120
1s^22p^2	^3P	1	3.0	12.264501	0.000004		100	L12120
1s^22p^2	^3P	2	5.0	12.266161	0.000004		100	L12120
1s^22p^2	^1D	2	5.0	12.691366	0.000004		94	L12120
1s^22p^2	^1S	0	1.0	15.827970	0.000004		80	L12120
1s^22s3s	^3S	1	3.0	16.089904	0.000022		98	L12120
1s^22s3s	^1S	0	1.0	17.062984	0.000020		81	L12120
1s^22s3p	^3P°	0	1.0	17.852479	0.000022		99	L12120
1s^22s3p	^3P°	1	3.0	17.852554	0.000022		99	L12120
1s^22s3p	^3P°	2	5.0	17.852994	0.000022		99	L12120
1s^22s3p	^1P°	1	3.0	17.866488	0.000009		91	L12120
1s^22s3d	^3D	3	7.0	18.678180	0.000020		98	L12120
1s^22s3d	^3D	2	5.0	18.678180	0.000020		98	L12120
1s^22s3d	^3D	1	3.0	18.678180	0.000020		98	L12120
1s^22s3d	^1D	2	5.0	19.178635	0.000009		94	L12120
1s^22s4s	^3S	1	3.0	20.624138	0.000022		99	L12120
1s^22s4s	^1S	0	1.0	20.821325	0.000011		97	L12120
1s^22s4p	^1P°	1	3.0	21.150629	0.000011		87	L12120
1s^22s4p	^3P°	2	5.0	21.268988	0.000021		99	L12120
1s^22s4p	^3P°	1	3.0	21.268988	0.000021		99	L12120
1s^22s4p	^3P°	0	1.0	21.268988	0.000021		99	L12120
1s^22s4d	^3D	3	7.0	21.582342	0.000022		99	L12120
1s^22s4d	^3D	2	5.0	21.582342	0.000022		99	L12120
1s^22s4d	^3D	1	3.0	21.582342	0.000022		99	L12120
1s^22s4f	^3F°	4	9.0	21.685249	0.000020		98	L12120
1s^22s4f	^3F°	3	7.0	21.685249	0.000020		98	L12120
1s^22s4f	^3F°	2	5.0	21.685249	0.000020		98	L12120
1s^22s4f	^1F°	3	7.0	21.687550	0.000010		99	L12120
1s^22s4d	^1D	2	5.0	21.765055	0.000015		96	L12120
1s^22s5s	^3S	1	3.0	22.428384	0.000025		99	L12120
1s^22s5s	^1S	0	1.0	22.509583	0.000020		98	L12120
1s^22p3s	^3P°	0	1.0	22.52122	0.00004		90	L12120
1s^22p3s	^3P°	1	3.0	22.52242	0.00004		90	L12120
1s^22p3s	^3P°	2	5.0	22.52505	0.00004		90	L12120
1s^22s5p	^1P°	1	3.0	22.53607	0.00007		75	L12120
1s^22s5p	^3P°	0	1.0	22.76583	0.00003		92	L12120
1s^22s5p	^3P°	1	3.0	22.76583	0.00003		92	L12120
1s^22s5p	^3P°	2	5.0	22.76583	0.00003		92	L12120
1s^22s5d	^3D	1	3.0	22.89166	0.00003		99	L12120
1s^22s5d	^3D	2	5.0	22.89166	0.00003		99	L12120
1s^22s5d	^3D	3	7.0	22.89166	0.00003		99	L12120
1s^22s5f	^3F°	2	5.0	22.925767	0.000022		97	L12120
1s^22s5f	^3F°	3	7.0	22.925767	0.000022		97	L12120
1s^22s5f	^3F°	4	9.0	22.925767	0.000022		97	L12120
1s^22s5f	^1F°	3	7.0	22.93189	0.00004		99	L12120
1s^22s5g	^3G	3	7.0	22.96954	0.00004		100	L12120
1s^22s5g	^1G	4	9.0	22.96954	0.00004		100	L12120
1s^22s5g	^3G	4	9.0	22.96954	0.00004		100	L12120
1s^22s5g	^3G	5	11.0	22.96954	0.00004		100	L12120
1s^22s5d	^1D	2	5.0	22.977146	0.000012		97	L12120
1s^22p3s	^1P°	1	3.0	23.139161	0.000019		44 | 1s^22s6p | ^1P°	L12120
1s^22s6s	^3S	1	3.0	23.33018	0.00004		98	L12120
1s^22s6s	^1S	0	1.0	23.377	0.009		99	L12120
1s^22p3p	^1P	1	3.0	23.448881	0.000024		99	L12120
1s^22s6p	^3P°	0,1,2	9.0	23.52507	0.00007		98	L12120
