Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
1s^2	^1S	0	1.0	0.000000	0.000009		100	L12548
1s2s	^3S	1	3.0	[198.5676]	0.0012		100	L12548c207
1s2s	^1S	0	1.0	[202.8052]	0.0014		100	L12548c207
1s2p	^3P°	1	3.0	[202.9538]	0.0012		100	L12548c207
1s2p	^3P°	0	1.0	[202.9558]	0.0012		100	L12548c207
1s2p	^3P°	2	5.0	[202.9604]	0.0012		100	L12548c207
1s2p	^1P°	1	3.0	[205.5652]	0.0012		100	L12548c207
1s3s	^3S	1	3.0	[233.4329]	0.0010		100	L12548c207
1s3s	^1S	0	1.0	[234.5527]	0.0016		99	L12548c207
1s3p	^3P°	0	1.0	[234.6087]	0.0005		100	L12548c207
1s3p	^3P°	1	3.0	[234.6087]	0.0005		100	L12548c207
1s3p	^3P°	2	5.0	[234.6087]	0.0005		100	L12548c207
1s3d	^3D	1	3.0	[235.1615]	0.0005		100	L12548c207
1s3d	^3D	2	5.0	[235.1615]	0.0005		100	L12548c207
1s3d	^3D	3	7.0	[235.1615]	0.0005		100	L12548c207
1s3d	^1D	2	5.0	[235.1796]	0.0006		100	L12548c207
1s3p	^1P°	1	3.0	[235.3519]	0.0012		100	L12548c207
1s4s	^3S	1	3.0	[245.04952]	0.00017		100	L12548c207
1s4s	^1S	0	1.0	[245.5020]	0.0012		99	L12548c207
1s4p	^3P°	0	1.0	[245.52736]	0.00012		100	L12548c207
1s4p	^3P°	1	3.0	[245.52736]	0.00012		100	L12548c207
1s4p	^3P°	2	5.0	[245.52736]	0.00012		100	L12548c207
1s4d	^3D	1	3.0	[245.75662]	0.00014		100	L12548c207
1s4d	^3D	2	5.0	[245.75662]	0.00014		100	L12548c207
1s4d	^3D	3	7.0	[245.75662]	0.00014		100	L12548c207
1s4d	^1D	2	5.0	[245.7663]	0.0011		100	L12548c207
1s4f	^3F°	2	5.0	[245.7682]	0.0025		100	L12548c207
1s4f	^3F°	3	7.0	[245.7682]	0.0025		70	L12548c207
1s4f	^3F°	4	9.0	[245.7682]	0.0025		100	L12548c207
1s4f	^1F°	3	7.0	[245.76842]	0.00021		70	L12548c207
1s4p	^1P°	1	3.0	[245.8357]	0.0012		100	L12548c207
1s5s	^3S	1	3.0	[250.30375]	0.00014		100	L12548c207
1s5s	^1S	0	1.0	[250.5302]	0.0012		99	L12548c207
