Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2s^22p	^2P°	^1/_2	2.0	0.00000000	0.00000000		95	L12312
2s^22p	^2P°	^3/_2	4.0	0.0018953	0.0000004		95	L12312
2s^23s	^2S	^1/_2	2.0	4.9642890	0.0000003		95	L12312
2s2p^2	^2D	^5/_2	6.0	5.9334881	0.0000005		79	L12312
2s2p^2	^2D	^3/_2	4.0	5.9335273	0.0000005		79	L12312
2s^23p	^2P°	^1/_2	2.0	6.0271033	0.0000004		91	L12312
2s^23p	^2P°	^3/_2	4.0	6.0273243	0.0000003		91	L12312
2s^23d	^2D	^3/_2	4.0	6.79032869	0.00000025		88	L12312
2s^23d	^2D	^5/_2	6.0	6.7903466	0.0000004		88	L12312
2s^24s	^2S	^1/_2	2.0	6.8203997	0.0000003		95	L12312
2s^24p	^2P°	^1/_2	2.0	7.1646047	0.0000004		92	L12312
2s^24p	^2P°	^3/_2	4.0	7.1646833	0.0000004		92	L12312
2s^24d	^2D	^3/_2	4.0	7.438240	0.000016		93	L12312
2s^24d	^2D	^5/_2	6.0	7.438240	0.000016		93	L12312
2s^24f	^2F°	^5/_2	6.0	7.4429049	0.0000004		92	L12312
2s^24f	^2F°	^7/_2	8.0	7.4429055	0.0000004		92	L12312
2s^25s	^2S	^1/_2	2.0	7.4572049	0.0000012		86	L12312
2s^25p	^2P°	^1/_2,^3/_2	6.0	7.61679	0.00014		92	L12312
2s^26s	^2S	^1/_2	2.0	7.746801	0.000017		77	L12312
2s^25d	^2D	^3/_2	4.0	7.747215	0.000017		94	L12312
2s^25d	^2D	^5/_2	6.0	7.747215	0.000017		94	L12312
2s^25f	^2F°	^5/_2	6.0	7.7510655	0.0000004		92	L12312
2s^25f	^2F°	^7/_2	8.0	7.7510655	0.0000004		92	L12312
2s^26p	^2P°	^1/_2,^3/_2	6.0	7.84364	0.00014		92	L12312
2s2p^2	^2S	^1/_2	2.0	7.880515	0.000017		35	L12312
2s^26d	^2D	^3/_2	4.0	7.915811	0.000017		95	L12312
2s^26d	^2D	^5/_2	6.0	7.915811	0.000017		95	L12312
2s^26f	^2F°	^5/_2	6.0	7.918415	0.000004		92	L12312
2s^26f	^2F°	^7/_2	8.0	7.918415	0.000004		92	L12312
2s^27s	^2S	^1/_2	2.0	7.954332	0.000019		58	L12312
2s^27p	^2P°	^1/_2,^3/_2	6.0	7.97322	0.00015		92	L12312
2s^27d	^2D	^3/_2	4.0	8.017482	0.000019		95	L12312
2s^27d	^2D	^5/_2	6.0	8.017482	0.000019		95	L12312
2s^27f	^2F°	^5/_2	6.0	8.019266	0.000004		92	L12312
2s^27f	^2F°	^7/_2	8.0	8.019266	0.000004		92	L12312
2s^28s	^2S	^1/_2	2.0	8.033195	0.000019		83	L12312
2s^28p	^2P°	^1/_2,^3/_2	6.0	8.05455	0.00015		92	L12312
2s^28d	^2D	^3/_2	4.0	8.083434	0.000019		95	L12312
2s^28d	^2D	^5/_2	6.0	8.083434	0.000019		95	L12312
2s^28f	^2F°	^5/_2	6.0	8.084685	0.000006		92	L12312
2s^28f	^2F°	^7/_2	8.0	8.084685	0.000006		92	L12312
2s^29s	^2S	^1/_2	2.0	8.092472	0.000019		95	L12312
