Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
1s^2	^1S	0	1.0	0.000000	0.000004	L11891		L11891
1s2s	^3S	1	3.0	[118.593204]	0.000025	L11891c206		L11891c206
1s2s	^1S	0	1.0	[121.65187]	0.00006	L11891c206		L11891c206
1s2p	^3P°	1	3.0	[121.92256]	0.00004	L11891c206		L11891c206
1s2p	^3P°	0	1.0	[121.92399]	0.00004	L11891c206		L11891c206
1s2p	^3P°	2	5.0	[121.92440]	0.00004	L11891c206		L11891c206
1s2p	^1P°	1	3.0	[123.66994]	0.00006	L11891c206		L11891c206
1s3s	^3S	1	3.0	[139.01100]	0.00011	L11891c206		L11891c206
1s3s	^1S	0	1.0	[139.8190]	0.0006	L11891c206		L11891c206
1s3p	^3P°	0	1.0	[139.89327]	0.00009	L11891c206		L11891c206
1s3p	^3P°	1	3.0	[139.89327]	0.00009	L11891c206		L11891c206
1s3p	^3P°	2	5.0	[139.89327]	0.00009	L11891c206		L11891c206
1s3d	^3D	1	3.0	[140.27499]	0.00012	L11891c206		L11891c206
1s3d	^3D	2	5.0	[140.27499]	0.00012	L11891c206		L11891c206
1s3d	^3D	3	7.0	[140.27499]	0.00012	L11891c206		L11891c206
1s3d	^1D	2	5.0	[140.28465]	0.00014	L11891c206		L11891c206
1s3p	^1P°	1	3.0	[140.40043]	0.00012	L11891c206		L11891c206
1s4s	^3S	1	3.0	[145.72002]	0.00010	L11891c206		L11891c206
1s4s	^1S	0	1.0	[146.0459]	0.0007	L11891c206		L11891c206
1s4p	^3P°	0	1.0	[146.07681]	0.00006	L11891c206		L11891c206
1s4p	^3P°	1	3.0	[146.07681]	0.00006	L11891c206		L11891c206
1s4p	^3P°	2	5.0	[146.07681]	0.00006	L11891c206		L11891c206
1s4d	^3D	1	3.0	[146.23531]	0.00006	L11891c206		L11891c206
1s4d	^3D	2	5.0	[146.23531]	0.00006	L11891c206		L11891c206
1s4d	^3D	3	7.0	[146.23531]	0.00006	L11891c206		L11891c206
1s4d	^1D	2	5.0	[146.24078]	0.00007	L11891c206		L11891c206
1s4f	^1F°	3	7.0	[146.24260]	0.00010	L11891c206		L11891c206
1s4f	^3F°	2	5.0	[146.24260]	0.00010	L11891c206		L11891c206
1s4f	^3F°	3	7.0	[146.24260]	0.00010	L11891c206		L11891c206
1s4f	^3F°	4	9.0	[146.24260]	0.00010	L11891c206		L11891c206
1s4p	^1P°	1	3.0	[146.2883]	0.0003	L11891c206		L11891c206
1s5s	^3S	1	3.0	[148.73469]	0.00007	L11891c206		L11891c206
1s5s	^1S	0	1.0	[148.89757]	0.00020	L11891c206		L11891c206
1s5p	^3P°	0	1.0	[148.91340]	0.00006	L11891c206		L11891c206
1s5p	^3P°	1	3.0	[148.91340]	0.00006	L11891c206		L11891c206
1s5p	^3P°	2	5.0	[148.91340]	0.00006	L11891c206		L11891c206
1s5d	^3D	1	3.0	[148.99391]	0.00005	L11891c206		L11891c206
1s5d	^3D	3	7.0	[148.99391]	0.00005	L11891c206		L11891c206
1s5d	^3D	2	5.0	[148.99391]	0.00005	L11891c206		L11891c206
1s5d	^1D	2	5.0	[148.9973]	0.0003	L11891c206		L11891c206
1s5f	^3F°	3	7.0	[148.99802]	0.00007	L11891c206		L11891c206
1s5f	^3F°	4	9.0	[148.99802]	0.00007	L11891c206		L11891c206
1s5f	^1F°	3	7.0	[148.99802]	0.00007	L11891c206		L11891c206
1s5f	^3F°	2	5.0	[148.99802]	0.00007	L11891c206		L11891c206
1s5g	^1G	4	9.0	[148.99833]	0.00015	L11891c206		L11891c206
1s5g	^3G	3	7.0	[148.99833]	0.00015	L11891c206		L11891c206
1s5g	^3G	4	9.0	[148.99833]	0.00015	L11891c206		L11891c206
1s5g	^3G	5	11.0	[148.99833]	0.00015	L11891c206		L11891c206
1s5p	^1P°	1	3.0	[149.02098]	0.00010	L11891c206		L11891c206
1s6s	^3S	1	3.0	[150.3440]	0.0005	L11891c206		L11891c206
1s6s	^1S	0	1.0	[150.4367]	0.0009	L11891c206		L11891c206
1s6p	^3P°	0	1.0	[150.4458]	0.0009	L11891c206		L11891c206
1s6p	^3P°	1	3.0	[150.4458]	0.0009	L11891c206		L11891c206
1s6p	^3P°	2	5.0	[150.4458]	0.0009	L11891c206		L11891c206
1s6d	^3D	1	3.0	[150.4923]	0.0003	L11891c206		L11891c206
1s6d	^3D	2	5.0	[150.4923]	0.0003	L11891c206		L11891c206
1s6d	^3D	3	7.0	[150.4923]	0.0003	L11891c206		L11891c206
