Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
1s^22s	^2S	^1/_2	2.0	0.000000	0.00004		100	L12158
1s^22p	^2P°	^1/_2	2.0	3.958660	0.00004		100	L12158
1s^22p	^2P°	^3/_2	4.0	3.959475	0.00004		100	L12158
1s^23s	^2S	^1/_2	2.0	10.9393633	0.0000000		100	L12158
1s^23p	^2P°	^1/_2	2.0	11.9638999	0.0000017		100	L12158
1s^23p	^2P°	^3/_2	4.0	11.9641389	0.0000017		100	L12158
1s^23d	^2D	^3/_2	4.0	12.157217	0.000012		100	L12158
1s^23d	^2D	^5/_2	6.0	12.157283	0.000012		100	L12158
1s^24s	^2S	^1/_2	2.0	14.315766	0.000009		100	L12158
1s^24p	^2P°	^1/_2	2.0	14.724427	0.000011		100	L12158
1s^24p	^2P°	^3/_2	4.0	14.724527	0.000011		100	L12158
1s^24d	^2D	^3/_2	4.0	14.806342	0.000007		100	L12158
1s^24d	^2D	^5/_2	6.0	14.806372	0.000007		100	L12158
1s^24f	^2F°	^5/_2	6.0	14.809490	0.000015		100	L12158
1s^24f	^2F°	^7/_2	8.0	14.809506	0.000015		100	L12158
1s^25s	^2S	^1/_2	2.0	15.787543	0.000011		100	L12158
1s^25p	^2P°	^1/_2	2.0	15.990443	0.000010		100	L12158
1s^25p	^2P°	^3/_2	4.0	15.990496	0.000010		100	L12158
1s^25d	^2D	^3/_2	4.0	16.032413	0.000011		100	L12158
1s^25d	^2D	^5/_2	6.0	16.032428	0.000011		100	L12158
1s^25f	^2F°	^5/_2	6.0	16.034114	0.000007		100	L12158
1s^25f	^2F°	^7/_2	8.0	16.034123	0.000007		100	L12158
1s^25g	^2G	^9/_2	10.0	16.034313	0.000017		100	L12158
1s^25g	^2G	^7/_2	8.0	16.034313	0.000017		100	L12158
1s^26s	^2S	^1/_2	2.0	16.558888	0.000012		100	L12158
1s^26p	^2P°	^1/_2	2.0	16.674061	0.000015		100	L12158
1s^26p	^2P°	^3/_2	4.0	16.674091	0.000015		100	L12158
1s^26d	^2D	^5/_2	6.0	16.698334	0.000012		100	L12158
1s^26d	^2D	^3/_2	4.0	16.698334	0.000012		100	L12158
1s^26f	^2F°	^5/_2	6.0	16.699332	0.000015		100	L12158
1s^26f	^2F°	^7/_2	8.0	16.699336	0.000015		100	L12158
1s^26g	^2G	^9/_2	10.0	16.699452	0.000025		100	L12158
1s^26g	^2G	^7/_2	8.0	16.699452	0.000025		100	L12158
1s^26h	^2H°	^11/_2	12.0	[16.699487]	0.000015		100	L12158
1s^26h	^2H°	^9/_2	10.0	[16.699487]	0.000015		100	L12158
1s^27s	^2S	^1/_2	2.0	[17.012960]	0.000015		100	L12158
1s^27p	^2P°	^1/_2	2.0	[17.084523]	0.000015		100	L12158
1s^27p	^2P°	^3/_2	4.0	[17.084541]	0.000015		100	L12158
1s^27d	^2D	^5/_2	6.0	17.099798	0.000011		100	L12158
1s^27d	^2D	^3/_2	4.0	17.099798	0.000011		100	L12158
1s^27f	^2F°	^7/_2	8.0	17.100435	0.000025		100	L12158
1s^27f	^2F°	^5/_2	6.0	17.100435	0.000025		100	L12158
1s^27g	^2G	^9/_2	10.0	17.100534	0.000025		100	L12158
1s^27g	^2G	^7/_2	8.0	17.100534	0.000025		100	L12158
1s^27h	^2H°	^11/_2	12.0	17.100537	0.000025		100	L12158
1s^27h	^2H°	^9/_2	10.0	17.100537	0.000025		100	L12158
1s^28s	^2S	^1/_2	2.0	[17.302635]	0.000015		100	L12158
1s^28p	^2P°	^1/_2	2.0	[17.350111]	0.000025		100	L12158
1s^28p	^2P°	^3/_2	4.0	[17.350123]	0.000025		100	L12158
