Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
1s	^2S	^1/_2	2.0	0.00000000	0.00000010		100	
2p	^2P°	^1/_2	2.0	(163.28461592)	0.00000011		100	L19200
2s	^2S	^1/_2	2.0	(163.28535939)	0.00000010		100	L19200
2p	^2P°	^3/_2	4.0	(163.296240501)	0.00000011		100	L19200
3p	^2P°	^1/_2	2.0	(193.527000810)	0.000000012		100	L3620c107
3s	^2S	^1/_2	2.0	(193.52722252)	0.00000004		100	L3620c107
3d	^2D	^3/_2	4.0	(193.5304394628)	0.0000000005		100	L3620c107
3p	^2P°	^3/_2	4.0	(193.530445162)	0.000000007		100	L3620c107
3d	^2D	^5/_2	6.0	(193.5315871398)	0.0000000004		100	L3620c107
4p	^2P°	^1/_2	2.0	(204.111362964)	0.000000006		100	L3620c107
4s	^2S	^1/_2	2.0	(204.111456746)	0.000000012		100	L3620c107
4d	^2D	^3/_2	4.0	(204.112813592)	0.000000012		100	L3620c107
4p	^2P°	^3/_2	4.0	(204.112816024)	0.000000004		100	L3620c107
4f	^2F°	^5/_2	6.0	(204.113296902)	0.000000007		100	L3620c107
4d	^2D	^5/_2	6.0	(204.113297775)	0.000000012		100	L3620c107
4f	^2F°	^7/_2	8.0	(204.113538971)	0.000000007		100	L3620c107
5p	^2P°	^1/_2	2.0	(209.010208832)	0.000000004		100	L3620c107
5s	^2S	^1/_2	2.0	(209.010256916)	0.000000009		100	L3620c107
5d	^2D	^3/_2	4.0	(209.010951524)	0.000000012		100	L3620c107
5p	^2P°	^3/_2	4.0	(209.0109527844)	0.0000000012		100	L3620c107
5f	^2F°	^5/_2	6.0	(209.011198982)	0.000000007		100	L3620c107
5d	^2D	^5/_2	6.0	(209.011199430)	0.000000012		100	L3620c107
5g	^2G	^7/_2	8.0	(209.0113226876)	0.0000000012		100	L3620c107
5f	^2F°	^7/_2	8.0	(209.011322923)	0.000000007		100	L3620c107
5g	^2G	^9/_2	10.0	(209.0113970496)	0.0000000012		100	L3620c107
6p	^2P°	^1/_2	2.0	(211.671226089)	0.000000004		100	L3620c107
6s	^2S	^1/_2	2.0	(211.671253934)	0.000000005		100	L3620c107
6d	^2D	^3/_2	4.0	(211.671655876)	0.000000007		100	L3620c107
