Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
1s^22s^2	^1S	0	1.0	0.00000000	0.00000000	L9172		L9172
1s^22s2p	^3P°	0	1.0	2.724963	0.000010	L9172		L9172
1s^22s2p	^3P°	1	3.0	2.7250394	0.0000012	L9172		L9172
1s^22s2p	^3P°	2	5.0	2.725329	0.000009	L9172		L9172
1s^22s2p	^1P°	1	3.0	5.27744322	0.00000012	L20591		L20591
1s^22s3s	^3S	1	3.0	6.457214	0.000007	L9172		L9172
1s^22s3s	^1S	0	1.0	6.779127	0.000003	L9172		L9172
1s^22p^2	^1D	2	5.0	7.0525370	0.000003	L9172		L9172
1s^22s3p	^3P°	0	1.0	7.303596	0.000007	L9172		L9172
1s^22s3p	^3P°	1	3.0	7.303596	0.000007	L9172		L9172
1s^22s3p	^3P°	2	5.0	7.303641	0.000007	L9172		L9172
1s^22p^2	^3P	0	1.0	7.401063	0.000010	L9172		L9172
1s^22p^2	^3P	1	3.0	7.401235	0.000007	L9172		L9172
1s^22p^2	^3P	2	5.0	7.401482	0.000009	L9172		L9172
1s^22s3p	^1P°	1	3.0	7.4622919	0.000003	L9172		L9172
1s^22s3d	^3D	1	3.0	7.6936830	0.000007	L9172		L9172
1s^22s3d	^3D	2	5.0	7.693683	0.000007	L9172		L9172
1s^22s3d	^3D	3	7.0	7.693683	0.000007	L9172		L9172
1s^22s3d	^1D	2	5.0	7.98810393	0.00000006	L21345		L21345
1s^22s4s	^3S	1	3.0	7.997785	0.000007	L9172		L9172
1s^22s4s	^1S	0	1.0	8.089403	0.000003	L9172		L9172
1s^22s4p	^3P°	0	1.0	8.283619	0.000017	L9172		L9172
1s^22s4p	^3P°	1	3.0	8.283619	0.000011	L9172		L9172
1s^22s4p	^3P°	2	5.0	8.283619	0.000010	L9172		L9172
1s^22s4p	^1P°	1	3.0	8.311256	0.000004	L9172		L9172
1s^22s4d	^3D	1	3.0	8.423689	0.000010	L9172		L9172
1s^22s4d	^3D	2	5.0	8.423691	0.000009	L9172		L9172
1s^22s4d	^3D	3	7.0	8.423695	0.000009	L9172		L9172
1s^22s4f	^3F°	4	9.0	8.46081	0.00004	L9172		L9172
1s^22s4f	^3F°	2	5.0	8.460811	0.000007	L9172		L9172
1s^22s4f	^3F°	3	7.0	8.460811	0.000007	L9172		L9172
1s^22s4f	^1F°	3	7.0	8.460843	0.000004	L9172		L9172
1s^22s4d	^1D	2	5.0	8.527752	0.000009	L9172		L9172
1s^22s5s	^3S	1	3.0	8.556172	0.000007	L9172		L9172
1s^22s5s	^1S	0	1.0	8.594870	0.000009	L9172		L9172
1s^22s5p	^3P°	0	1.0	[8.687002]	0.000012	L9172		L9172
1s^22s5p	^3P°	1	3.0	[8.687002]	0.000017	L9172		L9172
1s^22s5p	^3P°	2	5.0	[8.687002]	0.000017	L9172		L9172
1s^22s5p	^1P°	1	3.0	8.693845	0.000004	L9172		L9172
1s^22s5d	^3D	3	7.0	8.753747	0.000007	L9172		L9172
1s^22s5d	^3D	1	3.0	8.753751	0.000009	L9172		L9172
1s^22s5d	^3D	2	5.0	8.753751	0.000007	L9172		L9172
1s^22s5f	^3F°	4	9.0	8.77184	0.00014	L9172		L9172
1s^22s5f	^3F°	2	5.0	8.771850	0.000007	L9172		L9172
