Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
6s^26p	^2P°	^1/_2	2.0	0.000000	0.000007		98	L21488
6s^26p	^2P°	^3/_2	4.0	2.577406	0.000005		98	L21488
6s6p^2(^3P)	^4P	^1/_2	2.0	8.710350	0.000006		84	L21488
6s6p^2(^3P)	^4P	^3/_2	4.0	10.295407	0.000000		96	L21488
6s6p^2(^3P)	^4P	^5/_2	6.0	11.063865	0.000007		61	L21488
6s^27s	^2S	^1/_2	2.0	11.787992	0.000010		97	L21488
6s^26d	^2D	^3/_2	4.0	11.921662	0.000010		51	L21488
6s^26d	^2D	^5/_2	6.0	12.701719	0.000007		70	L21488
6s6p^2(^3P)	^2P	^1/_2	2.0	13.397042	0.000014		72	L21488
6s6p^2(^1D)	^2D	^3/_2	4.0	13.463000	0.000016		46 | 6s^26d | ^2D	L21488
6s6p^2(^1D)	^2D	^5/_2	6.0	14.433534	0.000015		59	L21488
6s^27p	^2P°	^1/_2	2.0	14.505333	0.000025		98	L21488
6s^27p	^2P°	^3/_2	4.0	15.142017	0.000025		98	L21488
6s6p^2(^3P)	^2P	^3/_2	4.0	16.23752	0.00005		78	L21488
6s6p^2(^1S)	^2S	^1/_2	2.0	16.240058	0.000025		70	L21488
6s^25f	^2F°	^7/_2	8.0	17.042296	0.000007		96	L21488
6s^25f	^2F°	^5/_2	6.0	17.054681	0.000011		96	L21488
6s^28s	^2S	^1/_2	2.0	18.00596	0.00004		98	L21488
6s^27d	^2D	^3/_2	4.0	18.48439	0.00004		97	L21488
6s^27d	^2D	^5/_2	6.0	18.572263	0.000025		97	L21488
6s^28p	^2P°	^1/_2	2.0	19.118227	0.000025		98	L21488
6s^28p	^2P°	^3/_2	4.0	19.393686	0.000015		97	L21488
6s^26f	^2F°	^7/_2	8.0	20.108303	0.000025		97	L21488
6s^26f	^2F°	^5/_2	6.0	20.115395	0.000025		97	L21488
6s6p(^3P°)7s	^4P°	^1/_2	2.0	20.48442	0.00004		88	L21488
6s^25g	^2G	^9/_2	10.0	20.61046	0.00005		98	L21488
6s^25g	^2G	^7/_2	8.0	20.61079	0.00005		98	L21488
6s^29s	^2S	^1/_2	2.0	20.74116	0.00004		99	L21488
6s6p(^3P°)6d	^4F°	^3/_2	4.0	20.83492	0.00004		33	L21488
6s^28d	^2D	^3/_2	4.0	20.989669	0.000025		98	L21488
6s6p(^3P°)7s	^4P°	^3/_2	4.0	21.019567	0.000017		63	L21488
6s^28d	^2D	^5/_2	6.0	21.03486	0.00006		98	L21488
6s6p(^3P°)6d	^4F°	^3/_2	4.0	21.33133	0.00005		38 | 6s6p(^3P°)6d | ^2D°	L21488
6s6p(^3P°)6d	^4F°	^5/_2	6.0	21.366098	0.000025		67	L21488
6s6p(^3P°)7s	^2P°	^1/_2	2.0	21.428635	0.000025		61	L21488
6s6p(^3P°)6d	^2D°	^5/_2	6.0	21.584707	0.000025		32	L21488
6s6p(^3P°)6d	^4F°	^7/_2	8.0	22.022755	0.000025		54	L21488
6s6p(^3P°)6d	^4D°	^3/_2	4.0	22.032910	0.000025		50	L21488
6s6p(^3P°)6d	^4D°	^1/_2	2.0	22.110524	0.000025		74	L21488
6s^26g	^2G	^9/_2	10.0	22.12690	0.00004		98	L21488
6s^26g	^2G	^7/_2	8.0	22.12734	0.00004		98	L21488
6s^26h	^2H°	^9/_2	10.0	22.15822	0.00012		99	L21488
6s^26h	^2H°	^11/_2	12.0	22.15822	0.00012		99	L21488
6s6p(^3P°)6d	^4P°	^5/_2	6.0	22.354066	0.000025		29	L21488
6p^3	^4S°	^3/_2	4.0	23.028651	0.000025		63	L21488
6s^27g	^2G	^9/_2	10.0	23.04223	0.00005		98	L21488
6s^27g	^2G	^7/_2	8.0	23.04272	0.00005		99	L21488
6s^27h	^2H°	^9/_2	10.0	23.06405	0.00005		99	L21488
6s^27h	^2H°	^11/_2	12.0	23.06405	0.00005		99	L21488
6s6p(^3P°)7s	^4P°	^5/_2	6.0	23.37421	0.00004		99	L21488
6s^28g	^2G	^9/_2	10.0	23.63645	0.00006		99	L21488
6s^28g	^2G	^7/_2	8.0	23.63679	0.00006		99	L21488
6s6p(^3P°)7s	^2P°	^3/_2	4.0	23.71954	0.00004		67	L21488
6s6p(^3P°)6d	^2F°	^5/_2	6.0	23.73010	0.00005		38	L21488
6s6p(^3P°)6d	^4D°	^7/_2	8.0	24.17614	0.00004		65	L21488
6s6p(^3P°)6d	^4D°	^5/_2	6.0	24.36099	0.00004		55	L21488
6s6p(^3P°)6d	^4P°	^3/_2	4.0	24.41448	0.00005		59	L21488
6s6p(^3P°)6d	^4P°	^1/_2	2.0	24.45997	0.00010		87	L21488
6s6p(^3P°)6d	^2P°	^3/_2	4.0	24.648939	0.000025		50	L21488
6s6p(^3P°)6d	^2P°	^1/_2	2.0	24.73531	0.00011		56	L21488
6p^3	^2D°	^3/_2	4.0	24.991520	0.000025		31	L21488
6s6p(^1P°)6d	^2D°	^5/_2	6.0	25.38295	0.00004		34	L21488
