Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
6s^26p^2	^3P	0	1.0	0.000000	0.000006		83	L9887
6s^26p^2	^3P	1	3.0	1.652139	0.00009		100	L9887
6s^26p^2	^3P	2	5.0	2.1116614	0.0000025		52	L9887
6s^26p^2	^1D	2	5.0	4.2078647	0.0000025		52	L9887
6s^26p^2	^1S	0	1.0	5.4768492	0.0000025		82	L9887
6s^26p7s	(^1/_2,^1/_2)°	0	1.0	8.5715101	0.0000025		100	L9887
6s^26p7s	(^1/_2,^1/_2)°	1	3.0	8.6291111	0.0000025		98	L9887
6s6p^3	^5S°	2	5.0	9.4412370	0.0000025		55	L9887
6s^26p6d	(^1/_2,^3/_2)°	2	5.0	9.8060517	0.0000025		97	L9887
6s^26p6d	(^1/_2,^3/_2)°	1	3.0	9.9902836	0.0000025		73	L9887
6s^26p6d	(^1/_2,^5/_2)°	2	5.0	10.1728579	0.0000025		71	L9887
6s^26p6d	(^1/_2,^5/_2)°	3	7.0	10.1985993	0.0000025		94	L9887
6s^26p7p	(^1/_2,^1/_2)	1	3.0	10.4494435	0.0000025		100	L9887
6s^26p7p	(^1/_2,^1/_2)	0	1.0	10.7963924	0.0000025		98	L9887
6s^26p7p	(^1/_2,^3/_2)	1	3.0	10.9808694	0.0000025		100	L9887
6s^26p7s	(^3/_2,^1/_2)°	2	5.0	11.0062562	0.0000025		99	L9887
6s^26p7p	(^1/_2,^3/_2)	2	5.0	11.0084923	0.0000025		99	L9887
6s^26p7s	(^3/_2,^1/_2)°	1	3.0	11.1444034	0.0000025		84	L9887
6s6p^3	^3D°	1	3.0	11.7093438	0.0000025		44	L9887
6s6p^3	^3D°	2	5.0	11.7698993	0.0000025		48	L9887
6s6p^3	^3D°	3	7.0	11.9102142	0.0000025		50	L9887
6s^26p6d	(^3/_2,^5/_2)°	2	5.0	12.2758401	0.0000025		55	L9887
6s^26p6d	(^3/_2,^3/_2)°	0	1.0	12.4210403	0.0000025		72	L9887
6s^26p6d	(^3/_2,^3/_2)°	1	3.0	12.4597835	0.0000025		64	L9887
6s^26p8s	(^1/_2,^1/_2)°	1	3.0	12.5646120	0.0000025		86	L9887
6s^26p8s	(^1/_2,^1/_2)°	0	1.0	12.5798627	0.0000025		90	L9887
6s^26p6d	(^3/_2,^3/_2)°	2	5.0	12.6875098	0.0000025		38	L9887
6s^26p6d	(^3/_2,^3/_2)°	3	7.0	12.7708070	0.0000025		59	L9887
6s^26p7p	(^3/_2,^1/_2)	2	5.0	13.0289455	0.0000025		50	L9887
6s^26p7p	(^3/_2,^1/_2)	1	5.0	13.0519340	0.0000025		85	L9887
6s^26p5f	(^1/_2,^7/_2)	3	7.0	13.0542630	0.0000025		82	L9887
6s^26p5f	(^1/_2,^5/_2)	3	7.0	13.0742633	0.0000025		95	L9887
6s^26p7d	(^1/_2,^3/_2)°	2	5.0	13.0837049	0.0000025		95	L9887
6s^26p5f	(^1/_2,^7/_2)	4	9.0	13.1086088	0.0000025		100	L9887
6s^26p5f	(^1/_2,^5/_2)	2	3.0	13.1980543	0.0000025		51	L9887
6s^26p6d	(^3/_2,^5/_2)°	1	3.0	13.2181072	0.0000025		64	L9887
6s^26p8p	(^1/_2,^1/_2)	0	1.0	13.3873			or	L3466
6s^26p6d	(^3/_2,^5/_2)°	3	7.0	13.3914164	0.0000025		41	L9887
6s^26p7d	(^1/_2,^3/_2)°	1	3.0	13.4060063	0.0000025		75	L9887
6s^26p7p	(^3/_2,^3/_2)	3	7.0	13.4250900	0.0000025		86	L9887
6s^26p7p	(^3/_2,^3/_2)	1	3.0	13.4406662	0.0000025		76	L9887
