Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5d^106s^2	^1S	0	1.0	0.0000	0	L3466		L3466
5d^106s6p	^3P°	0	1.0	8.7983				
5d^106s6p	^3P°	1	3.0	9.4136				
5d^106s6p	^3P°	2	5.0	11.9549				
5d^106s6p	^1P°	1	3.0	14.2088				
5d^106p^2	^3P	0	1.0	20.6498				
5d^106s6d	^1D	2	5.0	22.8329				
5d^106p^2	^3P	1	3.0	22.9388				
5d^106s6d	^3D	1	3.0	24.4436				
5d^106s7s	^3S	1	3.0	24.4802				
5d^106s6d	^3D	2	5.0	24.5277				
5d^106s6d	^3D	3	7.0	24.7682				
5d^106s7s	^1S	0	1.0	24.9929				
5d^106p^2	^3P	2	5.0	25.0986				
5d^106p^2	^1D	2	5.0	27.0066				
5d^96s^26p	(^3/_2,^1/_2)°	2	5.0	27.8087				
5d^106s7p	^3P(F=^9/_2)_1°	0,1	4.0	27.84494				
5d^106s7p	^3P(F=^7/_2)°	0,1	4.0	27.84688				
5d^106s7p	^3P(F=^9/_2)_2°	0,1	4.0	27.84772				
5d^106s7p	^3P(F=^11/_2)°	0,1	4.0	27.84833				
5d^96s^26p	(^5/_2,^3/_2)°	4	9.0	27.9729				
5d^96s^26p	(^3/_2,^1/_2)°	1	3.0	28.2841				
5d^96s^26p	(^5/_2,^3/_2)°	2	5.0	28.5953				
5d^106s7p	^1P°	1	3.0	28.7535				
5d^106s7p	^3P°	2	5.0	28.8421				
5d^96s^26p	(^5/_2,^3/_2)°?	3	7.0	28.9178				
5d^106s5f	^3F°?	3	7.0	29.0067				
5d^106s5f	^3F°	2	5.0	29.1576				
5d^106s5f	^3F°	4	9.0	29.2177				
5d^106s5f	^1F°?	3	7.0	29.3245				
5d^96s^26p	(^5/_2,^3/_2)°	1	3.0	29.4712				
5d^106s8s	^3S	1	3.0	33.0634				
5d^106s7d	^3D	1	3.0	33.1752				
5d^106s7d	^3D	2	5.0	33.2099				
5d^106s8s	^1S	0	1.0	33.2514				
5d^106s7d	^3D	3	7.0	33.3133				
5d^106s7d	^1D	2	5.0	33.4457				
