Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
6p^3	^4S°	^3/_2	4.0	0.0000000	0			L6416
6p^3	^2D°	^3/_2	4.0	1.4157804		1.225		L6416
6p^3	^2D°	^5/_2	6.0	1.9140062		1.20		L6416
6p^3	^2P°	^1/_2	2.0	2.6856111		0.667		L6416
6p^2(^3P_0)7s	^2[0]	^1/_2	2.0	4.0404245		2.088	or	L6416
6p^3	^2P°	^3/_2	4.0	4.1119118				L6416
6p^2(^3P_0)7p	^2[1]°	^1/_2	2.0	5.0988483				L6416
6p^2(^3P_0)7p	^2[1]°	^3/_2	4.0	5.3239458				L6416
6p^2(^3P_0)6d	^2[2]	^3/_2	4.0	5.4444405		0.79		L6416
6p^2(^3P_0)6d	^2[2]	^5/_2	6.0	5.5565801		1.20		L6416
6p^2(^3P_1)7s	^2[1]	^3/_2	4.0	5.5625605		1.676	or	L6416
6p^2(^3P_1)7s	^2[1]	^1/_2	2.0	5.6928439		1.30	or	L6416
6p^2(^3P_0)8s	^2[0]	^1/_2	2.0	5.8735626			or	L6416
6p^2(^3P_2)7s	^2[2]	^5/_2	6.0	6.0119775		1.41	or	L6416
6p^2(^3P_2)7s	^2[2]	^3/_2	4.0	6.1323713		0.98	or	L6416
6p^2(^3P_0)8p	^2[1]°	^1/_2	2.0	6.1989414				L6416
6p^2(^3P_0)8p	^2[1]°	^3/_2	4.0	6.2729294				L6416
6p^2(^3P_0)7d	^2[2]	^3/_2	4.0	6.3255610				L6416
6p^2(^3P_0)7d	^2[2]	^5/_2	6.0	6.3428449				L6416
6p^2(^3P_0)9s	^2[0]	^1/_2	2.0	6.4788832			or	L6416
6p^2(^3P_0)9p	^2[1]°	^1/_2	2.0	6.6292554				L6416
6p^2(^3P_0)8d	^2[2]	^3/_2	4.0	6.6801236				L6416
6p^2(^3P_1)7p	^2[0]°	^1/_2	2.0	6.6819784				L6416
6p^2(^3P_0)8d	^2[2]	^5/_2	6.0	6.6923014				L6416
6p^2(^3P_0)10s	^2[0]	^1/_2	2.0	6.7646568			or	L6416
6p^2(^3P_1)7p	^2[2]°	^3/_2	4.0	6.7658859				L6416
6p^2(^3P_0)9d	^2[2]	^3/_2	4.0	6.8718615				L6416
6p^2(^3P_0)9d	^2[2]	^5/_2	6.0	6.8779879				L6416
6p^2(^3P_0)11s	^2[0]	^1/_2	2.0	6.9213594			or	L6416
6p^2(^3P_1)7p	^2[1]°	^3/_2	4.0	6.9540609				L6416
6p^2(^3P_1)7p	^2[1]°	^1/_2	2.0	6.9773036				L6416
6p^2(^3P_0)10d	^2[2]	^3/_2	4.0	6.9840268				L6416
6p^2(^3P_1)6d	5657	^3/_2	4.0	7.013719				L6416
6p^2(^3P_0)12s	^2[0]	^1/_2	2.0	7.0164?			or	L3466
6p^2(^3P_1)6d	5707	^5/_2	6.0	7.076547				L3466,L9843
6p^2(^3P_1)6d	5760	^1/_2	2.0	7.14236				L3466
6p^2(^3P_1)6d	5776	^3/_2	4.0	7.16229				L3466
6p^2(^3P_1)6d	5827	^3/_2	4.0	7.2249911				L3466,L9843
6p^2(^3P_1)6d	5837	^7/_2	8.0	7.23790				L3466
