Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
1s^22s^2	^1S	0	1.0	0.000000	0			
1s^22s2p	^3P°	0	1.0	6.492688				
1s^22s2p	^3P°	1	3.0	6.495625				
1s^22s2p	^3P°	2	5.0	6.502613				
1s^22s2p	^1P°	1	3.0	12.690036				
1s^22p^2	^3P	0	1.0	17.038615				
1s^22p^2	^3P	1	3.0	17.042174				
1s^22p^2	^3P	2	5.0	17.048076				
1s^22p^2	^1D	2	5.0	18.086335				
1s^22p^2	^1S	0	1.0	22.629581				
1s^22s3s	^3S	1	3.0	29.534648				
1s^22s3s	^1S	0	1.0	30.645207				
1s^22s3p	^1P°	1	3.0	32.103388				
1s^22s3p	^3P°	0	1.0	32.199384				
1s^22s3p	^3P°	1	3.0	32.200087				
1s^22s3p	^3P°	2	5.0	32.201709				
1s^22s3d	^3D	1	3.0	33.477076				
1s^22s3d	^3D	2	5.0	33.477213				
1s^22s3d	^3D	3	7.0	33.477561				
1s^22s3d	^1D	2	5.0	34.279506				
1s^22p(^2P°)3s	^3P°	0	1.0	38.213986				
1s^22p(^2P°)3s	^3P°	1	3.0	38.217994				
1s^22p(^2P°)3s	^3P°	2	5.0	38.226472				
1s^22s4s	^3S	1	3.0	38.367799				
1s^22p(^2P°)3s	^1P°	1	3.0	38.435885				
1s^22s4s	^1S	0	1.0	38.648542				
1s^22s4p	^3P°	0	1.0	39.401467				
1s^22s4p	^3P°	1	3.0	39.401746				
1s^22s4p	^3P°	2	5.0	39.402339				
1s^22p(^2P°)3p	^1P	1	3.0	39.640271				
1s^22s4d	^3D	1	3.0	39.849924				
1s^22s4d	^3D	2	5.0	39.851837				
1s^22s4d	^3D	3	7.0	39.854727				
1s^22s4f	^3F°	2	5.0	39.923368				
1s^22s4f	^3F°	3	7.0	39.924100				
1s^22s4f	^3F°	4	9.0	39.925140				
1s^22s4p	^1P°	1	3.0	39.973026				
1s^22s4f	^1F°	3	7.0	40.009951				
1s^22p(^2P°)3p	^3D	1	3.0	40.056428				
1s^22p(^2P°)3p	^3D	2	5.0	40.059463				
1s^22p(^2P°)3p	^3D	3	7.0	40.064295				
1s^22s4d	^1D	2	5.0	40.197226				
1s^22p(^2P°)3p	^3S	1	3.0	40.577334				
1s^22p(^2P°)3p	^3P	0	1.0	40.875778				
1s^22p(^2P°)3p	^3P	1	3.0	40.878392				
1s^22p(^2P°)3p	^3P	2	5.0	40.882992				
1s^22p(^2P°)3d	^1D°	2	5.0	41.248462				
1s^22p(^2P°)3p	^1D	2	5.0	41.301394				
1s^22p(^2P°)3d	^3F°	2	5.0	41.334721				
1s^22p(^2P°)3d	^3F°	3	7.0	41.337764				
1s^22p(^2P°)3d	^3F°	4	9.0	41.342189				
1s^22p(^2P°)3d	^3D°	1	3.0	41.864006				
1s^22p(^2P°)3d	^3D°	2	5.0	41.865607				
1s^22p(^2P°)3d	^3D°	3	7.0	41.867981				
1s^22s5s	^1S	0	1.0	41.970428				
1s^22s5s	^3S	1	3.0	42.146534				
1s^22p(^2P°)3d	^3P°	2	5.0	42.167254				
1s^22p(^2P°)3d	^3P°	1	3.0	42.170439				
1s^22p(^2P°)3d	^3P°	0	1.0	42.172212				
1s^22p(^2P°)3d	^1F°	3	7.0	42.324602				
1s^22s5p	^1P°	1	3.0	42.558572				
1s^22s5p	^3P°	2	5.0	42.679450				
1s^22s5p	^3P°	1	3.0	42.679860				
1s^22s5p	^3P°	0	1.0	42.680157				
1s^22p(^2P°)3p	^1S	0	1.0	42.786380				
1s^22s5d	^3D	1	3.0	42.836115				
1s^22s5d	^3D	2	5.0	42.836134				
1s^22s5d	^3D	3	7.0	42.836187				
1s^22s5g	^3G	3	7.0	42.970346				
1s^22s5g	^3G	4	9.0	42.970346				
1s^22s5g	^1G	4	9.0	42.970358				
1s^22s5g	^3G	5	11.0	42.970380				
1s^22s5d	^1D	2	5.0	42.980156				
1s^22p(^2P°)3d	^1P°	1	3.0	42.986900				
1s^22s5f	^3F°	2	5.0	43.041349				
1s^22s5f	^3F°	3	7.0	43.041519				
1s^22s5f	^3F°	4	9.0	43.041785				
1s^22s5f	^1F°	3	7.0	43.253126				
1s^22s6s	^3S	1	3.0	43.996788				
1s^22s6p	^3P°	0	1.0	44.268481				
1s^22s6p	^3P°	1	3.0	44.268579				
1s^22s6p	^3P°	2	5.0	44.268711				
1s^22s6p	^1P°	1	3.0	44.275957				
1s^22s6d	^3D	1	3.0	44.398466				
1s^22s6d	^3D	2	5.0	44.398466				
1s^22s6d	^3D	3	7.0	44.398466				
1s^22s6g	^1G	4	9.0	44.472162				
1s^22s6g	^3G	3	7.0	44.47216				
1s^22s6g	^3G	4	9.0	44.47216				
1s^22s6g	^3G	5	11.0	44.47219				
1s^22s6d	^1D	2	5.0	44.477215				
1s^22s6h	^1H°	5	11.0	44.48259				
1s^22s6h	^3H°	4	9.0	44.48259				
1s^22s6h	^3H°	5	11.0	44.48259				
1s^22s6h	^3H°	6	13.0	44.48259				
