Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2s^22p	^2P°	^1/_2	2.0	0.0000000000	0.0000000000	0.66576(6)	96	L22145,L6720
2s^22p	^2P°	^3/_2	4.0	0.007859989	0.000000003	1.33412(6)	96	L22145,L6720
2s2p^2	^4P	^1/_2	2.0	5.33167	0.00004	(2.6704)	99	L22145,L15072
2s2p^2	^4P	^3/_2	4.0	5.33441	0.00004	(1.7349)	99	L22145,L15072
2s2p^2	^4P	^5/_2	6.0	5.33792	0.00004	(1.6013)	99	L22145,L15072
2s2p^2	^2D	^5/_2	6.0	9.2901455	0.0000021	(1.2004)	97	L22145,L15072
2s2p^2	^2D	^3/_2	4.0	9.290459	0.000003	(0.7995)	97	L22145,L15072
2s2p^2	^2S	^1/_2	2.0	11.963687	0.000003	(2.0022)	84	L22145,L15072
2s2p^2	^2P	^1/_2	2.0	13.715650	0.000005	(0.6659)	96	L22145,L15072
2s2p^2	^2P	^3/_2	4.0	13.720784	0.000005	(1.3340)	96	L22145,L15072
2s^23s	^2S	^1/_2	2.0	14.4488269	0.0000024	(2.0023)	82	L22145,L15072
2s^23p	^2P°	^1/_2	2.0	16.3317419	0.0000024	(0.6659)	93	L22145,L15072
2s^23p	^2P°	^3/_2	4.0	16.3331238	0.0000024	(1.3341)	93	L22145,L15072
2p^3	^4S°	^3/_2	4.0	17.60901	0.00004	(2.0022)	100	L22145,L15072
2s^23d	^2D	^3/_2	4.0	18.045807	0.000004	(0.7995)	94	L22145,L15072
2s^23d	^2D	^5/_2	6.0	18.045987	0.000004	(1.2004)	94	L22145,L15072
2p^3	^2D°	^5/_2	6.0	18.654858	0.000009	(1.2004)	92	L22145,L15072
2p^3	^2D°	^3/_2	4.0	18.655493	0.000006	(0.7995)	92	L22145,L15072
2s^24s	^2S	^1/_2	2.0	19.494538	0.000004	(2.0023)	94	L22145,L15072
