Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
1s^22s	^2S	^1/_2	2.0	0.000000	0.000000		100	L7288
1s^22p	^2P°	^1/_2	2.0	7.994939	0.000016		100	u57
1s^22p	^2P°	^3/_2	4.0	8.008258	0.000006		100	u57
1s^23s	^2S	^1/_2	2.0	37.54849				
1s^23p	^2P°	^1/_2	2.0	39.68116				
1s^23p	^2P°	^3/_2	4.0	39.68507				
1s^23d	^2D	^3/_2	4.0	40.27996				
1s^23d	^2D	^5/_2	6.0	40.28126				
1s^24s	^2S	^1/_2	2.0	49.76082				
1s^24p	^2P°	^1/_2	2.0	50.62412				
1s^24p	^2P°	^3/_2	4.0	50.62575				
1s^24d	^2D	^3/_2	4.0	50.87519				
1s^24d	^2D	^5/_2	6.0	50.87569				
1s^24f	^2F°	^5/_2	6.0	50.88736				
1s^24f	^2F°	^7/_2	8.0	50.88736				
1s^25s	^2S	^1/_2	2.0	55.21866				
1s^25p	^2P°	^1/_2	2.0	55.65103				
1s^25p	^2P°	^3/_2	4.0	55.65191				
1s^25d	^2D	^3/_2	4.0	55.77903				
1s^25d	^2D	^5/_2	6.0	55.77924				
1s^25f	^2F°	^5/_2	6.0	55.78543				
1s^25f	^2F°	^7/_2	8.0	55.78543				
1s^25g	^2G	^7/_2	8.0	55.78649				
1s^25g	^2G	^9/_2	10.0	55.78649				
1s^26s	^2S	^1/_2	2.0	58.12181				
1s^26p	^2P°	^1/_2	2.0	58.36866				
1s^26p	^2P°	^3/_2	4.0	58.36914				
1s^26d	^2D	^3/_2	4.0	58.44247				
1s^26d	^2D	^5/_2	6.0	58.44262				
1s^26f	^2F°	^5/_2	6.0	[58.44655]				
1s^26f	^2F°	^7/_2	8.0	[58.44655]				
1s^26g	^2G	^7/_2	8.0	[58.446915]				
1s^26g	^2G	^9/_2	10.0	[58.446915]				
1s^26h	^2H°	^9/_2	10.0	[58.446994]				
1s^26h	^2H°	^11/_2	12.0	[58.446994]				
1s^27s	^2S	^1/_2	2.0	59.84792				
1s^27p	^2P°	^1/_2	2.0	[60.00195]				
1s^27p	^2P°	^3/_2	4.0	[60.00225]				
1s^27d	^2D	^3/_2	4.0	60.04810				
1s^27d	^2D	^5/_2	6.0	60.04810				
1s^27f	^2F°	^5/_2	6.0	[60.05094]				
1s^27f	^2F°	^7/_2	8.0	[60.05094]				
1s^27g	^2G	^7/_2	8.0	[60.051179]				
1s^27g	^2G	^9/_2	10.0	[60.051179]				
1s^27h	^2H°	^9/_2	10.0	[60.051231]				
1s^27h	^2H°	^11/_2	12.0	[60.051231]				
1s^27i	^2I	^11/_2	12.0	[60.051246]				
1s^28s	^2S	^1/_2	2.0	[60.95693]				
1s^28p	^2P°	^1/_2	2.0	[61.05945]				
1s^28p	^2P°	^3/_2	4.0	[61.05965]				
1s^28d	^2D	^3/_2	4.0	[61.09055]				
1s^28d	^2D	^5/_2	6.0	[61.09055]				
1s^28f	^2F°	^5/_2	6.0	[61.09225]				
1s^28f	^2F°	^7/_2	8.0	[61.09225]				
1s^28g	^2G	^7/_2	8.0	[61.092407]				
1s^28g	^2G	^9/_2	10.0	[61.092407]				
1s^28h	^2H°	^9/_2	10.0	[61.092443]				
1s^28h	^2H°	^11/_2	12.0	[61.092443]				
1s^28i	^2I	^13/_2	14.0	[61.092453]				
1s^28i	^2I	^11/_2	12.0	[61.092453]				
1s^29s	^2S	^1/_2	2.0	[61.71149]				
1s^29p	^2P°	^1/_2	2.0	[61.78314]				
1s^29p	^2P°	^3/_2	4.0	[61.78327]				
1s^29d	^2D	^3/_2	4.0	[61.80496]				
1s^29d	^2D	^5/_2	6.0	[61.80496]				
1s^29f	^2F°	^5/_2	6.0	[61.80616]				
1s^29f	^2F°	^7/_2	8.0	[61.80616]				
1s^29g	^2G	^7/_2	8.0	[61.806268]				
1s^29g	^2G	^9/_2	10.0	[61.806268]				
1s^29h	^2H°	^9/_2	10.0	[61.806293]				
1s^29i	^2I	^11/_2	12.0	[61.806301]				
1s^29i	^2I	^13/_2	14.0	[61.806301]				
1s^210p	^2P°	^1/_2	2.0	[62.2911]				
1s^210p	^2P°	^3/_2	4.0	[62.2911]				
1s^210d	^2D	^3/_2	4.0	[62.3142]				
1s^210d	^2D	^5/_2	6.0	[62.3142]				
1s^211p	^2P°	^1/_2	2.0	[62.6753]				
1s^211p	^2P°	^3/_2	4.0	[62.6753]				
1s^211d	^2D	^3/_2	4.0	[62.6983]				
1s^211d	^2D	^5/_2	6.0	[62.6983]				
1s^212p	^2P°	^3/_2	4.0	[62.9489]				
1s^212p	^2P°	^1/_2	2.0	[62.9489]				
1s^212d	^2D	^3/_2	4.0	[62.9862]				
1s^212d	^2D	^5/_2	6.0	[62.9862]				
1s^213p	^2P°	^1/_2	2.0	[63.1702]				
1s^213p	^2P°	^3/_2	4.0	[63.1702]				
1s^213d	^2D	^3/_2	4.0	[63.2097]				
1s^213d	^2D	^5/_2	6.0	[63.2097]				
1s^214d	^2D	^3/_2	4.0	[63.3874]				
1s^214d	^2D	^5/_2	6.0	[63.3874]				
