Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2s^22p^2	^3P	0	1.0	0.0000000000	0.00000016		98	L20057
2s^22p^2	^3P	1	3.0	0.0020354130	0.00000016	1.5010623(50)	98	L20057,L3172
2s^22p^2	^3P	2	5.0	0.0053825826	0.00000016	1.5010469(50)	98	L20057,L3172
2s^22p^2	^1D	2	5.0	1.2637284	0.0000004		98	L20057
2s^22p^2	^1S	0	1.0	2.6840136	0.0000004		94	L20057
2s2p^3	^5S°	2	5.0	4.1826219	0.0000022		100	L20057
2s^22p3s	^3P°	0	1.0	7.48039414	0.00000006		96	L20057
2s^22p3s	^3P°	1	3.0	7.48277598	0.00000004		96	L20057
2s^22p3s	^3P°	2	5.0	7.48779869	0.00000005		96	L20057
2s^22p3s	^1P°	1	3.0	7.68476777	0.00000005	0.97	97	L20057,L292
2s2p^3	^3D°	3	7.0	7.945771557	0.000000012		96	L20057
2s2p^3	^3D°	1	3.0	7.94613476	0.00000007		96	L20057
2s2p^3	^3D°	2	5.0	7.94627046	0.00000004		96	L20057
2s^22p3p	^1P	1	3.0	8.53709962	0.00000005		97	L20057
2s^22p3p	^3D	1	3.0	8.64039604	0.00000003		98	L20057
2s^22p3p	^3D	2	5.0	8.643023685	0.000000022		98	L20057
2s^22p3p	^3D	3	7.0	8.647160399	0.000000017		98	L20057
2s^22p3p	^3S	1	3.0	8.771134696	0.000000016		99	L20057
2s^22p3p	^3P	0	1.0	8.84658790	0.00000003		98	L20057
2s^22p3p	^3P	1	3.0	8.848124381	0.000000024		98	L20057
2s^22p3p	^3P	2	5.0	8.850662829	0.000000000		98	L20057
2s^22p3p	^1D	2	5.0	9.00258381	0.00000003		96	L20057
2s^22p3p	^1S	0	1.0	9.17184612	0.00000004		88	L20057
2s2p^3	^3P°	1	3.0	9.33030708	0.00000004		79	L20057
2s2p^3	^3P°	2	5.0	9.330467271	0.000000016		79	L20057
2s2p^3	^3P°	0	1.0	9.33057587	0.00000004		79	L20057
2s^22p3d	^1D°	2	5.0	9.631071843	0.000000024		98	L20057
2s^22p4s	^3P°	0	1.0	9.68378589	0.00000004		93	L20057
2s^22p4s	^3P°	1	3.0	9.685245529	0.000000017		92	L20057
2s^22p4s	^3P°	2	5.0	9.689130559	0.000000015		92	L20057
2s^22p3d	^3F°	2	5.0	9.69545167	0.00000003		86	L20057
2s^22p3d	^3F°	3	7.0	9.697491047	0.000000021		76	L20057
2s^22p3d	^3F°	4	9.0	9.701759406	0.000000017		100	L20057
2s^22p3d	^3D°	1	3.0	9.70715841	0.00000003		97	L20057
2s^22p3d	^3D°	2	5.0	9.708910751	0.000000021		84	L20057
2s^22p3d	^3D°	3	7.0	9.710227435	0.000000011		75	L20057
2s^22p4s	^1P°	1	3.0	9.71295903	0.00000003		80	L20057
2s^22p3d	^1F°	3	7.0	9.73643528	0.00000003		99	L20057
2s^22p3d	^1P°	1	3.0	9.76143658	0.00000005		81	L20057
2s^22p3d	^3P°	2	5.0	9.833294423	0.000000011		77	L20057
2s^22p3d	^3P°	1	3.0	9.83427899	0.00000004		77	L20057
2s^22p3d	^3P°	0	1.0	9.83482192	0.00000006		78	L20057
2s^22p4p	^1P	1	3.0	9.98852478	0.00000003		96	L20057
2s^22p4p	^3D	1	3.0	10.01574721	0.00000003		97	L20057
2s^22p4p	^3D	2	5.0	10.018083033	0.000000019		98	L20057
2s^22p4p	^3D	3	7.0	10.022216175	0.000000016		98	L20057
2s^22p4p	^3S	1	3.0	10.055746371	0.000000017		89	L20057
2s^22p4p	^3P	0	1.0	10.08128590	0.00000004		98	L20057
2s^22p4p	^3P	1	3.0	10.083115460	0.000000025		89	L20057
