Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3s^23p^6	^1S	0	1.0	0.00000	0.00016		96	L7185
3s^23p^53d	^3P°	0	1.0	25.21507	0.00003		100	L7185
3s^23p^53d	^3P°	1	3.0	25.27442	0.00003		100	L7185
3s^23p^53d	^3P°	2	5.0	25.39725	0.00003		99	L7185
3s^23p^53d	^3F°	4	9.0	26.32309	0.00004		100	L7185
3s^23p^53d	^3F°	3	7.0	26.45567	0.00003		99	L7185
3s^23p^53d	^3F°	2	5.0	26.57404	0.00003		99	L7185
3s^23p^53d	^1D°	2	5.0	27.998883	0.000021		56	L7185
3s^23p^53d	^3D°	3	7.0	28.061785	0.000017		84	L7185
3s^23p^53d	^3D°	2	5.0	28.192588	0.000014		56	L7185
3s^23p^53d	^3D°	1	3.0	28.197988	0.000016		100	L7185
3s^23p^53d	^1F°	3	7.0	28.319721	0.000016		84	L7185
3s^23p^54s	^3P°	2	5.0	30.072019	0.000004		99	L7185
3s^23p^54s	^3P°	1	3.0	30.2435201	0.0000025		82	L7185
3s^23p^54s	^3P°	0	1.0	30.451992	0.000004		99	L7185
3s^23p^54s	^1P°	1	3.0	30.710438	0.000006		81	L7185
3s^23p^54p	^3S	1	3.0	33.747098	0.000006		96	L7185
3s^23p^54p	^3D	3	7.0	34.346400	0.000006		99	L7185
3s^23p^54p	^3D	2	5.0	34.390844	0.000004		74	L7185
3s^23p^54p	^3D	1	3.0	34.544603	0.000004		76	L7185
3s^23p^53d	^1P°	1	3.0	34.635437	0.000011		88	L7185
3s^23p^54p	^1D	2	5.0	34.683563	0.000005		51	L7185
3s^23p^54p	^1P	1	3.0	34.856862	0.000004		56	L7185
3s^23p^54p	^3P	2	5.0	34.948944	0.000005		55	L7185
3s^23p^54p	^3P	0	1.0	34.972861	0.000005		97	L7185
3s^23p^54p	^3P	1	3.0	35.034392	0.000004		68	L7185
3s^23p^54p	^1S	0	1.0	36.071256	0.000009		95	L7185
3s^23p^5(^2P°_3/2)4d	^2[^1/_2]°	0	1.0	40.005148	0.000006		99	L7185
3s^23p^5(^2P°_3/2)4d	^2[^1/_2]°	1	3.0	40.047337	0.000010		67	L7185
3s^23p^5(^2P°_3/2)4d	^2[^3/_2]°	2	5.0	40.128113	0.000006		80	L7185
3s^23p^5(^2P°_3/2)4d	^2[^7/_2]°	4	9.0	40.184548	0.000011		100	L7185
3s^23p^5(^2P°_3/2)4d	^2[^7/_2]°	3	7.0	40.252768	0.000007		80	L7185
3s^23p^5(^2P°_3/2)4d	^2[^5/_2]°	2	5.0	40.352848	0.000006		82	L7185
3s^23p^5(^2P°_3/2)4d	^2[^5/_2]°	3	7.0	40.441949	0.000007		80	L7185
3s^23p^5(^2P°_3/2)5s	^2[^3/_2]°	2	5.0	40.657254	0.000006		96	L7185
3s^23p^5(^2P°_3/2)4d	^2[^3/_2]°	1	3.0	40.662119	0.000007		48	L7185
3s^23p^5(^2P°_1/2)4d	^2[^5/_2]°	2	5.0	40.678098	0.000006		82	L7185
3s^23p^5(^2P°_3/2)5s	^2[^3/_2]°	1	3.0	40.739032	0.000006		91	L7185
3s^23p^5(^2P°_1/2)4d	^2[^5/_2]°	3	7.0	40.739814	0.000007		91	L7185
3s^23p^5(^2P°_1/2)4d	^2[^3/_2]°	2	5.0	40.742048	0.000006		80	L7185
