Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^64s	^2S	^1/_2	2.0	0.000000	0	L7185		L7185
3p^63d	^2D	^3/_2	4.0	1.692408				
3p^63d	^2D	^5/_2	6.0	1.699932				
3p^64p	^2P°	^1/_2	2.0	3.123349				
3p^64p	^2P°	^3/_2	4.0	3.150984				
3p^65s	^2S	^1/_2	2.0	6.467875				
3p^64d	^2D	^3/_2	4.0	7.047169				
3p^64d	^2D	^5/_2	6.0	7.049551				
3p^65p	^2P°	^1/_2	2.0	7.505138				
3p^65p	^2P°	^3/_2	4.0	7.514841				
3p^64f	^2F°	^7/_2	8.0	8.437981				
3p^64f	^2F°	^5/_2	6.0	8.437981				
3p^66s	^2S	^1/_2	2.0	8.762908				
3p^65d	^2D	^3/_2	4.0	9.016407				
3p^65d	^2D	^5/_2	6.0	9.017486				
3p^66p	^2P°	^1/_2	2.0	9.234953				
3p^66p	^2P°	^3/_2	4.0	9.239519				
3p^65f	^2F°	^7/_2	8.0	9.675031				
3p^65f	^2F°	^5/_2	6.0	9.675031				
3p^65g	^2G	^7/_2	8.0	9.691190				
3p^65g	^2G	^9/_2	10.0	9.691190				
3p^67s	^2S	^1/_2	2.0	9.850331				
3p^66d	^2D	^3/_2	4.0	9.983397				
3p^66d	^2D	^5/_2	6.0	9.983971				
3p^66f	^2F°	^5/_2	6.0	10.347483				
3p^66f	^2F°	^7/_2	8.0	10.347483				
3p^66g	^2G	^7/_2	8.0	10.357640				
3p^66g	^2G	^9/_2	10.0	10.357640				
3p^68s	^2S	^1/_2	2.0	10.451978				
3p^67d	^2D	^3/_2	4.0	10.530431				
3p^67d	^2D	^5/_2	6.0	10.530773				
3p^67f	^2F°	^5/_2	6.0	10.752785				
3p^67f	^2F°	^7/_2	8.0	10.752785				
3p^67g	^2G	^7/_2	8.0	10.759490				
3p^67g	^2G	^9/_2	10.0	10.759490				
3p^69s	^2S	^1/_2	2.0	10.819836				
3p^68d	^2D	^3/_2	4.0	10.869934				
3p^68d	^2D	^5/_2	6.0	10.870156				
3p^68f	^2F°	^7/_2	8.0	11.015663				
3p^68f	^2F°	^5/_2	6.0	11.015663				
3p^68g	^2G	^9/_2	10.0	11.020278				
3p^68g	^2G	^7/_2	8.0	11.020278				
3p^68h	^2H°	^11/_2	12.0	11.021035				
3p^68h	^2H°	^9/_2	10.0	11.021035				
3p^610s	^2S	^1/_2	2.0	11.061142				
3p^69d	^2D	^3/_2	4.0	11.095089				
3p^69d	^2D	^5/_2	6.0	11.095238				
3p^69f	^2F°	^7/_2	8.0	11.19577				
3p^69f	^2F°	^5/_2	6.0	11.19577				
3p^69g	^2G	^9/_2	10.0	11.199053				
3p^69g	^2G	^7/_2	8.0	11.199053				
3p^610d	^2D	^3/_2	4.0	11.252052				
3p^610d	^2D	^5/_2	6.0	11.252161				
3p^610f	^2F°	^7/_2	8.0	11.32447				
3p^610f	^2F°	^5/_2	6.0	11.32447				
3p^610h	^2H°	^11/_2	12.0	11.327320				
3p^610h	^2H°	^9/_2	10.0	11.327320				
3p^611d	^2D	^5/_2	6.0	11.36588				
3p^611d	^2D	^3/_2	4.0	11.36588				
3p^612d	^2D	^5/_2	6.0	11.45106				
3p^612d	^2D	^3/_2	4.0	11.45106				
3p^613d	^2D	^3/_2	4.0	11.51602				
3p^613d	^2D	^5/_2	6.0	11.51602				
3p^614d	^2D	^3/_2	4.0	11.56743				
3p^614d	^2D	^5/_2	6.0	11.56743				
3p^615d	^2D	^5/_2	6.0	11.60826				
3p^615d	^2D	^3/_2	4.0	11.60826				
3p^616d	^2D	^5/_2	6.0	11.64143				
3p^616d	^2D	^3/_2	4.0	11.64143				
