Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3s^23p^5	^2P°	^3/_2	4.0	0.00000	0	L7185		L7185
3s^23p^5	^2P°	^1/_2	2.0	0.38661				
3s3p^6	^2S	^1/_2	2.0	18.90010				
3s^23p^4(^3P)3d	^4D	^7/_2	8.0	24.9834				
3s^23p^4(^3P)3d	^4D	^5/_2	6.0	25.0134				
3s^23p^4(^3P)3d	^4D	^3/_2	4.0	25.0487				
3s^23p^4(^3P)3d	^4D	^1/_2	2.0	25.0763				
3s^23p^4(^3P)3d	^4F	^9/_2	10.0	27.0760				
3s^23p^4(^3P)3d	^4F	^7/_2	8.0	27.2104				
3s^23p^4(^1D)3d	^2P	^1/_2	2.0	27.2754				
3s^23p^4(^3P)3d	^4F	^5/_2	6.0	27.306				
3s^23p^4(^3P)3d	^4F	^3/_2	4.0	27.3684				
3s^23p^4(^1D)3d	^2P	^3/_2	4.0	27.5177				
3s^23p^4(^3P)3d	^4P	^1/_2	2.0	28.1709				
3s^23p^4(^3P)3d	^4P	^3/_2	4.0	28.2467				
3s^23p^4(^1D)3d	^2D	^3/_2	4.0	28.3225				
3s^23p^4(^3P)3d	^4P	^5/_2	6.0	28.3544				
3s^23p^4(^1D)3d	^2D	^5/_2	6.0	28.5311				
3s^23p^4(^3P)3d	^2F	^7/_2	8.0	28.6761				
3s^23p^4(^3P)3d	^2F	^5/_2	6.0	28.9938				
3s^23p^4(^1D)3d	^2G	^9/_2	10.0	29.0740				
3s^23p^4(^1D)3d	^2G	^7/_2	8.0	29.0919				
3s^23p^4(^1D)3d	^2F	^5/_2	6.0	31.2795				
3s^23p^4(^1D)3d	^2F	^7/_2	8.0	31.3560				
3s^23p^4(^1S)3d	^2D	^3/_2	4.0	33.4725				
3s^23p^4(^1S)3d	^2D	^5/_2	6.0	33.5417				
3s^23p^4(^3P)4s	^4P	^5/_2	6.0	36.1359				
3s^23p^4(^3P)4s	^4P	^3/_2	4.0	36.3105				
3s^23p^4(^1D)3d	^2S	^1/_2	2.0	36.3285				
3s^23p^4(^3P)3d	^2P	^3/_2	4.0	36.4355				
3s^23p^4(^3P)4s	^4P	^1/_2	2.0	36.4876				
3s^23p^4(^3P)3d	^2P	^1/_2	2.0	36.5918				
3s^23p^4(^3P)3d	^2D	^5/_2	6.0	37.3463				
3s^23p^4(^3P)4s	^2P	^3/_2	4.0	37.4083				
3s^23p^4(^3P)4s	^2P	^1/_2	2.0	37.6421				
3s^23p^4(^3P)3d	^2D	^3/_2	4.0	37.673				
3s^23p^4(^1D)4s	^2D	^5/_2	6.0	38.7472				
3s^23p^4(^1D)4s	^2D	^3/_2	4.0	38.764				
3s^23p^4(^3P)4p	^4P°	^5/_2	6.0	41.0007				
3s^23p^4(^3P)4p	^4P°	^3/_2	4.0	41.0602				
3s^23p^4(^3P)4p	^4P°	^1/_2	2.0	41.1589				
3s^23p^4(^3P)4p	^4D°	^7/_2	8.0	41.5498				
3s^23p^4(^3P)4p	^4D°	^5/_2	6.0	41.6464				
3s^23p^4(^3P)4p	^4D°	^3/_2	4.0	41.7775				
3s^23p^4(^1S)4s	^2S	^1/_2	2.0	41.8092				
3s^23p^4(^3P)4p	^4D°	^1/_2	2.0	41.8387				
3s^23p^4(^3P)4p	^2D°	^5/_2	6.0	41.938				
3s^23p^4(^3P)4p	^2P°	^1/_2	2.0	41.94				
3s^23p^4(^3P)4p	^2P°	^3/_2	4.0	42.0256				
3s^23p^4(^3P)4p	^2D°	^3/_2	4.0	42.2014				
3s^23p^4(^3P)4p	^2S°	^1/_2	2.0	42.4729				
3s^23p^4(^3P)4p	^4S°	^3/_2	4.0	42.5160				
3s^23p^4(^1D)4p	^2F°	^5/_2	6.0	43.6615				
3s^23p^4(^1D)4p	^2F°	^7/_2	8.0	43.7188				
3s^23p^4(^1D)4p	^2D°	^3/_2	4.0	44.3790				
3s^23p^4(^1D)4p	^2D°	^5/_2	6.0	44.4243				
3s^23p^4(^1D)4p	^2P°	^3/_2	4.0	44.5816				
3s^23p^4(^1D)4p	^2P°	^1/_2	2.0	44.779				
3s3p^5(^3P°)3d	^4F°	^9/_2	10.0	45.5238				
3s3p^5(^3P°)3d	^4F°	^7/_2	8.0	45.6226				
3s3p^5(^3P°)3d	^4F°	^5/_2	6.0	45.708				
3s3p^5(^3P°)3d	^4F°	^3/_2	4.0	45.7746				
3s^23p^4(^1S)4p	^2P°	^1/_2	2.0	47.0860				
3s^23p^4(^1S)4p	^2P°	^3/_2	4.0	47.1193				
3s3p^5(^3P°)3d	^4D°	^7/_2	8.0	47.4414				
3s3p^5(^3P°)3d	^4D°	^5/_2	6.0	47.4827				
3s3p^5(^3P°)3d	^4D°	^3/_2	4.0	47.5014				
3s3p^5(^3P°)3d	^4D°	^1/_2	2.0	47.5078				
3s^23p^4(^1D)5s	^2D	^5/_2	6.0	49.5633				
3s^23p^4(^1D)5s	^2D	^3/_2	4.0	49.7122				
