Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^64s^2	^1S	0	1.0	0.0000000	0	L7185		L7185
3p^64s4p	^3P°	0	1.0	1.8793402		L7185		L7185
3p^64s4p	^3P°	1	3.0	1.8858075		L7185		L7185
3p^64s4p	^3P°	2	5.0	1.8989349		L7185		L7185
3p^63d4s	^3D	1	3.0	2.5212633		L7185		L7185
3p^63d4s	^3D	2	5.0	2.5229867		L7185		L7185
3p^63d4s	^3D	3	7.0	2.5256821		L7185		L7185
3p^63d4s	^1D	2	5.0	2.7090094		L7185		L7185
3p^64s4p	^1P°	1	3.0	2.9325120		L7185		L7185
3p^64s5s	^3S	1	3.0	3.9103990		L7185		L7185
3p^64s5s	^1S	0	1.0	4.1308143		L7185		L7185
3p^63d4p	^3F°	2	5.0	4.4300117		L7185		L7185
3p^63d4p	^3F°	3	7.0	4.4409544		L7185		L7185
3p^63d4p	^1D°	2	5.0	4.4430250		L7185		L7185
3p^63d4p	^3F°	4	9.0	4.4506470		L7185		L7185
3p^64s5p	^3P°	0	1.0	4.5313358		L7185		L7185
3p^64s5p	^3P°	1	3.0	4.5322113		L7185		L7185
3p^64s5p	^3P°	2	5.0	4.5347368		L7185		L7185
3p^64s5p	^1P°	1	3.0	4.5541398		L7185		L7185
3p^64s4d	^1D	2	5.0	4.6243982		L7185		L7185
3p^64s4d	^3D	1	3.0	4.6801799		L7185		L7185
3p^64s4d	^3D	2	5.0	4.6806350		L7185		L7185
3p^64s4d	^3D	3	7.0	4.6813270		L7185		L7185
3p^63d4p	^3D°	1	3.0	4.7352531		L7185		L7185
3p^63d4p	^3D°	2	5.0	4.7385667		L7185		L7185
3p^63d4p	^3D°	3	7.0	4.7435268		L7185		L7185
3p^64p^2	^3P	0	1.0	4.7631683		L7185		L7185
3p^64p^2	^3P	1	3.0	4.7690284		L7185		L7185
3p^64p^2	^3P	2	5.0	4.7797840		L7185		L7185
3p^63d4p	^3P°	0	1.0	4.8767178		L7185		L7185
3p^63d4p	^3P°	1	3.0	4.8769584		L7185		L7185
3p^63d4p	^3P°	2	5.0	4.8775483		L7185		L7185
3p^64s6s	^3S	1	3.0	5.0181663		L7185		L7185
3p^63d4p	^1F°	3	7.0	5.0260582		L7185		L7185
3p^64s6s	^1S	0	1.0	5.0449710		L7185		L7185
3p^64p^2	^1D	2	5.0	5.0486176		L7185		L7185
3p^64s6p	^1P°	1	3.0	5.1675384		L7185		L7185
3p^64p^2	^1S	0	1.0	5.1808379		L7185		L7185
3p^64s4f	^3F°	2	5.0	5.2284402		L7185		L7185
3p^64s4f	^3F°	3	7.0	5.2284828		L7185		L7185
3p^64s4f	^3F°	4	9.0	5.2285409		L7185		L7185
3p^64s4f	^1F°	3	7.0	5.2499357		L7185		L7185
3p^64s6p	^3P°	0	1.0	5.2711690		L7185		L7185
3p^64s6p	^3P°	1	3.0	5.2716479		L7185		L7185
3p^64s6p	^3P°	2	5.0	5.2726253		L7185		L7185
3p^64s5d	^3D	1	3.0	5.2994568		L7185		L7185
3p^64s5d	^3D	2	5.0	5.2996694		L7185		L7185
3p^64s5d	^3D	3	7.0	5.3000005		L7185		L7185
3p^64s5d	^1D	2	5.0	5.3212844		L7185		L7185
3p^63d^2	^3F	2	5.0	5.3901916		L7185		L7185
3p^63d^2	^3F	3	7.0	5.3919636		L7185		L7185
3p^63d^2	^3F	4	9.0	5.3943154		L7185		L7185
3p^64snp	w ^1P°	1	3.0	5.4470569		L7185		L7185
3p^64s7s	^3S	1	3.0	5.4529201		L7185		L7185
3p^64s7s	^1S	0	1.0	5.4895911		L7185		L7185
3p^64s5f	^3F°	2	5.0	5.5498576		L7185		L7185
3p^64s5f	^3F°	3	7.0	5.5498847		L7185		L7185
3p^64s5f	^3F°	4	9.0	5.5499193		L7185		L7185
3p^64s5f	^1F°	3	7.0	5.5550969		L7185		L7185
3p^64s5g	^3G	5	11.0	5.563774		L7185		L7185
3p^64s5g	^1G	4	9.0	5.563909		L7185		L7185
3p^64s7p	^3P°	0	1.0	5.573793		L7185		L7185
3p^64s7p	^3P°	1	3.0	5.5740388		L7185		L7185
3p^64s7p	^3P°	2	5.0	5.5745474		L7185		L7185
3p^64s6d	^1D	2	5.0	5.5780280		L7185		L7185
3p^64s6d	^3D	1	3.0	5.5853732		L7185		L7185
3p^64s6d	^3D	2	5.0	5.5855401		L7185		L7185
3p^64s6d	^3D	3	7.0	5.5857825		L7185		L7185
3p^64s7p	^1P°	1	3.0	5.6320266		L7185		L7185
3p^64s8s	^3S	1	3.0	5.6708741		L7185		L7185
3p^64s8s	^1S	0	1.0	5.6892877		L7185		L7185
3p^64s6f	^3F°	2	5.0	5.7236864		L7185		L7185
3p^64s6f	^3F°	3	7.0	5.7237039		L7185		L7185
3p^64s6f	^3F°	4	9.0	5.7237269		L7185		L7185
3p^64s6f	^1F°	3	7.0	5.7258877		L7185		L7185
3p^64s7d	^1D	2	5.0	5.728086		L7185		L7185
3p^64s8p	^3P°	0	1.0	5.738500		L7185		L7185
3p^64s8p	^3P°	1	3.0	5.738637		L7185		L7185
3p^64s8p	^3P°	2	5.0	5.738935		L7185		L7185
3p^64s7d	^3D	1	3.0	5.7407130		L7185		L7185
3p^64s7d	^3D	2	5.0	5.7409208		L7185		L7185
3p^64s7d	^3D	3	7.0	5.7412196		L7185		L7185
3p^64s8p	^1P°	1	3.0	5.7627624		L7185		L7185
3p^64s9s	^3S	1	3.0	5.7960484		L7185		L7185
3p^64s9s	^1S	0	1.0	5.8068068		L7185		L7185
3p^64s8d	^1D	2	5.0	5.820932		L7185		L7185
3p^64s7f	^3F°	2	5.0	5.8280253		L7185		L7185
3p^64s7f	^3F°	3	7.0	5.8280359		L7185		L7185
3p^64s7f	^3F°	4	9.0	5.8280508		L7185		L7185
3p^64s7f	^1F°	3	7.0	5.8291346		L7185		L7185
3p^64s8d	^3D	1	3.0	5.8317487		L7185		L7185
3p^64s8d	^3D	2	5.0	5.8322176		L7185		L7185
3p^64s8d	^3D	3	7.0	5.8328665		L7185		L7185
3p^64s9p	^3P°	1	3.0	5.837843		L7185		L7185
3p^64s9p	^3P°	2	5.0	5.838043		L7185		L7185
3p^64s9p	^1P°	1	3.0	5.8501163		L7185		L7185
3p^64s10s	^3S	1	3.0	5.8746252		L7185		L7185
3p^64s10s	^1S	0	1.0	5.8814968		L7185		L7185
3p^63d5s	^1D	2	5.0	5.8829365		L7185		L7185
3p^63d5s	^3D	1	3.0	5.8838502		L7185		L7185
3p^63d5s	^3D	2	5.0	5.8850357		L7185		L7185
3p^63d5s	^3D	3	7.0	5.8862633		L7185		L7185
3p^64s8f	^3F°	2	5.0	5.8954752		L7185		L7185
3p^64s8f	^3F°	3	7.0	5.8954822		L7185		L7185
3p^64s8f	^3F°	4	9.0	5.8954946		L7185		L7185
3p^64s8f	^1F°	3	7.0	5.896097		L7185		L7185
3p^64s10p	^3P°	1	3.0	5.902237		L7185		L7185
3p^64s10p	^3P°	2	5.0	5.902363		L7185		L7185
3p^64s10p	^1P°	1	3.0	5.909347		L7185		L7185
3p^64s9d	^3D	1	3.0	5.9205747		L7185		L7185
3p^64s9d	^3D	2	5.0	5.9211488		L7185		L7185
3p^64s9d	^3D	3	7.0	5.9221917		L7185		L7185
3p^64s11s	^3S	1	3.0	5.927213		L7185		L7185
3p^64s9d	^1D	2	5.0	5.927981		L7185		L7185
3p^64s11s	^1S	0	1.0	5.931870		L7185		L7185
3p^64s9f	^3F°	2	5.0	5.941555		L7185		L7185
3p^64s9f	^3F°	3	7.0	5.9415684		L7185		L7185
3p^64s9f	^3F°	4	9.0	5.9415748		L7185		L7185
3p^64s9f	^1F°	3	7.0	5.9419361		L7185		L7185
3p^64s11p	^3P°	1	3.0	5.946390		L7185		L7185
3p^64s11p	^3P°	2	5.0	5.946472		L7185		L7185
3p^64s11p	^1P°	1	3.0	5.950930		L7185		L7185
3p^64s10d	^3D	1	3.0	5.955157		L7185		L7185
3p^64s10d	^3D	2	5.0	5.955362		L7185		L7185
3p^64s10d	^3D	3	7.0	5.9557312		L7185		L7185
3p^64s10d	^1D	2	5.0	5.961583		L7185		L7185
3p^64s12s	^3S	1	3.0	5.964138		L7185		L7185
3p^64s12s	^1S	0	1.0	5.967452		L7185		L7185
3p^64s10f	^3F°	2	5.0	5.9744321		L7185		L7185
3p^64s10f	^3F°	3	7.0	5.9744359		L7185		L7185
3p^64s10f	^3F°	4	9.0	5.9744412		L7185		L7185
3p^64s10f	^1F°	3	7.0	5.9746733		L7185		L7185
3p^64s10g	^1G	4	9.0	5.97631		L7185		L7185
3p^64s10h	^1H°	5	11.0	5.9770		L7185		L7185
3p^64s12p	^3P°	1	3.0	5.977999		L7185		L7185
3p^64s12p	^3P°	2	5.0	5.978067		L7185		L7185
3p^64s12p	^1P°	1	3.0	5.981063		L7185		L7185
3p^64s11d	^3D	1	3.0	5.983267		L7185		L7185
3p^64s11d	^3D	2	5.0	5.983334		L7185		L7185
3p^64s11d	^3D	3	7.0	5.983513		L7185		L7185
3p^64s11d	^1D	2	5.0	5.987302		L7185		L7185
3p^64s13s	^3S	1	3.0	5.991058		L7185		L7185
3p^64s13s	^1S	0	1.0	5.993489		L7185		L7185
3p^64s11f	^3F°	2	5.0	5.998690		L7185		L7185
3p^64s11f	^3F°	3	7.0	5.9987003		L7185		L7185
3p^64s11f	^3F°	4	9.0	5.9987028		L7185		L7185
3p^64s11f	^1F°	3	7.0	5.9988563		L7185		L7185
3p^64s11g	^1G	4	9.0	6.00013		L7185		L7185
3p^64s11h	^1H°	5	11.0	6.00066		L7185		L7185
3p^64s13p	^3P°	1	3.0	6.001402		L7185		L7185
3p^64s13p	^3P°	2	5.0	6.001449		L7185		L7185
3p^64s13p	^1P°	1	3.0	6.003574		L7185		L7185
3p^64s12d	^3D	1	3.0	6.004928		L7185		L7185
3p^64s12d	^3D	2	5.0	6.004984		L7185		L7185
3p^64s12d	^3D	3	7.0	6.005109		L7185		L7185
3p^64s12d	^1D	2	5.0	6.007249		L7185		L7185
3p^64s14s	^3S	1	3.0	6.011287		L7185		L7185
3p^64s14s	^1S	0	1.0	6.013127		L7185		L7185
3p^63d^2	^3P	0	1.0	6.0162208		L7185		L7185
3p^64s12f	^3F°	3	7.0	6.017082		L7185		L7185
3p^64s12f	^3F°	4	9.0	6.017082		L7185		L7185
3p^64s12f	^1F°	3	7.0	6.0172184		L7185		L7185
3p^63d^2	^3P	1	3.0	6.0178983		L7185		L7185
3p^64s12g	^1G	4	9.0	6.01821		L7185		L7185
3p^64s12h	^1H°	5	11.0	6.01871		L7185		L7185
3p^64s14p	^3P°	1	3.0	6.019222		L7185		L7185
3p^64s14p	^3P°	2	5.0	6.019248		L7185		L7185
3p^64s14p	^1P°	1	3.0	6.020809		L7185		L7185
3p^63d^2	^3P	2	5.0	6.0211093		L7185		L7185
3p^64s13d	^3D	1	3.0	6.021746		L7185		L7185
3p^64s13d	^3D	2	5.0	6.021782		L7185		L7185
3p^64s13d	^3D	3	7.0	6.021852		L7185		L7185
3p^64s13d	^1D	2	5.0	6.022944		L7185		L7185
3p^64s15s	^3S	1	3.0	6.026841		L7185		L7185
3p^64s15s	^1S	0	1.0	6.028301		L7185		L7185
3p^64s13f	^3F°	4	9.0	6.031382		L7185		L7185
3p^64s13f	^1F°	3	7.0	6.031496		L7185		L7185
3p^64s13g	^1G	4	9.0	6.03229		L7185		L7185
3p^64s13h	^1H°	5	11.0	6.03270		L7185		L7185
3p^64s15p	^3P°	2	5.0	6.033100		L7185		L7185
3p^64s15p	^1P°	1	3.0	6.034290		L7185		L7185
3p^64s14d	^3D	1	3.0	6.034983		L7185		L7185
3p^64s14d	^3D	2	5.0	6.035011		L7185		L7185
3p^64s14d	^3D	3	7.0	6.035066		L7185		L7185
3p^64s14d	^1D	2	5.0	6.035423		L7185		L7185
3p^64s16s	^3S	1	3.0	6.039124		L7185		L7185
3p^64s16s	^1S	0	1.0	6.040265		L7185		L7185
3p^64s14f	^1F°	3	7.0	6.042809		L7185		L7185
3p^64s14g	^1G	4	9.0	6.04341		L7185		L7185
3p^64s14h	^1H°	5	11.0	6.04391		L7185		L7185
3p^64s16p	^3P°	2	5.0	6.044111		L7185		L7185
3p^64s16p	^1P°	1	3.0	6.045029		L7185		L7185
3p^64s15d	^1D	2	5.0	6.045487		L7185		L7185
3p^64s15d	^3D	1	3.0	6.045579		L7185		L7185
3p^64s15d	^3D	2	5.0	6.045618		L7185		L7185
3p^64s15d	^3D	3	7.0	6.045632		L7185		L7185
3p^64s17s	^3S	1	3.0	6.048945		L7185		L7185
3p^64s17s	^1S	0	1.0	6.049866		L7185		L7185
3p^64s15f	^1F°	3	7.0	6.051928		L7185		L7185
3p^64s17p	^3P°	2	5.0	6.052983		L7185		L7185
3p^64s17p	^1P°	1	3.0	6.053719		L7185		L7185
3p^64s16d	^1D	2	5.0	6.053783		L7185		L7185
3p^64s16d	^3D	1	3.0	6.054132		L7185		L7185
3p^64s16d	^3D	2	5.0	6.054142		L7185		L7185
3p^64s16d	^3D	3	7.0	6.054207		L7185		L7185
3p^64s18s	^3S	1	3.0	6.056948		L7185		L7185
3p^64s18s	^1S	0	1.0	6.057693		L7185		L7185
3p^64s16f	^1F°	3	7.0	6.059381		L7185		L7185
3p^64s18p	^3P°	2	5.0	6.060262		L7185		L7185
3p^64s17d	^1D	2	5.0	6.060641		L7185		L7185
3p^64s18p	^1P°	1	3.0	6.060851		L7185		L7185
3p^64s17d	^3D	2	5.0	6.061185		L7185		L7185
3p^64s17d	^3D	1	3.0	6.061203		L7185		L7185
3p^64s17d	^3D	3	7.0	6.061220		L7185		L7185
3p^64s19s	^3S	1	3.0	6.063522		L7185		L7185
3p^64s19s	^1S	0	1.0	6.064148		L7185		L7185
3p^64s17f	^1F°	3	7.0	6.065549		L7185		L7185
3p^64s19p	^3P°	2	5.0	6.066290		L7185		L7185
3p^64s18d	^1D	2	5.0	6.066397		L7185		L7185
3p^64s19p	^1P°	1	3.0	6.066772		L7185		L7185
3p^64s18d	^3D	2	5.0	6.067048		L7185		L7185
3p^64s18d	^3D	1	3.0	6.067055		L7185		L7185
3p^64s18d	^3D	3	7.0	6.067082		L7185		L7185
3p^64s20s	^3S	1	3.0	6.069012		L7185		L7185
3p^64s20s	^1S	0	1.0	6.069539		L7185		L7185
3p^64s18f	^1F°	3	7.0	6.070721		L7185		L7185
3p^64s19d	^1D	2	5.0	6.071271		L7185		L7185
3p^64s20p	^3P°	2	5.0	6.071341		L7185		L7185
3p^64s20p	^1P°	1	3.0	6.071745		L7185		L7185
3p^64s19d	^3D	1	3.0	6.071977		L7185		L7185
3p^64s19d	^3D	3	7.0	6.071992		L7185		L7185
3p^64s19d	^3D	2	5.0	6.071996		L7185		L7185
3p^64s21s	^3S	1	3.0	6.073657		L7185		L7185
3p^64s21s	^1S	0	1.0	6.074089		L7185		L7185
3p^64s19f	^1F°	3	7.0	6.075088		L7185		L7185
3p^64s20d	^1D	2	5.0	6.075432		L7185		L7185
3p^64s21p	^3P°	2	5.0	6.075624		L7185		L7185
3p^64s21p	^1P°	1	3.0	6.075960		L7185		L7185
3p^64s20d	^3D	2	5.0	6.076166		L7185		L7185
3p^64s20d	^3D	1	3.0	6.076167		L7185		L7185
3p^64s20d	^3D	3	7.0	6.076180		L7185		L7185
3p^64s22s	^3S	1	3.0	6.077598		L7185		L7185
3p^64s22s	^1S	0	1.0	6.077956		L7185		L7185
3p^64s20f	^1F°	3	7.0	6.078813		L7185		L7185
3p^64s21d	^1D	2	5.0	6.079013		L7185		L7185
3p^64s22p	^3P°	2	5.0	6.079280		L7185		L7185
3p^64s22p	^1P°	1	3.0	6.079563		L7185		L7185
3p^64s21d	^3D	2	5.0	6.079739		L7185		L7185
3p^64s23s	^3S	1	3.0	6.080956		L7185		L7185
3p^64s23s	^1S	0	1.0	6.081282		L7185		L7185
3p^64s21f	^1F°	3	7.0	6.082020		L7185		L7185
3p^64s22d	^1D	2	5.0	6.082122		L7185		L7185
3p^64s23p	^3P°	2	5.0	6.082419		L7185		L7185
3p^64s23p	^1P°	1	3.0	6.082667		L7185		L7185
3p^64s22d	^3D	2	5.0	6.082817		L7185		L7185
3p^64s24s	^3S	1	3.0	6.083882		L7185		L7185
3p^64s24s	^1S	0	1.0	6.084151		L7185		L7185
3p^64s22f	^1F°	3	7.0	6.084797		L7185		L7185
3p^64s23d	^1D	2	5.0	6.084832		L7185		L7185
3p^64s24p	^3P°	2	5.0	6.085149		L7185		L7185
3p^64s24p	^1P°	1	3.0	6.085361		L7185		L7185
3p^64s23d	^3D	2	5.0	6.085495		L7185		L7185
3p^64s25s	^3S	1	3.0	6.086434		L7185		L7185
3p^64s25s	^1S	0	1.0	6.086656		L7185		L7185
3p^64s24d	^1D	2	5.0	6.087193		L7185		L7185
3p^64s23f	^1F°	3	7.0	6.087220		L7185		L7185
3p^64s25p	^3P°	2	5.0	6.087531		L7185		L7185
3p^64s25p	^1P°	1	3.0	6.087713		L7185		L7185
3p^64s24d	^3D	2	5.0	6.087811		L7185		L7185
3p^64s26s	^3S	1	3.0	6.088635		L7185		L7185
3p^64s26s	^1S	0	1.0	6.088845		L7185		L7185
3p^64s25d	^1D	2	5.0	6.089287		L7185		L7185
3p^64s24f	^1F°	3	7.0	6.089341		L7185		L7185
3p^64s26p	^3P°	2	5.0	6.089617		L7185		L7185
3p^64s26p	^1P°	1	3.0	6.089779		L7185		L7185
3p^64s25d	^3D	2	5.0	6.089886		L7185		L7185
3p^64s27s	^3S	1	3.0	6.090602		L7185		L7185
3p^64s27s	^1S	0	1.0	6.090778		L7185		L7185
3p^64s26d	^1D	2	5.0	6.091138		L7185		L7185
3p^64s25f	^1F°	3	7.0	6.091220		L7185		L7185
3p^64s27p	^3P°	2	5.0	6.091460		L7185		L7185
3p^64s27p	^1P°	1	3.0	6.091603		L7185		L7185
3p^64s26d	^3D	2	5.0	6.091687		L7185		L7185
3p^64s28s	^3S	1	3.0	6.092343		L7185		L7185
3p^64s28s	^1S	0	1.0	6.092498		L7185		L7185
