Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^7	a ^4F	^9/_2	10.0	0.000000	0.000021		99	L19543
3d^7	a ^4F	^7/_2	8.0	0.104315	0.000020		99	L19543
3d^7	a ^4F	^5/_2	6.0	0.179942	0.000020		99	L19543
3d^7	a ^4F	^3/_2	4.0	0.231540	0.000024		99	L19543
3d^7	a ^4P	^5/_2	6.0	1.884877	0.000020		98	L19543
3d^7	a ^4P	^3/_2	4.0	1.912899	0.000019		95	L19543
3d^7	a ^4P	^1/_2	2.0	1.96048	0.00003		97	L19543
3d^7	a ^2G	^9/_2	10.0	2.105197	0.000015		97	L19543
3d^7	a ^2G	^7/_2	8.0	2.203059	0.000016		99	L19543
3d^7	a ^2P	^3/_2	4.0	2.504152	0.000019		83	L19543
3d^7	a ^2P	^1/_2	2.0	2.59391	0.00003		97	L19543
3d^7	a ^2H	^11/_2	12.0	2.81710	0.00003		99	L19543
3d^7	a ^2D2	^5/_2	6.0	2.859193	0.000016		76	L19543
3d^7	a ^2H	^9/_2	10.0	2.905685	0.000019		97	L19543
3d^7	a ^2D2	^3/_2	4.0	3.005229	0.000021		68	L19543
3d^7	a ^2F	^5/_2	6.0	4.590195	0.000025		98	L19543
3d^7	a ^2F	^7/_2	8.0	4.626824	0.000019		98	L19543
3d^6(^5D)4s	a ^6D	^9/_2	10.0	5.7576877	0.0000007		99	L19543
3d^6(^5D)4s	a ^6D	^7/_2	8.0	5.8277190	0.0000005		99	L19543
3d^6(^5D)4s	a ^6D	^5/_2	6.0	5.8788367	0.0000005		99	L19543
3d^6(^5D)4s	a ^6D	^3/_2	4.0	5.9139546	0.0000007		99	L19543
3d^6(^5D)4s	a ^6D	^1/_2	2.0	5.9345478	0.0000006		99	L19543
3d^6(^5D)4s	a ^4D	^7/_2	8.0	6.9095728	0.0000005		99	L19543
3d^6(^5D)4s	a ^4D	^5/_2	6.0	6.9894783	0.0000009		99	L19543
3d^6(^5D)4s	a ^4D	^3/_2	4.0	7.0416752	0.0000009		99	L19543
3d^6(^5D)4s	a ^4D	^1/_2	2.0	7.0716983	0.0000010		99	L19543
3d^7	b ^2D1	^3/_2	4.0	7.09507	0.00004		77	L19543
