Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^8	a ^3F	4	9.0	0.00000000	0.00000012		100	L9429
3d^8	a ^3F	3	7.0	0.11782516	0.00000025		100	L9429
3d^8	a ^3F	2	5.0	0.19802719	0.00000025		99	L9429
3d^7(^4F)4s	a ^5F	5	11.0	0.41540831	0.00000012	1.413	100	L9429,L7185
3d^7(^4F)4s	a ^5F	4	9.0	0.49953085	0.00000012	1.354	100	L9429,L7185
3d^7(^4F)4s	a ^5F	3	7.0	0.56546577	0.00000012	1.258	100	L9429,L7185
3d^7(^4F)4s	a ^5F	2	5.0	0.61372947	0.00000012	0.997	100	L9429,L7185
3d^7(^4F)4s	a ^5F	1	3.0	0.64530031	0.00000012	0.00	100	L9429,L7185
3d^7(^4F)4s	b ^3F	4	9.0	1.21663958	0.00000012	1.243	99	L9429,L7185
3d^7(^4F)4s	b ^3F	3	7.0	1.32766384	0.00000012	1.082	100	L9429,L7185
3d^7(^4F)4s	b ^3F	2	5.0	1.40373174	0.00000012	0.68	98	L9429,L7185
3d^8	a ^1D	2	5.0	1.44457424	0.00000012	1.111	74	L9429,L7185
3d^8	a ^3P	2	5.0	1.64411577	0.00000025	1.415	75	L9429,L7185
3d^8	a ^3P	1	3.0	1.66192399	0.00000012	1.484	99	L9429,L7185
3d^8	a ^3P	0	1.0	1.6853529	0.0000004		99	L9429
3d^7(^4P)4s	a ^5P	3	7.0	2.20338605	0.00000012	1.68	100	L9429,L7185
3d^7(^4P)4s	a ^5P	2	5.0	2.23561202	0.00000012	1.839	98	L9429,L7185
3d^7(^4P)4s	a ^5P	1	3.0	2.27370158	0.00000025	2.510	99	L9429,L7185
3d^8	a ^1G	4	9.0	2.35244233	0.00000012		98	L9429
3d^7(^2G)4s	a ^3G	5	11.0	2.68109977	0.00000012	1.186	98	L9429,L7185
3d^7(^2G)4s	a ^3G	4	9.0	2.72881087	0.00000012	1.066	97	L9429,L7185
3d^7(^2G)4s	a ^3G	3	7.0	2.77903526	0.00000012	0.75	100	L9429,L7185
3d^7(^4P)4s	b ^3P	2	5.0	2.98484767	0.00000012	1.500	81	L9429,L7185
3d^7(^4P)4s	b ^3P	1	3.0	3.00877191	0.00000012	1.498	77	L9429,L7185
3d^7(^4P)4s	b ^3P	0	1.0	3.02663766	0.00000012		69	L9429
3d^7(^2P)4s	c ^3P	2	5.0	3.08552036	0.00000012	1.49	75	L9429,L7185
3d^7(^2G)4s	b ^1G	4	9.0	3.11785953	0.00000012	0.997	92	L9429,L7185
3d^7(^2P)4s	c ^3P	1	3.0	3.13897205	0.00000012	1.47	76	L9429,L7185
3d^7(^2P)4s	c ^3P	0	1.0	3.20639528	0.00000025		68	L9429
3d^7(^2H)4s	a ^3H	6	13.0	3.36068394	0.00000025	1.172	100	L9429,L7185
3d^7(^2H)4s	a ^3H	5	11.0	3.40572046	0.00000012	1.041	98	L9429,L7185
3d^7(^2D2)4s	a ^3D	3	7.0	3.40762796	0.00000025	1.36	77	L9429,L7185
3d^7(^2P)4s	a ^1P	1	3.0	3.42012122	0.00000012	0.83	48	L9429,L7185
3d^7(^2H)4s	a ^3H	4	9.0	3.45942707	0.00000025	0.803	95	L9429,L7185
3d^7(^2D2)4s	a ^3D	2	5.0	3.48542792	0.00000025	1.18	71	L9429,L7185
3d^7(^2D2)4s	a ^3D	1	3.0	3.62886586	0.00000025	0.77	41	L9429,L7185
