Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^6	^5D	4	9.0	0.00000	0		100	L7185
3d^6	^5D	3	7.0	0.07924			100	
3d^6	^5D	2	5.0	0.13362			100	
3d^6	^5D	1	3.0	0.16828			100	
3d^6	^5D	0	1.0	0.18518			100	
3d^6	^3P2	2	5.0	2.83717			62	
3d^6	^3H	6	13.0	2.93588			100	
3d^6	^3H	5	11.0	2.97956			98	
3d^6	^3H	4	9.0	3.00934			93	
3d^6	^3P2	1	3.0	3.06603			62	
3d^6	^3F2	4	9.0	3.14870			71	
3d^6	^3P2	0	1.0	3.15524			62	
3d^6	^3F2	3	7.0	3.19084			76	
3d^6	^3F2	2	5.0	3.21975			79	
3d^6	^3G	5	11.0	3.59824			98	
3d^6	^3G	4	9.0	3.66897			95	
3d^6	^3G	3	7.0	3.70310			97	
3d^6	^1I	6	13.0	4.45633			100	
3d^6	^3D	2	5.0	4.50658			98	
3d^6	^3D	1	3.0	4.51079			100	
3d^6	^3D	3	7.0	4.53218			100	
3d^6	^1G2	4	9.0	4.54815			65	
3d^6	^1S2	0	1.0	5.13814			76	
3d^6	^1D2	2	5.0	5.24971			76	
3d^6	^1F	3	7.0	6.27733			99	
3d^6	^3P1	0	1.0	7.23083			63	
3d^6	^3P1	1	3.0	7.30512			63	
3d^6	^3F1	2	5.0	7.40791			80	
3d^6	^3F1	4	9.0	7.41899			77	
3d^6	^3F1	3	7.0	7.42700			78	
3d^6	^3P1	2	5.0	7.45125			62	
3d^6	^1G1	4	9.0	8.41939			66	
3d^5(^6S)4s	^7S	3	7.0	11.22731			100	
3d^6	^1D1	2	5.0	11.30964			78	
3d^5(^6S)4s	^5S	2	5.0	12.74234			100	
3d^5(^4G)4s	^5G	6	13.0	16.01058			100	
3d^5(^4G)4s	^5G	5	11.0	16.01816			100	
3d^5(^4G)4s	^5G	2	5.0	16.02151			100	
3d^5(^4G)4s	^5G	4	9.0	16.02170			100	
3d^5(^4G)4s	^5G	3	7.0	16.02232			100	
3d^5(^4P)4s	^5P	3	7.0	16.45631			93	
3d^5(^4P)4s	^5P	2	5.0	16.46866			94	
3d^5(^4P)4s	^5P	1	3.0	16.48402			97	
3d^5(^4D)4s	^5D	4	9.0	16.90684			99	
3d^5(^4D)4s	^5D	0	1.0	16.91674			99	L10859
3d^5(^4D)4s	^5D	1	3.0	16.92621			96	
3d^5(^4D)4s	^5D	2	5.0	16.93763			93	
3d^5(^4D)4s	^5D	3	7.0	16.93779			93	
3d^5(^4G)4s	^3G	5	11.0	17.02066			100	
3d^5(^4G)4s	^3G	3	7.0	17.02620			99	
3d^5(^4G)4s	^3G	4	9.0	17.02754			100	
3d^5(^4P)4s	^3P	2	5.0	17.46485			92	
3d^5(^4P)4s	^3P	1	3.0	17.49119			95	
3d^5(^4D)4s	^3D	3	7.0	17.91691			99	
3d^5(^4D)4s	^3D	1	3.0	17.94303			96	
3d^5(^4D)4s	^3D	2	5.0	17.94847			93	
3d^5(^2I)4s	^3I	6	13.0	18.36182			99	
3d^5(^2I)4s	^3I	5	11.0	18.36274			99	
3d^5(^2I)4s	^3I	7	15.0	18.36280			100	
3d^5(^2D3)4s	^3D	3	7.0	18.71801			57	
3d^5(^2D3)4s	^3D	2	5.0	18.72665			52	
3d^5(^2I)4s	^1I	6	13.0	18.85965			99	
3d^5(^4F)4s	^5F	5	11.0	18.86124			98	
3d^5(^4F)4s	^5F	4	9.0	18.86557			95	
3d^5(^4F)4s	^5F	3	7.0	18.87835			90	
3d^5(^4F)4s	^5F	2	5.0	18.89475			74	L10859
3d^5(^2F1)4s	^3F	4	9.0	19.00248			94	
3d^5(^2F1)4s	^3F	2	5.0	19.03466			48	
3d^5(^2F1)4s	^3F	3	7.0	19.09508			73	
3d^5(^6S)4p	^7P°	2	5.0	19.30975			99	
