Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d^74s^2	a ^4F	^9/_2	10.0	0.000000	0	1.33289		L7185
3p^63d^74s^2	a ^4F	^7/_2	8.0	0.101171		1.23778		
3p^63d^74s^2	a ^4F	^5/_2	6.0	0.174426		1.02826		
3p^63d^74s^2	a ^4F	^3/_2	4.0	0.224328		0.39940		
3p^63d^8(^3F)4s	b ^4F	^9/_2	10.0	0.431815		1.33343	100	
3p^63d^8(^3F)4s	b ^4F	^7/_2	8.0	0.513624		1.23661	98	
3p^63d^8(^3F)4s	b ^4F	^5/_2	6.0	0.581508		1.02709	100	
3p^63d^8(^3F)4s	b ^4F	^3/_2	4.0	0.629323		0.404	100	
3p^63d^8(^3F)4s	a ^2F	^7/_2	8.0	0.922741		1.147	98	
3p^63d^8(^3F)4s	a ^2F	^5/_2	6.0	1.049007		0.862	100	
3p^63d^74s^2	a ^4P	^5/_2	6.0	1.710426		1.604		
3p^63d^74s^2	a ^4P	^3/_2	4.0	1.740277		1.722		
3p^63d^74s^2	a ^4P	^1/_2	2.0	1.785283		2.651		
3p^63d^8(^3P)4s	b ^4P	^5/_2	6.0	1.882581		1.515	84	
3p^63d^8(^3P)4s	b ^4P	^3/_2	4.0	1.955732		1.476	98	
3p^63d^8(^3P)4s	b ^4P	^1/_2	2.0	2.008008		2.682	100	
3p^63d^74s^2	a ^2G	^9/_2	10.0	2.041759		1.109		
3p^63d^8(^1D)4s	a ^2D	^3/_2	4.0	2.042094		1.101	96	
3p^63d^8(^1D)4s	a ^2D	^5/_2	6.0	2.080227		1.296	83	
3p^63d^74s^2	a ^2G	^7/_2	8.0	2.136704		0.883		
3p^63d^8(^3P)4s	a ^2P	^3/_2	4.0	2.280016		1.300	98	
3p^63d^8(^3P)4s	a ^2P	^1/_2	2.0	2.327805		0.695	100	
3p^63d^74s^2	b ^2P	^3/_2	4.0	2.541764		1.284		
3p^63d^74s^2	b ^2P	^1/_2	2.0	2.630436		0.680		
3p^63d^74s^2	a ^2H	^11/_2	12.0	2.700434		1.100		
3p^63d^74s^2	b ^2D	^5/_2	6.0	2.717745		1.180		
3p^63d^74s^2	a ^2H	^9/_2	10.0	2.786589		0.921		
3p^63d^74s^2	b ^2D	^3/_2	4.0	2.870553		0.955		
3p^63d^8(^1G)4s	b ^2G	^9/_2	10.0	2.874478		1.098	100	
3p^63d^8(^1G)4s	b ^2G	^7/_2	8.0	2.877396		0.883	100	
3p^63d^7(^4F)4s4p(^3P°)	z ^6F°	^11/_2	12.0	2.927488		1.466	97	
3p^63d^7(^4F)4s4p(^3P°)	z ^6F°	^9/_2	10.0	2.957720		1.481	78	
3p^63d^7(^4F)4s4p(^3P°)	z ^6F°	^7/_2	8.0	3.016053		1.436	84	
3p^63d^7(^4F)4s4p(^3P°)	z ^6D°	^9/_2	10.0	3.053457		1.569	78	
3p^63d^7(^4F)4s4p(^3P°)	z ^6F°	^5/_2	6.0	3.066536		1.336	90	
3p^63d^7(^4F)4s4p(^3P°)	z ^6F°	^3/_2	4.0	3.104708		1.118	95	
3p^63d^7(^4F)4s4p(^3P°)	z ^6G°	^13/_2	14.0	3.116824		1.40	100	
3p^63d^7(^4F)4s4p(^3P°)	z ^6F°	^1/_2	2.0	3.128467		-0.622	99	
3p^63d^7(^4F)4s4p(^3P°)	z ^6D°	^7/_2	8.0	3.132988		1.550	83	
3p^63d^7(^4F)4s4p(^3P°)	z ^6G°	^11/_2	12.0	3.170112		1.354	96	
3p^63d^7(^4F)4s4p(^3P°)	z ^6D°	^5/_2	6.0	3.191345		1.612	87	
3p^63d^7(^4F)4s4p(^3P°)	z ^6G°	^9/_2	10.0	3.215851		1.281	94	
3p^63d^7(^4F)4s4p(^3P°)	z ^6D°	^3/_2	4.0	3.231414		1.812	91	
3p^63d^7(^4F)4s4p(^3P°)	z ^6G°	^7/_2	8.0	3.252360		1.150	94	
3p^63d^7(^4F)4s4p(^3P°)	z ^6D°	^1/_2	2.0	3.254646		3.286	94	
3p^63d^7(^4F)4s4p(^3P°)	z ^6G°	^5/_2	6.0	3.279385		0.876	95	
3p^63d^7(^4F)4s4p(^3P°)	z ^6G°	^3/_2	4.0	3.297687		0.006	97	
3p^63d^9	c ^2D	^5/_2	6.0	3.409201		1.200		
3p^63d^7(^4F)4s4p(^3P°)	z ^4F°	^9/_2	10.0	3.514439		1.330	82	
3p^63d^9	c ^2D	^3/_2	4.0	3.529893		0.907		
3p^63d^7(^4F)4s4p(^3P°)	z ^4F°	^7/_2	8.0	3.567927		1.247	80	
3p^63d^7(^4F)4s4p(^3P°)	z ^4G°	^11/_2	12.0	3.576351		1.276	95	
3p^63d^7(^4F)4s4p(^3P°)	z ^4F°	^5/_2	6.0	3.622368		1.033	82	
3p^63d^7(^4F)4s4p(^3P°)	z ^4G°	^9/_2	10.0	3.628984		1.175	90	
3p^63d^7(^4F)4s4p(^3P°)	z ^4D°	^7/_2	8.0	3.632058		1.425	53	
3p^63d^7(^4F)4s4p(^3P°)	z ^4F°	^3/_2	4.0	3.665366		0.410	85	
3p^63d^7(^4F)4s4p(^3P°)	z ^4G°	^7/_2	8.0	3.686692		0.995	91	
3p^63d^7(^4F)4s4p(^3P°)	z ^4D°	^5/_2	6.0	3.713173		1.359	57	
3p^63d^7(^4F)4s4p(^3P°)	z ^4G°	^5/_2	6.0	3.732291		0.577	94	
3p^63d^7(^4F)4s4p(^3P°)	z ^4D°	^3/_2	4.0	3.774529		1.192	62	
3p^63d^7(^4F)4s4p(^3P°)	z ^4D°	^1/_2	2.0	3.811603		-0.006	65	
3p^63d^7(^4F)4s4p(^3P°)	z ^2G°	^9/_2	10.0	3.930261		1.126	47	
3p^63d^7(^4F)4s4p(^3P°)	z ^2F°	^7/_2	8.0	3.951519		1.777	66	
3p^63d^8(^3F)4p	y ^4D°	^7/_2	8.0	3.970904		1.395	46	
3p^63d^8(^3F)4p	y ^4G°	^11/_2	12.0	4.020881		1.287	94	
3p^63d^8(^3F)4p	y ^4G°	^9/_2	10.0	4.025114		1.154	53	
3p^63d^8(^3F)4p	y ^4D°	^5/_2	6.0	4.048642		1.366	51	
3p^63d^7(^4F)4s4p(^3P°)	z ^2G°	^7/_2	8.0	4.058383		0.899	41	
3p^63d^7(^4F)4s4p(^3P°)	z ^2F°	^5/_2	6.0	4.064414		0.870	71	
3p^63d^8(^3F)4p	y ^4F°	^9/_2	10.0	4.071888		1.313	51	
3p^63d^8(^3F)4p	y ^4D°	^3/_2	4.0	4.110160		1.195	56	
3p^63d^8(^3F)4p	°	^7/_2	8.0	4.112972		1.039	34 | ^4G°	
3p^63d^8(^3F)4p	y ^2G°	^9/_2	10.0	4.145997		1.165	56	
3p^63d^8(^3F)4p	y ^4D°	^1/_2	2.0	4.147170		0.012	59	
3p^63d^7(^4F)4s4p(^3P°)	z ^2D°	^5/_2	6.0	4.148862		1.186	53	
3p^63d^8(^3F)4p	°	^7/_2	8.0	4.149363		1.155	33 | ^4G°	
3p^63d^8(^3F)4p	y ^4G°	^5/_2	6.0	4.175091		0.704	52	
3p^63d^8(^3F)4p	°	^5/_2	6.0	4.208755		0.900	42 | ^4G°	
