Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5s^25p^5	^2P°	^3/_2	4.0	0.00000000	0			L14869
5s^25p^5	^2P°	^1/_2	2.0	1.71685394	0.00000012		98	L14869
5s5p^6	^2S	^1/_2	2.0	13.471251	0.000004		62	L14869
5s^25p^4(^3P_2)5d	^2[2]	^5/_2	6.0	14.9308096	0.0000006		53	L14869
5s^25p^4(^3P_2)5d	^2[3]	^7/_2	8.0	14.9751383	0.0000007		88	L14869
5s^25p^4(^3P_2)5d	^2[2]	^3/_2	4.0	15.0102288	0.0000007		55	L14869
5s^25p^4(^3P_2)5d	^2[1]	^1/_2	2.0	15.1690043	0.0000010		65	L14869
5s^25p^4(^3P_2)5d	^2[4]	^9/_2	10.0	15.6129393	0.0000010		85	L14869
5s^25p^4(^3P_2)5d	^2[4]	^7/_2	8.0	15.9360025	0.0000006		72	L14869
5s^25p^4(^3P_2)5d	^2[1]	^3/_2	4.0	16.3389449	0.0000005		33	L14869
5s^25p^4(^3P_2)5d	^2[0]	^1/_2	2.0	16.4178879	0.0000009		82	L14869
5s^25p^4(^3P_1)5d	^2[1]	^1/_2	2.0	16.5228572	0.0000006		71	L14869
5s^25p^4(^3P_2)6s	^2[2]	^5/_2	6.0	16.5324292	0.0000007		61	L14869
5s^25p^4(^3P_1)5d	^2[3]	^5/_2	6.0	16.7479167	0.0000005		45	L14869
5s^25p^4(^3P_0)5d	^2[2]	^3/_2	4.0	16.8305884	0.0000005		36	L14869
5s^25p^4(^3P_1)5d	^2[1]	^3/_2	4.0	16.9478340	0.0000006		33	L14869
5s^25p^4(^3P_1)5d	^2[3]	^7/_2	8.0	17.0831870	0.0000009		83	L14869
5s^25p^4(^3P_2)5d	^2[3]	^5/_2	6.0	17.1673886	0.0000005		12	L14869
5s^25p^4(^3P_2)6s	^2[2]	^3/_2	4.0	17.1772019	0.0000005		61	L14869
5s^25p^4(^3P_1)5d	^2[2]	^3/_2	4.0	17.4563072	0.0000005		17	L14869
5s^25p^4(^3P_1)5d	^2[2]	^5/_2	6.0	17.6141539	0.0000005		58	L14869
5s^25p^4(^1D_2)5d	^2[4]	^7/_2	8.0	17.9200720	0.0000019		71	L14869
