Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5p^6	^1S	0	1.0	0.00000	0.00005			L6838
5p^5(^2P°_3/2)6s	^2[^3/_2]°	2	5.0	13.31609635	0.00000020	1.49	81	L6838
5p^5(^2P°_3/2)5d	^2[^1/_2]°	0	1.0	13.33723576	0.00000021		97	L6838
5p^5(^2P°_3/2)5d	^2[^1/_2]°	1	3.0	13.37965047	0.00000017	1.37	42	L6838
5p^5(^2P°_3/2)6s	^2[^3/_2]°	1	3.0	13.75658747	0.00000016	1.24	63	L6838
5p^5(^2P°_3/2)5d	^2[^7/_2]°	4	9.0	13.9166736	0.0000003		100	L6838
5p^5(^2P°_3/2)5d	^2[^3/_2]°	2	5.0	13.98595084	0.00000015		75	L6838
5p^5(^2P°_3/2)5d	^2[^7/_2]°	3	7.0	14.10019770	0.00000017		79	L6838
5p^5(^2P°_3/2)5d	^2[^5/_2]°	2	5.0	14.34193821	0.00000014		95	L6838
5p^5(^2P°_3/2)5d	^2[^5/_2]°	3	7.0	14.66417895	0.00000014		81	L6838
5p^5(^2P°_1/2)6s	^2[^1/_2]°	0	1.0	15.17254342	0.00000014		97	L6838
5p^5(^2P°_1/2)6s	^2[^1/_2]°	1	3.0	15.23461401	0.00000011	1.12	84	L6838
5p^5(^2P°_3/2)5d	^2[^3/_2]°	1	3.0	15.33009829	0.00000011	0.70	47	L6838
5p^5(^2P°_3/2)6p	^2[^1/_2]	1	3.0	15.68741468	0.00000012	1.87	93	L6838
5p^5(^2P°_1/2)5d	^2[^5/_2]°	2	5.0	15.70853852	0.00000016		91	L6838
5p^5(^2P°_3/2)6p	^2[^5/_2]	2	5.0	15.88224089	0.00000011	1.10	89	L6838
5p^5(^2P°_1/2)5d	^2[^3/_2]°	2	5.0	15.90966537	0.00000016		87	L6838
5p^5(^2P°_3/2)6p	^2[^5/_2]	3	7.0	16.00843142	0.00000012	1.33	100	L6838
5p^5(^2P°_1/2)5d	^2[^5/_2]°	3	7.0	16.04608132	0.00000020		96	L6838
5p^5(^2P°_3/2)6p	^2[^3/_2]	1	3.0	16.11781073	0.00000011	1.02	94	L6838
5p^5(^2P°_3/2)6p	^2[^3/_2]	2	5.0	16.21405154	0.00000011	1.34	89	L6838
5p^5(^2P°_3/2)6p	^2[^1/_2]	0	1.0	16.51006978	0.00000012		98	L6838
5p^5(^2P°_1/2)5d	^2[^3/_2]°	1	3.0	17.26466175	0.00000011		67	L6838
5p^5(^2P°_1/2)6p	^2[^3/_2]	1	3.0	17.55180731	0.00000011	0.68	92	L6838
5p^5(^2P°_1/2)6p	^2[^1/_2]	1	3.0	17.77453762	0.00000011	1.44	90	L6838
5p^5(^2P°_1/2)6p	^2[^3/_2]	2	5.0	17.77975937	0.00000012	1.12	100	L6838
5p^5(^2P°_1/2)6p	^2[^1/_2]	0	1.0	17.91972957	0.00000012		98	L6838
5p^5(^2P°_3/2)7s	^2[^3/_2]°	2	5.0	18.50108529	0.00000010	1.50	97	L6838
5p^5(^2P°_3/2)7s	^2[^3/_2]°	1	3.0	18.54981874	0.00000010	1.18	98	L6838
5p^5(^2P°_3/2)6d	^2[^1/_2]°	0	1.0	18.80622020	0.00000011		100	L6838
5p^5(^2P°_3/2)6d	^2[^1/_2]°	1	3.0	18.86805398	0.00000010	1.24	63	L6838
5p^5(^2P°_3/2)6d	^2[^7/_2]°	4	9.0	18.91483135	0.00000011	1.27	100	L6838
5p^5(^2P°_3/2)6d	^2[^3/_2]°	2	5.0	18.94483771	0.00000010	1.33	96	L6838
5p^5(^2P°_3/2)6d	^2[^7/_2]°	3	7.0	18.95039922	0.00000010	1.07	84	L6838
5p^5(^2P°_3/2)6d	^2[^5/_2]°	2	5.0	19.00816716	0.00000011	0.97	98	L6838
5p^5(^2P°_3/2)6d	^2[^5/_2]°	3	7.0	19.05477757	0.00000011	1.20	84	L6838
5p^5(^2P°_3/2)4f	^2[^3/_2]	1	3.0	19.27556725	0.00000011		100	L6838
5p^5(^2P°_3/2)7p	^2[^1/_2]	1	3.0	19.31154649	0.00000010		92	L6838
5p^5(^2P°_3/2)4f	^2[^3/_2]	2	5.0	19.33839237	0.00000010		78	L6838
5p^5(^2P°_3/2)7p	^2[^5/_2]	2	5.0	19.35696505	0.00000010		91	L6838
5p^5(^2P°_3/2)4f	^2[^9/_2]	5	11.0	19.38251103	0.00000012		100	L6838
5p^5(^2P°_3/2)6d	^2[^3/_2]°	1	3.0	19.39217465	0.00000012	0.89	64	L6838
5p^5(^2P°_3/2)7p	^2[^5/_2]	3	7.0	19.40630062	0.00000010		100	L6838
5p^5(^2P°_3/2)4f	^2[^9/_2]	4	9.0	19.41415808	0.00000012		98	L6838
5p^5(^2P°_3/2)4f	^2[^5/_2]	3	7.0	19.43690271	0.00000011		99	L6838
5p^5(^2P°_3/2)7p	^2[^3/_2]	1	3.0	19.44355249	0.00000010		93	L6838
5p^5(^2P°_3/2)7p	^2[^3/_2]	2	5.0	19.47434987	0.00000010		91	L6838
5p^5(^2P°_3/2)4f	^2[^7/_2]	3	7.0	19.52179104	0.00000011		100	L6838
5p^5(^2P°_3/2)4f	^2[^7/_2]	4	9.0	19.53645082	0.00000011		97	L6838
5p^5(^2P°_3/2)4f	^2[^5/_2]	2	5.0	19.55884424	0.00000010		79	L6838
5p^5(^2P°_3/2)7p	^2[^1/_2]	0	1.0	19.59662208	0.00000011		100	L6838
5p^5(^2P°_1/2)7s	^2[^1/_2]°	0	1.0	20.21364151	0.00000011		100	L6838
5p^5(^2P°_1/2)7s	^2[^1/_2]°	1	3.0	20.23290089	0.00000010	1.38	100	L6838
5p^5(^2P°_3/2)8s	^2[^3/_2]°	2	5.0	20.38969785	0.00000011		100	L6838
5p^5(^2P°_3/2)8s	^2[^3/_2]°	1	3.0	20.41599107	0.00000009		100	L6838
5p^5(^2P°_3/2)5f	^2[^3/_2]	1	3.0	20.55552673	0.00000015		100	L6838
5p^5(^2P°_3/2)7d	^2[^1/_2]°	0	1.0	20.55576877	0.00000016		100	L6838
5p^5(^2P°_3/2)7d	^2[^1/_2]°	1	3.0	20.55942016	0.00000011		63	L6838
5p^5(^2P°_3/2)7d	^2[^3/_2]°	2	5.0	20.56889707	0.00000011		96	L6838
5p^5(^2P°_3/2)5f	^2[^3/_2]	2	5.0	20.59236769	0.00000012		73	L6838
5p^5(^2P°_3/2)7d	^2[^7/_2]°	3	7.0	20.59711311	0.00000011		95	L6838
5p^5(^2P°_1/2)6d	^2[^5/_2]°	2	5.0	20.59876835	0.00000010		98	L6838
5p^5(^2P°_3/2)7d	^2[^7/_2]°	4	9.0	20.60046539	0.00000014		100	L6838
5p^5(^2P°_3/2)5f	^2[^9/_2]	5	11.0	20.65312915	0.00000016		100	L6838
5p^5(^2P°_3/2)5f	^2[^5/_2]	3	7.0	20.65475700	0.00000012		100	L6838
5p^5(^2P°_3/2)7d	^2[^5/_2]°	3	7.0	20.65697665	0.00000011		95	L6838
5p^5(^2P°_3/2)7d	^2[^5/_2]°	2	5.0	20.66767374	0.00000011		96	L6838
5p^5(^2P°_3/2)7d	^2[^3/_2]°	1	3.0	20.67615231	0.00000010		63	L6838
5p^5(^2P°_3/2)5f	^2[^9/_2]	4	9.0	20.68132819	0.00000014		95	L6838
5p^5(^2P°_1/2)6d	^2[^3/_2]°	2	5.0	20.70172880	0.00000010	1.30	97	L6838
5p^5(^2P°_1/2)6d	^2[^5/_2]°	3	7.0	20.70848058	0.00000011	1.10	100	L6838
5p^5(^2P°_3/2)5f	^2[^7/_2]	3	7.0	20.74875240	0.00000014		100	L6838
5p^5(^2P°_3/2)8p	^2[^1/_2]	1	3.0	20.76721183	0.00000011		85	L6838
5p^5(^2P°_3/2)5f	^2[^7/_2]	4	9.0	20.77486275	0.00000015		94	L6838
5p^5(^2P°_3/2)8p	^2[^5/_2]	2	5.0	20.79248609	0.00000010		89	L6838
