Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5s^25p^4	^3P	2	5.0	0.00000	0			L15024
5s^25p^4	^3P	0	1.0	1.20877	0.00012		76	L12055
5s^25p^4	^3P	1	3.0	1.59964	0.00012		100	L12055
5s^25p^4	^1D	2	5.0	2.57317	0.00012		86	L12055
5s^25p^4	^1S	0	1.0	5.36596	0.00012		76	L12055
5s5p^5	^3P°	2	5.0	14.17235	0.00012		78	L12055
5s5p^5	^3P°	1	3.0	15.03215	0.00012		67	L12055
5s5p^5	^3P°	0	1.0	15.88068	0.00012		71	L12055
5s^25p^3(^4S°)5d	^5D°	3	7.0	16.85936	0.00012		77	L12055
5s^25p^3(^4S°)5d	^5D°	2	5.0	16.87959	0.00012		75	L12055
5s^25p^3(^4S°)5d	^5D°	0	1.0	16.93943	0.00012		82	L12055
5s^25p^3(^4S°)5d	^5D°	4	9.0	(16.96823)	0.00012		85	L12055
5s^25p^3(^4S°)5d	^5D°	1	3.0	16.96954	0.00012		87	L12055
5s^25p^3(^2D°)5d	^1P°	1	3.0	17.53173	0.00012		42	L12055
5s^25p^3(^4S°)5d	^3D°	2	5.0	17.62646	0.00012		23	L12055
5s^25p^3(^4S°)5d	^3D°	3	7.0	18.31191	0.00012		31	L12055
5s^25p^3(^4S°)5d	^3D°	1	3.0	18.42901	0.00012		51	L12055
5s^25p^3(^2D°)5d	^3F°	2	5.0	18.71947	0.00012		49	L12055
5s^25p^3(^2D°)5d	^3F°	3	7.0	18.94190	0.00012		61	L12055
5s^25p^3(^2D°)5d	^1S°	0	1.0	18.94877	0.00012		84	L12055
5s^25p^3(^2D°)5d	^3G°	4	9.0	(19.19139)	0.00012		44	L12055
5s^25p^3(^2D°)5d	^3G°	3	7.0	19.22319	0.00012		65	L12055
5s^25p^3(^2D°)5d	^3F°	4	9.0	(19.55962)	0.00012		74	L12055
5s^25p^3(^2D°)5d	^3G°	5	11.0	(19.87814)	0.00012		100	L12055
5s^25p^3(^2D°)5d	^1G°	4	9.0	(19.95960)	0.00012		73	L12055
5s^25p^3(^2D°)5d	^3D°	1	3.0	20.13825	0.00012		43	L12055
5s^25p^3(^4S°)6s	^5S°	2	5.0	20.40898	0.00012		76	L12055
5s^25p^3(^2P°)5d	^1D°	2	5.0	20.63991	0.00012		28	L12055
5s^25p^3(^4S°)6s	^3S°	1	3.0	20.77402	0.00012		31	L12055
5s^25p^3(^2P°)5d	^3P°	0	1.0	21.05795	0.00012		46	L12055
5s^25p^3(^2P°)5d	^3D°	2	5.0	21.12714	0.00012		32	L12055
5s^25p^3(^2P°)5d	^3P°	1	3.0	21.25703	0.00012		26	L12055
5s^25p^3(^2D°)5d	^3D°	3	7.0	21.56611	0.00025		39	L12055
5s^25p^3(^2P°)5d	^3F°	2	5.0	21.66236	0.00025		58	L12055
5s^25p^3(^2P°)5d	^3F°	3	7.0	21.67112	0.00025		55	L12055
5s^25p^3(^2D°)5d	^3D°	2	5.0	22.21298	0.00025		14	L12055
5s^25p^3(^2D°)5d	^3S°	1	3.0	22.25241	0.00025		50	L12055
5s^25p^3(^2P°)5d	^3F°	4	9.0	(22.30129)	0.00025		68	L12055
5s^25p^3(^2D°)5d	^1F°	3	7.0	22.38388	0.00025		31	L12055
5s^25p^3(^2D°)6s	^3D°	2	5.0	22.55828	0.00025		46	L12055
5s^25p^3(^2P°)5d	^3P°	2	5.0	22.62848	0.00025		28	L12055
5s^25p^3(^2D°)6s	^3D°	1	3.0	22.63620	0.00025		59	L12055
5s^25p^3(^2D°)6s	^3D°	3	7.0	23.02620	0.00025		80	L12055
5s^25p^3(^2D°)5d	^3P°	1	3.0	23.05039	0.00025		22	L12055
5s^25p^3(^2D°)5d	^3P°	2	5.0	23.21810	0.00025		20	L12055
5s^25p^3(^2D°)6s	^1D°	2	5.0	23.46002	0.00025		61	L12055
5s^25p^3(^2P°)5d	^3D°	1	3.0	23.48158	0.00025		39	L12055
5s^25p^3(^2P°)5d	^3D°	3	7.0	23.59541	0.00025		27	L12055
5s^25p^3(^2D°)5d	^3P°	0	1.0	23.92300	0.00025		37	L12055
5s5p^5	^1P°	1	3.0	24.13798	0.00025		22	L12055
5s^25p^3(^2D°)5d	^1D°	2	5.0	24.47210	0.00025		40	L12055
5s^25p^3(^2P°)6s	^3P°	0	1.0	24.56565	0.00025		90	L12055
5s^25p^3(^2P°)6s	^3P°	1	3.0	24.61261	0.00025		65	L12055
5s^25p^3(^2P°)5d	^1F°	3	7.0	24.72147	0.00025		40	L12055
5s^25p^3(^2P°)6s	^3P°	2	5.0	25.78098	0.00025		69	L12055
5s^25p^3(^2P°)6s	^1P°	1	3.0	25.85071	0.00025		48	L12055
5s^25p^3(^2P°)5d	^1P°	1	3.0	(26.41409)	0.00025		64	L12055
5s^25p^3(^4S°)6d	^5D°	2	5.0	30.5077	0.0004		74	L12055
5s^25p^3(^4S°)6d	^5D°	3	7.0	30.5112	0.0004		75	L12055
5s^25p^3(^4S°)6d	^5D°	0	1.0	(30.5260)	0.0004		83	L12055
5s^25p^3(^4S°)6d	^5D°	1	3.0	30.5290	0.0004		82	L12055
5s^25p^3(^4S°)6d	^5D°	4	9.0	(30.5579)	0.0004		81	L12055
5s^25p^3(^4S°)6d	^3D°	2	5.0	30.8334	0.0004		59	L12055
5s^25p^3(^4S°)6d	^3D°	3	7.0	31.0476	0.0004		70	L12055
5s^25p^3(^4S°)6d	^3D°	1	3.0	31.0747	0.0004		78	L12055
5s^25p^3(^4S°)7s	^5S°	2	5.0	31.1884	0.0004		79	L12055
5s^25p^3(^4S°)7s	^3S°	1	3.0	31.3921	0.0004		75	L12055
5s^25p^3(^2D°)6d	^3F°	2	5.0	32.3819	0.0004		58	L12055
5s^25p^3(^2D°)6d	^3F°	3	7.0	32.4402	0.0004		46	L12055
5s^25p^3(^2D°)6d	^3D°	1	3.0	32.4675	0.0004		53	L12055
5s^25p^3(^2D°)6d	^3G°	4	9.0	(32.4992)	0.0004		43	L12055
5s^25p^3(^2D°)6d	^3G°	3	7.0	32.5025	0.0004		63	L12055
5s^25p^3(^2D°)6d	^1S°	0	1.0	32.5504	0.0004		57	L12055
5s^25p^3(^2D°)6d	^3P°	2	5.0	32.7536	0.0004		26	L12055
5s^25p^3(^2D°)6d	^3P°	1	3.0	32.8691	0.0005		24	L12055
5s^25p^3(^2D°)6d	^3F°	4	9.0	(33.0399)	0.0005		77	L12055
5s^25p^3(^2D°)6d	^1G°	4	9.0	(33.0946)	0.0005		54	L12055
5s^25p^3(^2D°)6d	^3G°	5	11.0	(33.1044)	0.0005		100	L12055
5s^25p^3(^2D°)7s	^3D°	2	5.0	33.1107	0.0005		47	L12055
5s^25p^3(^2D°)6d	^3D°	3	7.0	33.1285	0.0005		63	L12055
5s^25p^3(^2D°)7s	^3D°	1	3.0	33.1299	0.0005		69	L12055
5s^25p^3(^2D°)6d	^3D°	2	5.0	33.2287	0.0005		49	L12055
5s^25p^3(^2D°)6d	^3P°	0	1.0	33.2684	0.0005		65	L12055
5s^25p^3(^2D°)6d	^1P°	1	3.0	33.2924	0.0005		37	L12055
5s^25p^3(^2D°)6d	^3S°	1	3.0	33.4110	0.0005		52	L12055
5s^25p^3(^2D°)6d	^1D°	2	5.0	33.4777	0.0005		56	L12055
5s^25p^3(^2D°)6d	^1F°	3	7.0	33.5611	0.0005		74	L12055
5s^25p^3(^2D°)7s	^3D°	3	7.0	33.7403	0.0005		99	L12055
5s^25p^3(^2D°)7s	^1D°	2	5.0	33.8235	0.0005		65	L12055
5s^25p^3(^2P°)6d	^3F°	2	5.0	34.4924	0.0005		72	L12055
5s^25p^3(^2P°)6d	^3D°	2	5.0	34.6241	0.0005		40	L12055
5s^25p^3(^2P°)6d	^3F°	3	7.0	34.6585	0.0005		51	L12055
5s^25p^3(^2P°)6d	^3D°	1	3.0	34.7456	0.0005		59	L12055
5s^25p^3(^2P°)7s	^3P°	0	1.0	35.1547	0.0005		99	L12055
5s^25p^3(^2P°)7s	^3P°	1	3.0	35.2001	0.0005		68	L12055
5s^25p^3(^4S°)7d	^5D°	2	5.0	(35.6312)	0.0005		74	L12055
5s^25p^3(^4S°)7d	^5D°	0	1.0	(35.6317)	0.0005		47	L12055
5s^25p^3(^4S°)7d	^5D°	3	7.0	(35.6333)	0.0005		75	L12055
5s^25p^3(^4S°)7d	^5D°	1	3.0	(35.6389)	0.0005		79	L12055
5s^25p^3(^4S°)7d	^5D°	4	9.0	(35.6549)	0.0005		75	L12055
5s^25p^3(^2P°)6d	^3P°	0	1.0	35.6611	0.0005		41	L12055
5s^25p^3(^2P°)6d	^3F°	4	9.0	(35.6831)	0.0005		67	L12055
5s^25p^3(^2P°)6d	^3P°	1	3.0	35.7251	0.0005		54	L12055
5s^25p^3(^2P°)6d	^3P°	2	5.0	(35.7360)	0.0005		24	L12055
5s^25p^3(^4S°)7d	^3D°	2	5.0	35.7803	0.0005		26	L12055
5s^25p^3(^4S°)7d	^3D°	3	7.0	35.8462	0.0005		29	L12055
5s^25p^3(^2P°)6d	^1F°	3	7.0	35.8810	0.0005		33	L12055
5s^25p^3(^4S°)8s	^5S°	2	5.0	(35.9211)	0.0005		77	L12055
5s^25p^3(^4S°)7d	^3D°	1	3.0	(35.9293)	0.0005		67	L12055
5s^25p^3(^2P°)6d	^3D°	3	7.0	35.9749	0.0005		44	L12055
5s^25p^3(^2P°)6d	^1D°	2	5.0	36.0201	0.0005		17	L12055
5s^25p^3(^4S°)8s	^3S°	1	3.0	(36.0204)	0.0005		75	L12055
5s^25p^3(^2P°)6d	^1P°	1	3.0	36.2986	0.0005		53	L12055
5s^25p^3(^2P°)7s	^3P°	2	5.0	36.4422	0.0005		70	L12055
5s^25p^3(^2P°)7s	^1P°	1	3.0	36.5012	0.0005		50	L12055
