Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5p^66s	^2S	^1/_2	2.0	0.00000000	0	L15024		L15024
5p^66p	^2P°	^1/_2	2.0	1.385928617528	0.000000000010	L12151		L12151
5p^66p	^2P°	^3/_2	4.0	1.454620692074	0.000000000025	L15527		L15527
5p^65d	^2D	^3/_2	4.0	1.79767873	0.00000012	L793		L793
5p^65d	^2D	^5/_2	6.0	1.809777795	0.000000025	L7057		L7057
5p^67s	^2S	^1/_2	2.0	2.2981127	0.0000004	L7057		L7057
5p^67p	^2P°	^1/_2	2.0	2.6985592	0.0000025	L3506		L3506
5p^67p	^2P°	^3/_2	4.0	2.721006	0.000003	L3506,L6284		L3506,L6284
5p^66d	^2D	^3/_2	4.0	2.80065687	0.00000012	L4744		L4744
5p^66d	^2D	^5/_2	6.0	2.80597149	0.00000012	L4744		L4744
5p^68s	^2S	^1/_2	2.0	3.01494227654	0.00000000012	L12362		L12362
5p^64f	^2F°	^7/_2	8.0	3.03414695	0.00000025	L793,L6284		L793,L6284
5p^64f	^2F°	^5/_2	6.0	3.03416944	0.00000025	L793		L793
5p^68p	^2P°	^1/_2	2.0	3.187489360	0.000000004	L9729		L9729
5p^68p	^2P°	^3/_2	4.0	3.197739	0.000004	L7057,L6284		L7057,L6284
5p^67d	^2D	^3/_2	4.0	3.22951984	0.00000006	L6147		L6147
5p^67d	^2D	^5/_2	6.0	3.23211592	0.00000006	L7057		L7057
5p^69s	^2S	^1/_2	2.0	3.33649694	0.00000006	L7057		L7057
5p^65f	^2F°	^7/_2	8.0	3.3439968	0.0000004	L793,L6284		L793,L6284
5p^65f	^2F°	^5/_2	6.0	3.3440154	0.0000004	L793		L793
5p^65g	^2G	^7/_2	8.0	3.34857194	0.00000025	L7057		L7057
5p^65g	^2G	^9/_2	10.0	3.34857229	0.00000025	L7057,L5289		L7057,L5289
5p^69p	^2P°	^1/_2	2.0	3.42655087	0.00000006	L7057		L7057
5p^69p	^2P°	^3/_2	4.0	3.43209068	0.00000014	L7057,L6284		L7057,L6284
5p^68d	^2D	^3/_2	4.0	3.44815430	0.00000006	L6147		L6147
5p^68d	^2D	^5/_2	6.0	3.44959750	0.00000006	L7057		L7057
5p^610s	^2S	^1/_2	2.0	3.50878117	0.00000006	L7057		L7057
