Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d^9	^2D	^5/_2	6.0	0.000000	0			L10559
3p^63d^9	^2D	^3/_2	4.0	0.256857				
3p^63d^8(^3F)4s	^4F	^9/_2	10.0	7.538886			100	
3p^63d^8(^3F)4s	^4F	^7/_2	8.0	7.695090			97	
3p^63d^8(^3F)4s	^4F	^5/_2	6.0	7.828830			99	
3p^63d^8(^3F)4s	^4F	^3/_2	4.0	7.920918			99	
3p^63d^8(^3F)4s	^2F	^7/_2	8.0	8.309013			97	
3p^63d^8(^3F)4s	^2F	^5/_2	6.0	8.550419			98	
3p^63d^8(^1D)4s	^2D	^5/_2	6.0	9.666831			51	
3p^63d^8(^1D)4s	^2D	^3/_2	4.0	9.767475			80	
3p^63d^8(^3P)4s	^4P	^3/_2	4.0	9.956643			84	
3p^63d^8(^3P)4s	^4P	^1/_2	2.0	9.971248			100	
3p^63d^8(^3P)4s	^4P	^5/_2	6.0	9.987193			52	
3p^63d^8(^3P)4s	^2P	^3/_2	4.0	10.594114			96	
3p^63d^8(^3P)4s	^2P	^1/_2	2.0	10.679213			100	
3p^63d^8(^1G)4s	^2G	^9/_2	10.0	11.036863			100	
3p^63d^8(^1G)4s	^2G	^7/_2	8.0	11.040385			100	
3p^63d^8(^3F)4p	^4D°	^7/_2	8.0	14.737363			93	
3p^63d^8(^3F)4p	^4D°	^5/_2	6.0	14.949748			92	
3p^63d^8(^3F)4p	^4G°	^9/_2	10.0	15.043960			62	
3p^63d^8(^3F)4p	^4G°	^11/_2	12.0	15.088763			100	
3p^63d^8(^3F)4p	^4D°	^3/_2	4.0	15.109270			93	
3p^63d^8(^3F)4p	^4G°	^7/_2	8.0	15.188571			78	
3p^63d^8(^3F)4p	^4D°	^1/_2	2.0	15.205082			94	
3p^63d^8(^1S)4s	^2S	^1/_2	2.0	15.232800			100	
3p^63d^8(^3F)4p	^4G°	^5/_2	6.0	15.304695			92	
3p^63d^8(^3F)4p	^4F°	^9/_2	10.0	15.318295			80	
3p^63d^8(^3F)4p	^2G°	^9/_2	10.0	15.428937			59	
3p^63d^8(^3F)4p	^4F°	^7/_2	8.0	15.443205			70	
3p^63d^8(^3F)4p	^4F°	^5/_2	6.0	15.545398			82	
3p^63d^8(^3F)4p	^4F°	^3/_2	4.0	15.590369			89	
3p^63d^8(^3F)4p	^2G°	^7/_2	8.0	15.633681			77	
3p^63d^8(^3F)4p	^2F°	^7/_2	8.0	15.724886			70	
3p^63d^8(^3F)4p	^2D°	^5/_2	6.0	15.732633			75	
3p^63d^8(^3F)4p	^2D°	^3/_2	4.0	15.923986			81	
3p^63d^8(^3F)4p	^2F°	^5/_2	6.0	15.954268			70	
