Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^10	^1S	0	1.0	0.0000000	0.0000021		97	L19804
3d^94s	^3D	3	7.0	2.71881633	0.00000017	1.32	98	L19804,L10559
3d^94s	^3D	2	5.0	2.83268156	0.00000006	1.16	89	L19804,L10559
3d^94s	^3D	1	3.0	2.97541889	0.00000011	0.48	98	L19804,L10559
3d^94s	^1D	2	5.0	3.25638920	0.00000015	1.00	89	L19804,L10559
3d^94p	^3P°	2	5.0	8.23486741	0.00000017	1.49	96	L19804,L10559
3d^94p	^3P°	1	3.0	8.42057990	0.00000014	1.49	95	L19804,L10559
3d^94p	^3F°	3	7.0	8.48643755	0.00000016	1.06	62	L19804,L10559
3d^94p	^3F°	4	9.0	8.52154401	0.00000021	1.23	98	L19804,L10559
3d^94p	^3P°	0	1.0	8.53634465	0.00000017		98	L19804
3d^84s^2	^3F	4	9.0	8.64228154	0.00000024		95	L19804
3d^94p	^3F°	2	5.0	8.66252610	0.00000014	0.67	88	L19804,L10559
3d^94p	^1F°	3	7.0	8.78322249	0.00000017		49	L19804
3d^94p	^1D°	2	5.0	8.86410828	0.00000009	1.08	54	L19804,L10559
3d^84s^2	^3F	3	7.0	8.8687809	0.0000004		95	L19804
3d^94p	^3D°	3	7.0	8.91695547	0.00000010		64	L19804
3d^84s^2	^3F	2	5.0	9.0166042	0.0000005		94	L19804
3d^94p	^3D°	1	3.0	9.06349793	0.00000009	0.47	92	L19804,L10559
3d^94p	^3D°	2	5.0	9.09464957	0.00000010	0.99	54	L19804,L10559
3d^94p	^1P°	1	3.0	9.12471804	0.00000022	1.04	93	L19804,L10559
3d^84s^2	^1D	2	5.0	10.5868585	0.0000004		73	L19804
3d^84s^2	^3P	2	5.0	10.9554919	0.0000004		74	L19804
3d^84s^2	^3P	1	3.0	10.9856318	0.0000005		95	L19804
3d^84s^2	^3P	0	1.0	11.0254191	0.0000004		95	L19804
3d^84s^2	^1G	4	9.0	11.8486267	0.0000004	0.98	95	L19804,L10559
3d^8(^3F)4s4p(^3P°)	^5D°	4	9.0	13.3832009	0.0000012		93	L19804
3d^9(^2D_5/2)5s	^2[^5/_2]	3	7.0	13.39213301	0.00000015		100	L19804
3d^9(^2D_5/2)5s	^2[^5/_2]	2	5.0	13.43190349	0.00000015		98	L19804
3d^8(^3F)4s4p(^3P°)	^5D°	3	7.0	13.5484991	0.0000007		91	L19804
3d^9(^2D_3/2)5s	^2[^3/_2]	1	3.0	13.64873568	0.00000014		100	L19804
3d^8(^3F)4s4p(^3P°)	^5D°	2	5.0	13.6833580	0.0000010		91	L19804
3d^9(^2D_3/2)5s	^2[^3/_2]	2	5.0	13.68365916	0.00000014		98	L19804
3d^8(^3F)4s4p(^3P°)	^5G°	5	11.0	13.7165202	0.0000011		82	L19804
3d^8(^3F)4s4p(^3P°)	^5D°	1	3.0	13.777668	0.000017		93	L19804
3d^8(^3F)4s4p(^3P°)	^5G°	4	9.0	13.7893620	0.0000010		83	L19804
3d^8(^3F)4s4p(^3P°)	^5G°	3	7.0	13.8709073	0.0000010		89	L19804
3d^8(^3F)4s4p(^3P°)	^5F°	5	11.0	13.936026	0.000003		86	L19804
