Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d^8	^3F	4	9.0	0.00000	0		100	L10559
3p^63d^8	^3F	3	7.0	0.23078			100	
3p^63d^8	^3F	2	5.0	0.38157			99	
3p^63d^8	^1D	2	5.0	2.01450			84	
3p^63d^8	^3P	2	5.0	2.44207			85	
3p^63d^8	^3P	1	3.0	2.49166			100	
3p^63d^8	^3P	0	1.0	2.53208			100	
3p^63d^8	^1G	4	9.0	3.33679			100	
3p^63d^8	^1S	0	1.0	7.61962			100	
3p^63d^7(^4F)4s	^5F	5	11.0	14.83253			100	
3p^63d^7(^4F)4s	^5F	4	9.0	14.99201			99	
3p^63d^7(^4F)4s	^5F	3	7.0	15.11737			99	
3p^63d^7(^4F)4s	^5F	2	5.0	15.20837			100	
3p^63d^7(^4F)4s	^5F	1	3.0	15.26739			100	
3p^63d^7(^4F)4s	^3F	4	9.0	15.91254			99	
3p^63d^7(^4F)4s	^3F	3	7.0	16.12542			99	
3p^63d^7(^4F)4s	^3F	2	5.0	16.26903			99	
3p^63d^7(^4P)4s	^5P	3	7.0	17.32001			100	
3p^63d^7(^4P)4s	^5P	2	5.0	17.36593			95	
3p^63d^7(^4P)4s	^5P	1	3.0	17.44644			97	
3p^63d^7(^2G)4s	^3G	5	11.0	17.86190			97	
3p^63d^7(^2G)4s	^3G	4	9.0	17.94659			94	
3p^63d^7(^2G)4s	^3G	3	7.0	18.04961			100	
3p^63d^7(^2P)4s	^3P	2	5.0	18.31700			47	
3p^63d^7(^4P)4s	^3P	1	3.0	18.34096			49	
3p^63d^7(^2P)4s	^3P	0	1.0	18.37865			55	
3p^63d^7(^2G)4s	^1G	4	9.0	18.45637			89	
3p^63d^7(^4P)4s	^3P	2	5.0	18.46169			54	
3p^63d^7(^2P)4s	^3P	1	3.0	18.55637			55	
3p^63d^7(^2H)4s	^3H	6	13.0	18.79882			100	
3p^63d^7(^2D2)4s	^3D	3	7.0	18.87433			77	
3p^63d^7(^2H)4s	^3H	5	11.0	18.88300			96	
3p^63d^7(^2P)4s	^1P	1	3.0	18.89522			46	
3p^63d^7(^2H)4s	^3H	4	9.0	18.99416			92	
3p^63d^7(^2D2)4s	^3D	2	5.0	19.01616			68	
3p^63d^7(^2D2)4s	^3D	1	3.0	19.27665			44	
3p^63d^7(^2H)4s	^1H	5	11.0	19.39841			97	
3p^63d^7(^2D2)4s	^1D	2	5.0	19.53199			71	
3p^63d^7(^2F)4s	^3F	2	5.0	21.08556			100	
3p^63d^7(^2F)4s	^3F	3	7.0	21.11174			99	
3p^63d^7(^2F)4s	^3F	4	9.0	21.15406			100	
3p^63d^7(^2F)4s	^1F	3	7.0	21.67632			99	
3p^63d^7(^4F)4p	^5F°	5	11.0	23.62242			91	
3p^63d^7(^4F)4p	^5F°	4	9.0	23.62564			54	
3p^63d^7(^4F)4p	^5F°	3	7.0	23.77543			71	
3p^63d^7(^4F)4p	^5F°	2	5.0	23.89684			83	
3p^63d^7(^4F)4p	^5D°	4	9.0	23.89830			52	
3p^63d^7(^4F)4p	^5F°	1	3.0	23.98281			94	
3p^63d^7(^4F)4p	^5G°	6	13.0	24.04646			99	
3p^63d^7(^4F)4p	^5D°	3	7.0	24.06935			64	
3p^63d^7(^4F)4p	^5G°	5	11.0	24.09498			76	
3p^63d^7(^4F)4p	^5G°	4	9.0	24.18373			79	
3p^63d^7(^4F)4p	^5D°	2	5.0	24.18757			72	
3p^63d^7(^4F)4p	^5G°	3	7.0	24.24438			81	
3p^63d^7(^4F)4p	^5D°	1	3.0	24.26176			85	
3p^63d^7(^4F)4p	^5G°	2	5.0	24.27945			85	
3p^63d^7(^4F)4p	^5D°	0	1.0	24.29247			89	
3p^63d^7(^2D1)4s	^3D	1	3.0	24.40672			81	
3p^63d^7(^2D1)4s	^3D	2	5.0	24.44206			79	
3p^63d^7(^4F)4p	^3G°	5	11.0	24.46518			82	
3p^63d^7(^2D1)4s	^3D	3	7.0	24.50665			77	
3p^63d^7(^4F)4p	^3F°	4	9.0	24.57109			89	
3p^63d^7(^4F)4p	^3G°	4	9.0	24.69794			87	
3p^63d^7(^4F)4p	^3F°	3	7.0	24.74710			84	
3p^63d^7(^4F)4p	^3G°	3	7.0	24.85667			93	
3p^63d^7(^4F)4p	^3F°	2	5.0	24.88611			89	
3p^63d^7(^4F)4p	^3D°	3	7.0	24.94697			87	
3p^63d^7(^2D1)4s	^1D	2	5.0	25.01642			78	
3p^63d^7(^4F)4p	^3D°	2	5.0	25.08952			89	
3p^63d^7(^4F)4p	^3D°	1	3.0	25.18609			91	
3p^63d^7(^4P)4p	^5S°	2	5.0	25.27652			98	
3p^63d^7(^4P)4p	^5D°	1	3.0	26.45332			44	
3p^63d^7(^4P)4p	^5D°	2	5.0	26.47490			74	
3p^63d^7(^4P)4p	^5D°	3	7.0	26.49107			78	
3p^63d^7(^4P)4p	^5D°	0	1.0	26.52420			78	
3p^63d^7(^4P)4p	^5D°	4	9.0	26.57213			88	
3p^63d^7(^4P)4p	°	1	3.0	26.58387			37 | ^5D°	
3p^63d^7(^2G)4p	^3H°	5	11.0	26.63618			67	
3p^63d^7(^2G)4p	^3F°	4	9.0	26.67307			53	
3p^63d^7(^2G)4p	^3H°	4	9.0	26.74759			83	
3p^63d^7(^2G)4p	^3H°	6	13.0	26.78943			95	
3p^63d^7(^2P)4p	^3P°	0	1.0	26.83376			67	
3p^63d^7(^2P)4p	^3P°	2	5.0	26.86774			54	
3p^63d^7(^2G)4p	^3F°	3	7.0	26.91439			73	
3p^63d^7(^2P)4p	^3P°	1	3.0	26.91812			49	
3p^63d^7(^2G)4p	^1G°	4	9.0	26.95969			46	
3p^63d^7(^4P)4p	^5P°	3	7.0	26.98158			62	
3p^63d^7(^4P)4p	°	2	5.0	26.98511			18 | ^5P°	
3p^63d^7(^2G)4p	^3G°	5	11.0	27.02849			80	
3p^63d^7(^4P)4p	^5P°	2	5.0	27.03196			54	
3p^63d^7(^4P)4p	^3D°	3	7.0	27.04562			52	
3p^63d^7(^4P)4p	^5P°	1	3.0	27.04972			66	
3p^63d^7(^2G)4p	^3G°	3	7.0	27.10642			45	
3p^63d^7(^4P)4p	^3D°	1	3.0	27.10680			53	
3p^63d^7(^2G)4p	^3F°	2	5.0	27.11859			93	
3p^63d^7(^2G)4p	^1H°	5	11.0	27.12954			64	
3p^63d^7(^2G)4p	^3G°	4	9.0	27.14570			74	
3p^63d^7(^2G)4p	°	3	7.0	27.20247			35 | ^1F°	
3p^63d^7(^2P)4p	^1S°	0	1.0	27.26008			53	
3p^63d^7(^4P)4p	^3P°	2	5.0	27.31565			59	
3p^63d^7(^2H)4p	^3G°	5	11.0	27.39022			92	
3p^63d^7(^4P)4p	^3P°	1	3.0	27.43418			49	
3p^63d^7(^2H)4p	^3I°	6	13.0	27.47510			69	
3p^63d^7(^2P)4p	^3D°	3	7.0	27.48110			72	
3p^63d^7(^4P)4p	^3D°	2	5.0	27.49207			25	
3p^63d^7(^4P)4p	°	1	3.0	27.56614			38 | ^3P°	
3p^63d^7(^2H)4p	^3G°	4	9.0	27.57380			87	
3p^63d^7(^2H)4p	^3I°	5	11.0	27.58988			93	
3p^63d^7(^2P)4p	°	2	5.0	27.59919			34 | ^3D°	
3p^63d^7(^2H)4p	^3I°	7	15.0	27.60704			100	
3p^63d^7(^2D2)4p	^3D°	3	7.0	27.64848			58	
3p^63d^7(^2H)4p	^3G°	3	7.0	27.72572			80	
3p^63d^7(^2D2)4p	°	1	3.0	27.74321			32 | ^3D°	
3p^63d^7(^4P)4p	^3P°	0	1.0	27.75354			56	
3p^63d^7(^2D2)4p	^3D°	2	5.0	27.78121			40	
3p^63d^7(^2H)4p	^1I°	6	13.0	27.89137			69	
3p^63d^7(^2D2)4p	^3F°	4	9.0	27.94441			77	
3p^63d^7(^2D2)4p	^3F°	3	7.0	28.00293			53	
3p^63d^7(^2D2)4p	^3F°	2	5.0	28.05407			57	
3p^63d^7(^2P)4p	^3S°	1	3.0	28.08961			60	
3p^63d^7(^2P)4p	^1P°	1	3.0	28.16420			42	
3p^63d^7(^2D2)4p	°	2	5.0	28.26338			34 | ^1D°	
3p^63d^7(^2H)4p	^3H°	6	13.0	28.26755			97	
3p^63d^7(^2H)4p	^3H°	5	11.0	28.32787			94	
3p^63d^7(^2H)4p	^3H°	4	9.0	28.40032			95	
3p^63d^7(^2D2)4p	°	2	5.0	28.47845			36 | ^3P°	
3p^63d^7(^2H)4p	^1G°	4	9.0	28.54561			67	
3p^63d^7(^2D2)4p	^1F°	3	7.0	28.55742			57	
3p^63d^7(^2D2)4p	^3P°	1	3.0	28.66717			53	
3p^63d^7(^2D2)4p	^3P°	0	1.0	28.74266			67	
3p^63d^7(^2D2)4p	^1P°	1	3.0	28.81911			75	
3p^63d^7(^2H)4p	^1H°	5	11.0	28.92534			95	
3p^63d^7(^2F)4p	^1D°	2	5.0	29.98619			59	
3p^63d^7(^2F)4p	^3G°	3	7.0	30.06986			73	
3p^63d^7(^2F)4p	^3G°	4	9.0	30.13174			59	
3p^63d^7(^2F)4p	^3F°	3	7.0	30.21809			40	
3p^63d^7(^2F)4p	^3F°	2	5.0	30.26102			63	
3p^63d^7(^2F)4p	^3D°	3	7.0	30.30386			47	
3p^63d^7(^2F)4p	^3G°	5	11.0	30.33539			93	
3p^63d^7(^2F)4p	^3F°	4	9.0	30.34552			44	
3p^63d^7(^2F)4p	^3D°	2	5.0	30.35292			83	
3p^63d^7(^2F)4p	^3D°	1	3.0	30.36906			91	
3p^63d^7(^2F)4p	^1G°	4	9.0	30.40146			68	
3p^63d^7(^2F)4p	^1F°	3	7.0	31.07327			96	
3p^63d^7(^2D1)4p	^3P°	2	5.0	33.00416			77	
3p^63d^7(^2D1)4p	^3P°	1	3.0	33.03694			78	
3p^63d^7(^2D1)4p	^3P°	0	1.0	33.07588			81	
3p^63d^7(^2D1)4p	^3F°	2	5.0	33.22851			76	
3p^63d^7(^2D1)4p	^3F°	3	7.0	33.34633			75	
3p^63d^7(^2D1)4p	^3F°	4	9.0	33.50543			75	
3p^63d^7(^2D1)4p	^1P°	1	3.0	33.76739			80	
3p^63d^7(^2D1)4p	^1F°	3	7.0	33.84071			75	
3p^63d^7(^2D1)4p	^3D°	1	3.0	34.17908			71	
3p^63d^7(^2D1)4p	^3D°	2	5.0	34.21596			60	
3p^63d^7(^2D1)4p	^1D°	2	5.0	34.28732			56	
3p^63d^7(^2D1)4p	^3D°	3	7.0	34.35710			70	
3p^63d^7(^4F)4d	^5F	5	11.0	35.62308			90	
3p^63d^7(^4F)4d	^5F	4	9.0	35.65653			75	
3p^63d^7(^4F)4d	^5F	3	7.0	35.77767			63	
3p^63d^7(^4F)4d	^5G	6	13.0	35.79397			94	
3p^63d^7(^4F)4d	^5F	2	5.0	35.87733			80	
3p^63d^7(^4F)4d	^5P	3	7.0	35.89711			70	
3p^63d^7(^4F)4d	^5G	5	11.0	35.90246			69	
3p^63d^7(^4F)4d	^5D	4	9.0	35.91097			54	
3p^63d^7(^4F)4d	^5H	7	15.0	35.91676			99	
3p^63d^7(^4F)4d	^5F	1	3.0	35.95219			93	
3p^63d^7(^4F)4d	^5H	6	13.0	36.01064			65	
3p^63d^7(^4F)4d	^5G	4	9.0	36.02396			67	
3p^63d^7(^4F)4d	^5P	2	5.0	36.05132			55	
3p^63d^74d		3	7.0	36.06516			34 | ^5D	
3p^63d^7(^4F)4d	^3G	5	11.0	36.09766			72	
3p^63d^7(^4F)4d	^5G	3	7.0	36.11644			61	
3p^63d^7(^4F)4d	^5H	5	11.0	36.14903			81	
3p^63d^7(^4F)4d	^5D	1	3.0	36.15017			51	
3p^63d^7(^4F)4d	^5G	2	5.0	36.16991			87	
3p^63d^7(^4F)4d	^3H	6	13.0	36.18665			69	
3p^63d^7(^4F)4d	^3D	3	7.0	36.19767			81	
3p^63d^74d		2	5.0	36.20303			35 | ^5P	
3p^63d^7(^4F)4d	^5H	4	9.0	36.24017			46	
3p^63d^7(^4F)4d	^3G	4	9.0	36.25794			54	
3p^63d^7(^4F)4d	^5P	1	3.0	36.28262			71	
3p^63d^7(^4F)4d	^5H	3	7.0	36.31662			93	
3p^63d^7(^4F)4d	^3D	2	5.0	36.33006			87	
3p^63d^7(^4F)4d	^3H	5	11.0	36.37686			82	
3p^63d^7(^4F)4d	^3G	3	7.0	36.39104			92	
3p^63d^7(^4F)4d	^3D	1	3.0	36.45325			96	
3p^63d^64s^2	^5D	4	9.0	36.47020			69	
3p^63d^7(^4F)4d	^3H	4	9.0	36.50893			91	
3p^63d^64s^2	^5D	3	7.0	36.61350			69	
3p^63d^7(^4F)4d	^3F	4	9.0	36.68821			82	
3p^63d^64s^2	^5D	2	5.0	36.70432			69	
3p^63d^64s^2	^5D	1	3.0	36.76060			71	
3p^63d^7(^4F)4d	^3P	2	5.0	36.77042			83	
3p^63d^7(^4F)4d	^3F	3	7.0	36.81243			80	
3p^63d^7(^4F)4d	^3F	2	5.0	36.89204			80	
3p^63d^7(^4F)4d	^3P	1	3.0	36.93874			89	
3p^63d^7(^4F)5s	^5F	5	11.0	37.39760			99	
3p^63d^7(^4F)5s	^5F	4	9.0	37.52782			83	
3p^63d^7(^4F)5s	^5F	3	7.0	37.66620			92	
3p^63d^7(^4F)5s	^3F	4	9.0	37.72156			83	
3p^63d^7(^4F)5s	^5F	2	5.0	37.76555			97	
3p^63d^7(^4F)5s	^5F	1	3.0	37.82956			99	
3p^63d^7(^4F)5s	^3F	3	7.0	37.92131			92	
3p^63d^7(^4F)5s	^3F	2	5.0	38.05593			97	L5144
3p^63d^7(^4P)4d	^5P	1	3.0	38.06098			99	
3p^63d^7(^4P)4d	^5P	2	5.0	38.08385			97	
3p^63d^7(^4P)4d	^5P	3	7.0	38.12729			95	
3p^63d^7(^4P)4d	^5F	5	11.0	38.36243			98	
3p^63d^7(^4P)4d	^5F	4	9.0	38.37192			92	
3p^63d^7(^4P)4d	^5F	3	7.0	38.39209			88	
3p^63d^7(^4P)4d	^5F	2	5.0	38.41833			87	
3p^63d^7(^4P)4d	^5F	1	3.0	38.44218			86	
3p^63d^7(^2G)4d	^3D	3	7.0	38.53431			82	
3p^63d^7(^4P)4d	^3F	3	7.0	38.56041			44	
3p^63d^7(^4P)4d	^3F	4	9.0	38.58103			83	
3p^63d^7(^2G)4d	^3D	2	5.0	38.59306			53	
3p^63d^7(^2G)4d	^3I	7	15.0	38.63695			95	
3p^63d^74d		1	3.0	38.64919			32 | ^3P	
3p^63d^7(^2G)4d	^3I	6	13.0	38.65119			71	
3p^63d^7(^2G)4d	^3G	5	11.0	38.68286			78	
3p^63d^7(^4P)4d	^3F	2	5.0	38.69068			57	
3p^63d^7(^2G)4d	^1F	3	7.0	38.69330			52	
3p^63d^74d		5	11.0	38.73459			44 | ^3I	
3p^63d^7(^2G)4d	^3G	4	9.0	38.74093			80	
3p^63d^7(^2G)4d	^3H	6	13.0	38.74691			77	
3p^63d^74d		2	5.0	38.75765			32 | ^3P	
3p^63d^7(^4P)4d	^5D	4	9.0	38.76117			85	
3p^63d^7(^4P)4d	^5D	3	7.0	38.80170			81	
3p^63d^7(^2G)4d	^3I	5	11.0	38.83846			49	
3p^63d^7(^2G)4d	^3G	3	7.0	38.83892			92	
3p^63d^7(^4P)4d	^5D	2	5.0	38.84359			60	
3p^63d^7(^2G)4d	^1I	6	13.0	38.89575			58	
3p^63d^7(^2G)4d	^3H	4	9.0	38.91511			90	
3p^63d^7(^2G)4d	^1H	5	11.0	38.96355			57	
3p^63d^7(^2G)4d	^3F	4	9.0	39.05351			55	
3p^63d^7(^2G)4d	^3F	3	7.0	39.11082			53	
3p^63d^7(^2G)4d	^1G	4	9.0	39.12923			68	
3p^63d^7(^2P)4d	^3D	2	5.0	39.15991			53	
3p^63d^7(^2P)4d	^3D	3	7.0	39.16812			74	
3p^63d^7(^2G)4d	^3F	2	5.0	39.20277			54	
3p^63d^7(^2P)4d	^3F	4	9.0	39.26980			47	
3p^63d^74d		3	7.0	39.30510			25 | ^1F	
3p^63d^7(^2P)4d	^3F	3	7.0	39.40348			42	
3p^63d^7(^2H)4d	^3K	8	17.0	39.48307			100	
3p^63d^7(^2H)4d	^3K	7	15.0	39.49021			62	
3p^63d^7(^2H)4d	^3G	5	11.0	39.51948			93	
3p^63d^7(^2H)4d	^1F	3	7.0	39.58424			58	
3p^63d^74d		4	9.0	39.62370			36 | ^3F	
3p^63d^7(^2H)4d	^3K	6	13.0	39.63821			95	
3p^63d^7(^2H)4d	^3G	4	9.0	39.66206			68	
3p^63d^74d		3	7.0	39.67404			26 | ^3F	
3p^63d^7(^2H)4d	^1K	7	15.0	39.69251			60	
3p^63d^7(^2H)4d	^3H	6	13.0	39.74947			62	
3p^63d^7(^2D)4d	^3G	5	11.0	39.77186			66	
3p^63d^74d		4	9.0	39.79306			36 | ^3G	
3p^63d^7(^2H)4d	^3H	5	11.0	39.80686			44	
3p^63d^7(^2H)4d	^3I	7	15.0	39.81568			99	
3p^63d^7(^2H)4d	^3I	6	13.0	39.86614			86	
3p^63d^7(^2D2)4d	^1F	3	7.0	39.92927			38	
3p^63d^7(^2H)4d	^1H	5	11.0	39.96226			48	
3p^63d^7(^4P)5s	^5P	3	7.0	39.96484			99	
3p^63d^7(^2H)4d	^3I	5	11.0	39.98788			68	
3p^63d^7(^4P)5s	^5P	2	5.0	39.99831			84	
3p^63d^74d		4	9.0	40.06615			32 | ^1G	
3p^63d^7(^4P)5s	^5P	1	3.0	40.07777				
3p^63d^7(^2H)4d	^1I	6	13.0	40.14048			84	
3p^63d^64s^2	^3H	6	13.0	40.18552			57	
3p^63d^7(^4P)5s	^3P	2	5.0	40.22279			95	
3p^63d^64s^2	^3H	5	11.0	40.24766			42	
3p^63d^64s^2	^3H	4	9.0	40.26156			35	
3p^63d^7(^2G)5s	^3G	5	11.0	40.26510			78	
3p^63d^7(^2G)5s	^3G	4	9.0	40.32287			73	
3p^63d^7(^2G)5s	^3G	3	7.0	40.44953			88	
3p^63d^7(^2G)5s	^1G	4	9.0	40.54033			73	
3p^63d^7(^2H)4d	^3F	4	9.0	40.58706			46	
3p^63d^7(^2H)4d	^3F	3	7.0	40.75609			43	
3p^63d^7(^2P)5s	^3P	2	5.0	40.81333			79	
3p^63d^7(^2H)4d	^3F	2	5.0	40.83310			36	
3p^63d^7(^2P)5s	^3P	1	3.0	40.86926			58	
3p^63d^7(^2P)5s	^1P	1	3.0	41.04396			59	
3p^63d^7(^2H)4d	^1G	4	9.0	41.16720			62	
3p^63d^7(^2H)5s	^3H	6	13.0	41.21686			100	
3p^63d^7(^2H)5s	^3H	5	11.0	41.26872			78	
3p^63d^7(^2D2)5s	^3D	3	7.0	41.28744			76	
3p^63d^7(^2D2)5s	^3D	2	5.0	41.37808			42	
3p^63d^7(^2H)5s	^3H	4	9.0	41.39444			95	
