Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^104s	^2S	^1/_2	2.0	0.0000000	0	2.00		L10559
3d^94s^2	^2D	^5/_2	6.0	1.388948	0.000003	1.23		L10559c152
3d^94s^2	^2D	^3/_2	4.0	1.6422256	0.0000024	0.80		L10559c152
3d^104p	^2P°	^1/_2	2.0	3.7858977	0.0000024	0.68	96	L10559c152
3d^104p	^2P°	^3/_2	4.0	3.8166920	0.0000022	1.33	96	L10559c152
3d^9(^2D)4s4p(^3P°)	^4P°	^5/_2	6.0	4.837701	0.000004	1.600	98	L10559c152
3d^9(^2D)4s4p(^3P°)	^4P°	^3/_2	4.0	4.973503	0.000004	1.75	96	L10559c152
3d^9(^2D)4s4p(^3P°)	^4F°	^9/_2	10.0	5.072089	0.000006	1.3340	100	L10559c152
3d^9(^2D)4s4p(^3P°)	^4P°	^1/_2	2.0	5.076382	0.000004	2.62	97	L10559c152
3d^9(^2D)4s4p(^3P°)	^4F°	^7/_2	8.0	5.102380	0.000004	1.26	89	L10559c152
3d^9(^2D)4s4p(^3P°)	^4F°	^5/_2	6.0	5.153147	0.000004		81	L10559c152
3d^9(^2D)4s4p(^3P°)	^4F°	^3/_2	4.0	5.244851	0.000004	0.44	95	L10559c152
3d^105s	^2S	^1/_2	2.0	5.3483348	0.0000021			L18473c152
3d^9(^2D)4s4p(^3P°)	^4D°	^7/_2	8.0	5.395050	0.000004	1.45	87	L10559c152
3d^9(^2D)4s4p(^3P°)	^2F°	^5/_2	6.0	5.421363	0.000004		51	L10559c152
3d^9(^2D)4s4p(^3P°)	^4D°	^5/_2	6.0	5.505682	0.000004	1.43	43	L10559c152
3d^9(^2D)4s4p(^3P°)	^4D°	^3/_2	4.0	5.522772	0.000004	1.09	65	L10559c152
3d^9(^2D)4s4p(^3P°)	^4D°	^1/_2	2.0	5.568835	0.000005	0.00	64	L10559c152
3d^9(^2D)4s4p(^3P°)	^2F°	^7/_2	8.0	5.574734	0.000004	1.22	78	L10559c152
3d^9(^2D)4s4p(^3P°)	^2P°	^1/_2	2.0	5.681073	0.000004		65	L10559c152
3d^9(^2D)4s4p(^3P°)	^2P°	^3/_2	4.0	5.688311	0.000004	1.22	55	L10559c152
3d^9(^2D)4s4p(^3P°)	°	^3/_2	4.0	5.724709	0.000004	0.69	40 | ^2P°	L10559c152
3d^9(^2D)4s4p(^3P°)	^2D°	^5/_2	6.0	5.777459	0.000004	1.22	83	L10559c152
3d^105p	^2P°	^3/_2	4.0	6.1227049	0.0000021			L18473c152
3d^105p	^2P°	^1/_2	2.0	6.1227444	0.0000009			L18473c152
3d^104d	^2D	^3/_2	4.0	6.1911751	0.0000016	0.82		L18473c152,L10559
3d^104d	^2D	^5/_2	6.0	6.1920252	0.0000016	1.19		L18473c152,L10559
3d^106s	^2S	^1/_2	2.0	6.5524100	0.0000004	1.99		L18473c152,L10559
3d^106p	^2P°	^3/_2	4.0	6.7923584	0.0000006			L18473c152
3d^106p	^2P°	^1/_2	2.0	6.8225730	0.0000009			L18473c152
3d^105d	^2D	^3/_2	4.0	6.8671955	0.0000006	0.77		L18473c152,L10559
3d^105d	^2D	^5/_2	6.0	6.8676456	0.0000006	1.22		L18473c152,L10559
3d^104f	^2F°	^7/_2	8.0	6.8719921	0.0000016			L18473c152
3d^104f	^2F°	^5/_2	6.0	6.8723598	0.0000016			L18473c152
3d^9(^2D)4s4p(^1P°)	^2F°	^7/_2	8.0	6.946821	0.000009		94	L10559c152
3d^9(^2D)4s4p(^1P°)	^2P°	^3/_2	4.0	6.985719	0.000006		92	L10559c152
3d^9(^2D)4s4p(^1P°)	^2D°	^5/_2	6.0	7.023880	0.000005	1.17	75	L10559c152
3d^107s	^2S	^1/_2	2.0	7.0263553	0.0000016			L18473c152
3d^107p	^2P°	^1/_2	2.0	7.119078	0.000006			L10559c152
3d^106d	^2D	^3/_2	4.0	7.1778166	0.0000010			L18473c152
3d^106d	^2D	^5/_2	6.0	7.1780681	0.0000012			L18473c152
3d^105f	^2F°	^5/_2	6.0	7.1793195	0.0000007			L18473c152
3d^105f	^2F°	^7/_2	8.0	7.1802167	0.0000007			L18473c152
3d^105g	^2G	^9/_2	10.0	7.1816767	0.0000016			L18473c152
3d^105g	^2G	^7/_2	8.0	7.1816767	0.0000016			L18473c152
3d^107p	^2P°	^3/_2	4.0	7.1847068	0.0000021			L18473c152
3d^9(^2D)4s4p(^1P°)	^2F°	^5/_2	6.0	7.205884	0.000009		80	L10559c152
3d^9(^2D)4s4p(^1P°)	^2P°	^1/_2	2.0	7.236296	0.000009		96	L10559c152
3d^108s	^2S	^1/_2	2.0	7.261618	0.000014			L10559c152
3d^9(^2D)4s4p(^1P°)	^2D°	^3/_2	4.0	7.276745	0.000006		87	L10559c152
3d^107d	^2D	^3/_2	4.0	7.345981	0.000003			L18473c152
3d^107d	^2D	^5/_2	6.0	7.3461333	0.0000022			L18473c152
3d^106f	^2F°	^7/_2	8.0	7.347225	0.000003			L18473c152
3d^106f	^2F°	^5/_2	6.0	7.3472875	0.0000025			L18473c152
3d^106g	^2G	^9/_2	10.0	7.3481359	0.0000015			L18473c152
3d^106g	^2G	^7/_2	8.0	7.3481359	0.0000015			L18473c152
3d^106h	^2H°	^9/_2,^11/_2	22.0	7.3483475	0.0000019			L18473c152
3d^108p	^2P°	^3/_2	4.0	7.349162	0.000006			L10559c152
3d^108p	^2P°	^1/_2	2.0	7.355080	0.000007			L10559c152
3d^109s	^2S	^1/_2	2.0	7.395393	0.000015			L10559c152
3d^108d	^2D	^3/_2	4.0	7.447174	0.000019			L10559
3d^108d	^2D	^5/_2	6.0	7.447282	0.000016			L10559c152
3d^109p	^2P°	^3/_2	4.0	7.447752	0.000006			L10559c152
3d^107f	^2F°	^7/_2	8.0	7.4479138	0.0000012			L18473c152
3d^107f	^2F°	^5/_2	6.0	7.4479334	0.0000017			L18473c152
3d^107g	^2G	^9/_2	10.0	7.4485062	0.0000020			L18473c152
3d^107g	^2G	^7/_2	8.0	7.4485062	0.0000020			L18473c152
3d^107h	^2H°	^9/_2,^11/_2	22.0	7.448643	0.000004			L18473c152
3d^109p	^2P°	^1/_2	2.0	7.449569	0.000007			L10559c152
3d^108f	^2F°	^5/_2	6.0	7.512670	0.000006			L10559c152
3d^109d	^2D	^3/_2	4.0	7.512763	0.000019			L10559c152
3d^109d	^2D	^5/_2	6.0	7.512825	0.000010			L10559c152
3d^1010p	^2P°	^3/_2	4.0	7.512835	0.000005			L10559c152
3d^1010p	^2P°	^1/_2	2.0	7.513590	0.000007			L10559c152
3d^1011p	^2P°	^3/_2	4.0	7.557620	0.000005			L10559c152
3d^1010d	^2D	^3/_2	4.0	7.557694	0.000020			L10559c152
3d^1010d	^2D	^5/_2	6.0	7.557744	0.000024			L10559c152
3d^1011p	^2P°	^1/_2	2.0	7.557999	0.000007			L10559c152
3d^1012p	^2P°	^3/_2	4.0	7.589709	0.000010			L10559
3d^1011d	^2D	^5/_2	6.0	7.58984	0.00004			L10559c152
3d^1012p	^2P°	^1/_2	2.0	7.589923	0.000007			L10559c152
3d^1013p	^2P°	^3/_2	4.0	7.613467	0.000009			L10559
3d^1013p	^2P°	^1/_2	2.0	7.613558	0.000010			L10559c152
3d^1014p	^2P°	^3/_2	4.0	7.631530	0.000016			L10559c152
3d^1014p	^2P°	^1/_2	2.0	7.631562	0.000025			L10559c152
3d^1015p	^2P°	^3/_2	4.0	7.645592	0.000024			L10559c152
3d^1015p	^2P°	^1/_2	2.0	7.64560	0.00003			L10559c152
3d^1016p	^2P°	^3/_2	4.0	7.656732	0.000024			L10559c152
3d^1016p	^2P°	^1/_2	2.0	7.65674	0.00003			L10559c152
3d^1017p	^2P°	^1/_2,^3/_2	6.0	7.665725	0.000010			L10559
3d^1018p	^2P°	^1/_2,^3/_2	6.0	7.673078	0.000010			L10559
3d^1019p	^2P°	^1/_2,^3/_2	6.0	7.679171	0.000010			L10559
3d^1020s	^2S	^1/_2	2.0	7.68153	0.00004			L10559c152
3d^1020p	^2P°	^1/_2,^3/_2	6.0	7.684278	0.000010			L10559c152
3d^1021s	^2S	^1/_2	2.0	7.68625	0.00004			L10559c152
3d^1021p	^2P°	^1/_2,^3/_2	6.0	7.688595	0.000010			L10559c152
3d^1022s	^2S	^1/_2	2.0	7.69026	0.00004			L10559c152
3d^1022p	^2P°	^1/_2,^3/_2	6.0	7.692282	0.000010			L10559c152
3d^1023s	^2S	^1/_2	2.0	7.69372	0.00004			L10559c152
3d^1023p	^2P°	^1/_2,^3/_2	6.0	7.695452	0.000010			L10559c152
3d^1024s	^2S	^1/_2	2.0	7.696685	0.000020			L10559
3d^1024p	^2P°	^1/_2,^3/_2	6.0	7.698200	0.000010			L10559c152
3d^1025s	^2S	^1/_2	2.0	7.69928	0.00004			L10559c152
3d^1025p	^2P°	^1/_2,^3/_2	6.0	7.700600	0.000010			L10559
3d^1026s	^2S	^1/_2	2.0	7.701571	0.000010			L10559c152
3d^1026p	^2P°	^1/_2,^3/_2	6.0	7.702704	0.000010			L10559c152
3d^1027s	^2S	^1/_2	2.0	7.70352	0.00004			L10559c152
3d^1027p	^2P°	^1/_2,^3/_2	6.0	7.704557	0.000010			L10559c152
3d^1028s	^2S	^1/_2	2.0	7.705299	0.000010			L10559c152
3d^1028p	^2P°	^1/_2,^3/_2	6.0	7.706209	0.000010			L10559c152
3d^1029s	^2S	^1/_2	2.0	7.706852	0.000010			L10559
3d^1029p	^2P°	^1/_2,^3/_2	6.0	7.707680	0.000010			L10559c152
3d^1030s	^2S	^1/_2	2.0	7.708270	0.000010			L10559
3d^1030p	^2P°	^1/_2,^3/_2	6.0	7.708993	0.000010			L10559c152
3d^1031s	^2S	^1/_2	2.0	7.709521	0.000010			L10559
3d^1031p	^2P°	^1/_2,^3/_2	6.0	7.710172	0.000010			L10559c152
3d^1032s	^2S	^1/_2	2.0	7.710647	0.000010			L10559
3d^1032p	^2P°	^1/_2,^3/_2	6.0	7.711242	0.000010			L10559c152
3d^1033s	^2S	^1/_2	2.0	7.711660	0.000010			L10559
3d^1033p	^2P°	^1/_2,^3/_2	6.0	7.712206	0.000010			L10559c152
3d^1034s	^2S	^1/_2	2.0	7.712595	0.000010			L10559c152
3d^1034p	^2P°	^1/_2,^3/_2	6.0	7.713079	0.000010			L10559c152
3d^1035s	^2S	^1/_2	2.0	7.71342	0.00004			L10559c152
3d^1035p	^2P°	^1/_2,^3/_2	6.0	7.713867	0.000010			L10559c152
3d^1036s	^2S	^1/_2	2.0	7.71420	0.00004			L10559c152
3d^1036p	^2P°	^1/_2,^3/_2	6.0	7.714586	0.000010			L10559c152
3d^1037s	^2S	^1/_2	2.0	7.71485	0.00004			L10559c152
3d^1037p	^2P°	^1/_2,^3/_2	6.0	7.715254	0.000010			L10559
3d^1038s	^2S	^1/_2	2.0	7.71551	0.00004			L10559c152
3d^1038p	^2P°	^1/_2,^3/_2	6.0	7.715868	0.000010			L10559c152
3d^1039s	^2S	^1/_2	2.0	7.71609	0.00004			L10559c152
3d^1039p	^2P°	^1/_2,^3/_2	6.0	7.716429	0.000010			L10559
3d^1040s	^2S	^1/_2	2.0	7.71662	0.00004			L10559c152
3d^1040p	^2P°	^1/_2,^3/_2	6.0	7.716944	0.000010			L10559c152
3d^1041s	^2S	^1/_2	2.0	7.71712	0.00004			L10559c152
3d^1041p	^2P°	^1/_2,^3/_2	6.0	7.717424	0.000010			L10559c152
3d^1042p	^2P°	^1/_2,^3/_2	6.0	7.717866	0.000010			L10559c152
3d^1043p	^2P°	^1/_2,^3/_2	6.0	7.718274	0.000010			L10559c152
3d^1044p	^2P°	^1/_2,^3/_2	6.0	7.718654	0.000010			L10559c152
3d^1045p	^2P°	^1/_2,^3/_2	6.0	7.719014	0.000010			L10559
3d^1046p	^2P°	^1/_2,^3/_2	6.0	7.719345	0.000010			L10559
3d^1047p	^2P°	^1/_2,^3/_2	6.0	7.719654	0.000010			L10559c152
3d^1048p	^2P°	^1/_2,^3/_2	6.0	7.719947	0.000010			L10559
3d^1049p	^2P°	^1/_2,^3/_2	6.0	7.720211	0.000010			L10559c152
3d^1050p	^2P°	^1/_2,^3/_2	6.0	7.720471	0.000010			L10559
3d^1051p	^2P°	^1/_2,^3/_2	6.0	7.720715	0.000010			L10559c152
3d^1052p	^2P°	^1/_2,^3/_2	6.0	7.72093	0.00004			L10559c152
3d^1053p	^2P°	^1/_2,^3/_2	6.0	7.72114	0.00004			L10559c152
3d^1054p	^2P°	^1/_2,^3/_2	6.0	7.72133	0.00004			L10559c152
3d^1055p	^2P°	^1/_2,^3/_2	6.0	7.72154	0.00004			L10559c152
3d^1056p	^2P°	^1/_2,^3/_2	6.0	7.72171	0.00004			L10559c152
3d^1057p	^2P°	^1/_2,^3/_2	6.0	7.72187	0.00004			L10559c152
