Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^6	^5D	4	9.0	0.000000	0		100	L11223
3d^6	^5D	3	7.0	0.054081	0.000005		100	L11223
3d^6	^5D	2	5.0	0.091608	0.000017		100	L11223
3d^6	^5D	1	3.0	0.115618	0.000020		100	L11223
3d^6	^5D	0	1.0	0.12736	0.00003		100	L11223
3d^6	a ^3P	2	5.0	2.405841	0.000017		61	L11223
3d^6	^3H	6	13.0	2.486052	0.000017		100	L11223
3d^6	^3H	5	11.0	2.516952	0.000016		99	L11223
3d^6	^3H	4	9.0	2.539410	0.000016		97	L11223
3d^6	a ^3P	1	3.0	2.565000	0.000020		62	L11223
3d^6	a ^3P	0	1.0	2.62947	0.00003		62	L11223
3d^6	a ^3F	4	9.0	2.660939	0.000015		75	L11223
3d^6	a ^3F	3	7.0	2.690431	0.000014		77	L11223
3d^6	a ^3F	2	5.0	2.709933	0.000016		80	L11223
3d^6	^3G	5	11.0	3.044858	0.000017		99	L11223
3d^6	^3G	4	9.0	3.092305	0.000015		96	L11223
3d^6	^3G	3	7.0	3.117226	0.000015		98	L11223
3d^5(^6S)4s	^7S	3	7.0	3.730646	0.000016		100	L11223
3d^6	^1I	6	13.0	3.763649	0.000021		100	L11223
3d^6	^3D	2	5.0	3.808296	0.000014		99	L11223
3d^6	^3D	1	3.0	3.809472	0.000016		100	L11223
3d^6	^3D	3	7.0	3.825866	0.000014		100	L11223
3d^6	a ^1G	4	9.0	3.829400	0.000017		65	L11223
3d^6	a ^1S	0	1.0	4.31613	0.00005		76	L11223
3d^6	a ^1D	2	5.0	4.439007	0.000020		77	L11223
3d^5(^6S)4s	^5S	2	5.0	5.083391	0.000012		100	L11223
3d^6	^1F	3	7.0	5.318460	0.000015		99	L11223
3d^6	b ^3P	0	1.0	6.093771	0.000021		62	L11223
3d^6	b ^3P	1	3.0	6.146798	0.000014		62	L11223
3d^6	b ^3F	2	5.0	6.222143	0.000014		80	L11223
