Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^5	^6S	^5/_2	6.0	0.00000	0		100	L7185
3d^5	^4G	^11/_2	12.0	3.99793			100	
3d^5	^4G	^9/_2	10.0	4.00380			100	
3d^5	^4G	^5/_2	6.0	4.00484			100	
3d^5	^4G	^7/_2	8.0	4.00540			100	
3d^5	^4P	^5/_2	6.0	4.37091			95	
3d^5	^4P	^3/_2	4.0	4.38077			97	
3d^5	^4P	^1/_2	2.0	4.38986			99	
3d^5	^4D	^7/_2	8.0	4.80803			100	
3d^5	^4D	^1/_2	2.0	4.82258			99	
3d^5	^4D	^5/_2	6.0	4.82734			96	
3d^5	^4D	^3/_2	4.0	4.82772			97	
3d^5	^2I	^11/_2	12.0	5.83700			99	
3d^5	^2I	^13/_2	14.0	5.83848			100	
3d^5	^2D3	^5/_2	6.0	6.14236			57	
3d^5	^2D3	^3/_2	4.0	6.20558			73	
3d^5	^2F2	^7/_2	8.0	6.37207			97	
3d^5	^2F2	^5/_2	6.0	6.46785			70	
3d^5	^4F	^9/_2	10.0	6.52414			98	
3d^5	^4F	^7/_2	8.0	6.53340			98	
3d^5	^4F	^3/_2	4.0	6.55097			96	
3d^5	^4F	^5/_2	6.0	6.55108			89	
3d^5	^2H	^9/_2	10.0	6.95034			86	
3d^5	^2H	^11/_2	12.0	6.98884			99	
3d^5	^2G2	^7/_2	8.0	7.11768			99	
3d^5	^2G2	^9/_2	10.0	7.15652			84	
3d^5	^2F1	^5/_2	6.0	7.58244			99	
3d^5	^2F1	^7/_2	8.0	7.59458			98	
3d^5	^2S	^1/_2	2.0	8.27224			100	
3d^5	^2D2	^3/_2	4.0	9.18681			100	
3d^5	^2D2	^5/_2	6.0	9.19133			100	
3d^5	^2G1	^9/_2	10.0	10.27766			100	
3d^5	^2G1	^7/_2	8.0	10.27796			100	
3d^5	^2P	^3/_2	4.0	12.41305			100	
3d^5	^2P	^1/_2	2.0	12.41404			100	
3d^5	^2D1	^5/_2	6.0	13.42031			76	
3d^5	^2D1	^3/_2	4.0	13.42232			76	
3d^4(^5D)4s	^6D	^1/_2	2.0	15.840984			100	
3d^4(^5D)4s	^6D	^3/_2	4.0	15.861189			100	
3d^4(^5D)4s	^6D	^5/_2	6.0	15.893725			100	
3d^4(^5D)4s	^6D	^7/_2	8.0	15.937158			100	
3d^4(^5D)4s	^6D	^9/_2	10.0	15.989953			100	
3d^4(^5D)4s	^4D	^1/_2	2.0	17.072725			100	
3d^4(^5D)4s	^4D	^3/_2	4.0	17.103532			100	
3d^4(^5D)4s	^4D	^5/_2	6.0	17.151829			100	
3d^4(^5D)4s	^4D	^7/_2	8.0	17.214466			100	
3d^4(^3P2)4s	^4P	^1/_2	2.0	19.050388			60	
3d^4(^3H)4s	^4H	^7/_2	8.0	19.116609			98	
3d^4(^3H)4s	^4H	^9/_2	10.0	19.133980			98	
3d^4(^3P2)4s	^4P	^3/_2	4.0	19.152440			60	
3d^4(^3H)4s	^4H	^11/_2	12.0	19.157130			99	
3d^4(^3H)4s	^4H	^13/_2	14.0	19.184235			100	
3d^4(^3P2)4s	^4P	^5/_2	6.0	19.309903			61	
3d^4(^3F2)4s	^4F	^3/_2	4.0	19.343059			78	
3d^4(^3F2)4s	^4F	^5/_2	6.0	19.347650			77	
3d^4(^3F2)4s	^4F	^7/_2	8.0	19.356880			76	
3d^4(^3F2)4s	^4F	^9/_2	10.0	19.369417			76	
3d^4(^3G)4s	^4G	^5/_2	6.0	19.681089			96	
3d^4(^3G)4s	^4G	^7/_2	8.0	19.714776			95	
3d^4(^3G)4s	^4G	^9/_2	10.0	19.741744			93	
3d^4(^3G)4s	^4G	^11/_2	12.0	19.755999			92	
3d^4(^3P2)4s	^2P	^1/_2	2.0	19.839441			59	
3d^4(^3H)4s	^2H	^9/_2	10.0	19.876110			96	
3d^4(^3H)4s	^2H	^11/_2	12.0	19.934006			93	
3d^4(^3P2)4s	^2P	^3/_2	4.0	20.032324			60	
3d^4(^3F2)4s	^2F	^5/_2	6.0	20.094667			77	
3d^4(^3F2)4s	^2F	^7/_2	8.0	20.096327			74	
3d^4(^3G)4s	^2G	^7/_2	8.0	20.451256			94	
3d^4(^3G)4s	^2G	^9/_2	10.0	20.506066			98	
3d^4(^3D)4s	^4D	^7/_2	8.0	20.518529			100	
3d^4(^3D)4s	^4D	^5/_2	6.0	20.531902			99	
3d^4(^3D)4s	^4D	^3/_2	4.0	20.546778			99	
3d^4(^3D)4s	^4D	^1/_2	2.0	20.557134			99	
3d^4(^1G2)4s	^2G	^9/_2	10.0	20.793700			65	
3d^4(^1G2)4s	^2G	^7/_2	8.0	20.804043			64	
3d^4(^1I)4s	^2I	^13/_2	14.0	20.894607			100	
