Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^104s^2	^1S	0	1.0	0.000000	0		97	L7213
3d^104s4p	^3P°	0	1.0	7.654018			100	
3d^104s4p	^3P°	1	3.0	7.749006			100	
3d^104s4p	^3P°	2	5.0	7.952824			100	
3d^104s4p	^1P°	1	3.0	11.390761			97	
3d^104p^2	^1D	2	5.0	17.974592			64	
3d^104p^2	^3P	0	1.0	18.310662			99	
3d^104p^2	^3P	1	3.0	18.429022			100	
3d^104p^2	^3P	2	5.0	18.643720			97	
3d^104s5s	^3S	1	3.0	19.659557		1.99	100	
3d^104s4d	^3D	1	3.0	20.189618			100	
3d^104s4d	^3D	2	5.0	20.198308			100	
3d^104s4d	^3D	3	7.0	20.211526			100	
3d^104s5s	^1S	0	1.0	20.275450			98	
3d^104p^2	^1S	0	1.0	21.587374			94	
3d^104s4d	^1D	2	5.0	22.086589			65	
3d^104s5p	^3P°	0	1.0	22.547663			100	
3d^104s5p	^3P°	1	3.0	22.568576		1.48	98	
3d^104s5p	^3P°	2	5.0	22.625509		1.49	100	
3d^104s5p	^1P°	1	3.0	22.850047			95	
3d^104s4f	^3F°	2	5.0	26.091977			96	
3d^104s4f	^3F°	3	7.0	26.093900			72	
3d^104s4f	^3F°	4	9.0	26.101638			96	
3d^104s4f	^1F°	3	7.0	26.103209			73	
3d^104s6s	^3S	1	3.0	26.178032		1.94	100	
3d^104s6s	^1S	0	1.0	26.36673			99	
3d^104s5d	^3D	1	3.0	26.423904		0.50	100	
3d^104s5d	^3D	2	5.0	26.427536		1.16	100	
3d^104s5d	^3D	3	7.0	26.433139		1.32	100	
3d^104s5d	^1D	2	5.0	26.728137			95	
3d^104s7s	^3S	1	3.0	29.06590			100	
3d^104s5g	^3G	3	7.0	29.125887			100	
3d^104s5g	^3G	4	9.0	29.125919			51	
3d^104s5g	^1G	4	9.0	29.126373			51	
3d^104s5g	^3G	5	11.0	29.126380			100	
3d^104s7s	^1S	0	1.0	29.14866			100	
3d^104s6d	^3D	1	3.0	29.19041			100	
3d^104s6d	^3D	2	5.0	29.19235			100	
3d^104s6d	^3D	3	7.0	29.19574			100	
3d^104s6d	^1D	2	5.0	29.29108			98	
3d^104p4d	^1D°	2	5.0	29.48980			56	
3d^104s8s	^3S	1	3.0	30.60860			100	
3d^104s6g	^3G	3	7.0	30.634474			100	
3d^104s6g	^3G	4	9.0	30.634513			72	
3d^104s6g	^3G	5	11.0	30.634915			100	
3d^104s6g	^1G	4	9.0	30.634918			72	
3d^104p4d	^1P°	1	3.0	32.57253			94	
