Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p	^2P°	^1/_2	2.0	0.0000000	0			L7213
4s^24p	^2P°	^3/_2	4.0	0.2191243				
4s4p^2	^4P	^1/_2	2.0	6.3945948				
4s4p^2	^4P	^3/_2	4.0	6.4832505				
4s4p^2	^4P	^5/_2	6.0	6.6166322				
4s^25s	^2S	^1/_2	2.0	7.7369894		2.003		
4s4p^2	^2D	^3/_2	4.0	8.0609160		0.803		
4s4p^2	^2D	^5/_2	6.0	8.0818775		1.197		
4s^25p	^2P°	^1/_2	2.0	9.7956013		0.668		
4s^25p	^2P°	^3/_2	4.0	9.8401911		1.330		
4s^24d	^2D	^3/_2	4.0	10.0224958		0.800		
4s^24d	^2D	^5/_2	6.0	10.0442820		1.200		
4s4p^2	^2S	^1/_2	2.0	10.649071				
4s4p^2	^2P	^1/_2	2.0	11.28457				
4s4p^2	^2P	^3/_2	4.0	11.42176				
4s^26s	^2S	^1/_2	2.0	11.7517655		1.996		
4s^25d	^2D	^3/_2	4.0	12.4095747		0.797		
4s^25d	^2D	^5/_2	6.0	12.4146385		1.201		
4s^24f	^2F°	^7/_2	8.0	12.4377579		1.143		
4s^24f	^2F°	^5/_2	6.0	12.4378438		0.857		
4s^26p	^2P°	^1/_2	2.0	12.5346098				
4s^26p	^2P°	^3/_2	4.0	12.5527349				
4s^27s	^2S	^1/_2	2.0	13.382378				
4s^26d	^2D	^3/_2	4.0	13.685137				
4s^26d	^2D	^5/_2	6.0	13.687562				
4s^25f	^2F°	^7/_2	8.0	13.700822				
4s^25f	^2F°	^5/_2	6.0	13.700901				
4s^25g	^2G	^7/_2	8.0	13.7459363				
4s^25g	^2G	^9/_2	10.0	13.7459404				
4s^27p	^2P°	^1/_2	2.0	13.764267				
4s^27p	^2P°	^3/_2	4.0	13.773597				
4s^28s	^2S	^1/_2	2.0	14.213359				
4s^27d	^2D	^3/_2	4.0	14.379415				
4s^27d	^2D	^5/_2	6.0	14.380775				
4s^26f	^2F°	^7/_2	8.0	14.3872790				
4s^26f	^2F°	^5/_2	6.0	14.387351				
4s^26g	^2G	^7/_2	8.0	14.415240				
4s^26g	^2G	^9/_2	10.0	14.415240				
4s^28p	^2P°	^1/_2	2.0	14.427022				
4s^28p	^2P°	^3/_2	4.0	14.432580				
4s^29s	^2S	^1/_2	2.0	14.695009				
4s^28d	^2D	^3/_2	4.0	14.796164				
4s^28d	^2D	^5/_2	6.0	14.796987				
4s^27f	^2F°	^7/_2	8.0	14.800480				
4s^27f	^2F°	^5/_2	6.0	14.800532				
4s^27g	^2G	^7/_2	8.0	14.8188189				
4s^27g	^2G	^9/_2	10.0	14.8188192				
4s^29p	^2P°	^1/_2	2.0	14.825733				
4s^29p	^2P°	^3/_2	4.0	14.829473				
4s^210s	^2S	^1/_2	2.0	14.999243				
4s^29d	^2D	^3/_2	4.0	15.065489				
4s^29d	^2D	^5/_2	6.0	15.066042				
4s^28f	^2F°	^7/_2	8.0	15.068080				
4s^28f	^2F°	^5/_2	6.0	15.068117				
4s^28g	^2G	^7/_2	8.0	15.080678				
4s^28g	^2G	^9/_2	10.0	15.080678				
4s^210p	^2P°	^1/_2	2.0	15.084273				
4s^210p	^2P°	^3/_2	4.0	15.087109				
4s4p(^3P°)5s	^4P°	^1/_2	2.0	15.21215				
4s^210d	^2D	^3/_2	4.0	15.249492				
4s^210d	^2D	^5/_2	6.0	15.249862				
4s^29f	^2F°	^7/_2	8.0	15.251139				
4s^29f	^2F°	^5/_2	6.0	15.251167				
4s^29g	^2G	^7/_2	8.0	15.260141				
4s^29g	^2G	^9/_2	10.0	15.260141				
4s^211p	^2P°	^3/_2	4.0	15.262777				
4s4p(^3P°)5s	^4P°	^3/_2	4.0	15.29980				
4s^210f	^2F°	^5/_2	6.0	15.38183				
4s^210f	^2F°	^7/_2	8.0	15.38183				
4s^210g	^2G	^7/_2	8.0	15.388469				
4s^210g	^2G	^9/_2	10.0	15.388469				
4s4p(^3P°)5s	^4P°	^5/_2	6.0	15.46485				
4s^211f	^2F°	^5/_2	6.0	15.47834				
4s^211f	^2F°	^7/_2	8.0	15.47834				
4s^211g	^2G	^7/_2	8.0	15.483384				
4s^211g	^2G	^9/_2	10.0	15.483384				
4s4p(^3P°)4d	^2D°	^3/_2	4.0	15.73642				
4s4p(^3P°)5s	^2P°	^1/_2	2.0	15.75614				
4s4p(^3P°)4d	^2D°	^5/_2	6.0	15.77964				
4s4p(^3P°)5s	^2P°	^3/_2	4.0	15.85960				
