Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^104s	^2S	^1/_2	2.0	0.0000	0			L7213
3d^104p	^2P°	^1/_2	2.0	10.08133				
3d^104p	^2P°	^3/_2	4.0	10.42736				
3d^104d	^2D	^3/_2	4.0	23.63157		0.82		
3d^104d	^2D	^5/_2	6.0	23.66269		1.26		
3d^105s	^2S	^1/_2	2.0	24.70555		2.04		
3d^105p	^2P°	^1/_2	2.0	28.07705		0.68		
3d^105p	^2P°	^3/_2	4.0	28.19325		1.34		
3d^104f	^2F°	^7/_2	8.0	31.9249				
3d^104f	^2F°	^5/_2	6.0	31.9254				
3d^9(^2D)4s^2	^2D	^5/_2	6.0	32.2282				
3d^9(^2D)4s^2	^2D	^3/_2	4.0	32.7869				
3d^105d	^2D	^3/_2	4.0	33.16026		0.80		
3d^105d	^2D	^5/_2	6.0	33.17515		1.19		
3d^106s	^2S	^1/_2	2.0	33.55055				
3d^9(^2D)4s4p(^3P°)	^4P°	^3/_2	4.0	34.9282			94	
3d^106p	^2P°	^1/_2	2.0	35.09097				
3d^106p	^2P°	^3/_2	4.0	35.14473				
3d^9(^2D)4s4p(^3P°)	^4P°	^1/_2	2.0	35.2126			97	
3d^9(^2D)4s4p(^3P°)	^4D°	^3/_2	4.0	36.1602			43	
3d^9(^2D)4s4p(^3P°)	^2P°	^1/_2	2.0	36.2970			73	
3d^9(^2D)4s4p(^3P°)	^2P°	^3/_2	4.0	36.3653			83	
3d^9(^2D)4s4p(^3P°)	^4D°	^1/_2	2.0	36.4360			75	
3d^9(^2D)4s4p(^3P°)	^2D°	^3/_2	4.0	36.6070			58	
3d^105f	^2F°	^5/_2	6.0	36.89318				
3d^105f	^2F°	^7/_2	8.0	36.89326				
3d^105g	^2G	^9/_2	10.0	36.9935				
3d^105g	^2G	^7/_2	8.0	36.9935				
3d^106d	^2D	^3/_2	4.0	37.58033				
3d^106d	^2D	^5/_2	6.0	37.58810				
3d^107s	^2S	^1/_2	2.0	37.77397				
3d^107p	^2P°	^1/_2	2.0	38.6015				
3d^107p	^2P°	^3/_2	4.0	38.6188				
3d^9(^2D)4s4p(^1P°)	^2P°	^3/_2	4.0	39.4423			97	
3d^106f	^2F°	^7/_2	8.0	39.58532				
3d^106f	^2F°	^5/_2	6.0	39.58541				
3d^9(^2D)4s4p(^1P°)	^2P°	^1/_2	2.0	39.9401			99	
3d^108s	^2S	^1/_2	2.0	40.12197				
3d^109s	^2S	^1/_2	2.0	41.5630				
