Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p^2	^3P	0	1.0	0.00000000	0			L7213
4s^24p^2	^3P	1	3.0	0.06907582		1.50111		
4s^24p^2	^3P	2	5.0	0.17481287		1.49458		
4s^24p^2	^1D	2	5.0	0.88342447		1.00639		
4s^24p^2	^1S	0	1.0	2.02929069				
4s^24p5s	^3P°	0	1.0	4.64341768			100	
4s^24p5s	^3P°	1	3.0	4.67449011		1.435	82	
4s^24p5s	^3P°	2	5.0	4.85000174		1.500	100	
4s^24p5s	^1P°	1	3.0	4.96191710		1.068	86	
4s4p^3	^5S°	2	5.0	5.1982515		2.011	100	
4s^24p5p	^3D	1	3.0	5.7014868				
4s^24p5p	^1P	1	3.0	5.79815458		0.980		
4s^24p5p	^3D	2	5.0	5.80672304		1.182		
4s^24p5p	^3P	0	1.0	5.88957497				
4s^24p5p	^3P	1	3.0	5.96219558		1.362		
4s^24p5p	^3D	3	7.0	5.96414832		1.332		
4s^24p4d	^1D°	2	5.0	6.0107599		0.981	74	
4s^24p5p	^3P	2	5.0	6.04126822		1.427		
4s^24p4d	^3D°	2	5.0	6.0606282		1.008	57	
4s^24p4d	^3D°	1	3.0	6.0706114		0.556	77	
4s^24p5p	^3S	1	3.0	6.08463509		1.862		
4s^24p4d	^3D°	3	7.0	6.0931287		1.240	56	
4s^24p5p	^1D	2	5.0	6.15576347		1.062		
4s^24p4d	^3F°	2	5.0	6.2077591		0.867	59	
4s^24p4d	^3F°	3	7.0	6.2393145		1.194	66	
4s^24p4d	^3F°	4	9.0	6.296759			99	
4s^24p5p	^1S	0	1.0	6.32461240				
4s^24p4d	^3P°	2	5.0	6.3774747		1.460	88	
4s^24p4d	^3P°	1	3.0	6.4106055		1.391	82	
4s^24p4d	^3P°	0	1.0	6.444469			89	
4s^24p6s	(^1/_2,^1/_2)°	1	3.0	6.4656180		1.307		
4s^24p6s	(^1/_2,^1/_2)°	0	1.0	6.4683181				
4s^24p4d	^1F°	3	7.0	6.5206047		1.010	90	
4s^24p4d	^1P°	1	3.0	6.5522196		1.140	65	
4s^24p6s	(^3/_2,^1/_2)°	2	5.0	6.6841895				
4s^24p6s	(^3/_2,^1/_2)°	1	3.0	6.7168350		1.103		
4s^24p6p	^3D	1	3.0	6.81117707		0.690		
4s^24p6p	^1P	1	3.0	6.84837065		1.383		
4s^24p6p	^3D	2	5.0	6.85212189		1.177		
4s^24p5d	^3D°	2	5.0	6.8653287			47	
4s^24p5d	^3D°	1	3.0	6.8779822		0.600	58	
4s^24p6p	^3P	0	1.0	6.88152008				
4s^24p5d	^3F°	2	5.0	6.904271			52	
4s^24p5d	^3D°	3	7.0	6.9082265			42	
4s^24p6p	^3P	1	3.0	7.02831190		1.106		
4s^24p(^2P°_1/2)4f	^2[^7/_2]	3	7.0	7.0380558			77	
4s^24p(^2P°_1/2)4f	^2[^5/_2]	3	7.0	7.0384172		1.200	77	
4s^24p(^2P°_1/2)4f	^2[^7/_2]	4	9.0	7.0387647			100	
4s^24p(^2P°_1/2)4f	^2[^5/_2]	2	5.0	7.0389239		0.859	99	
4s^24p6p	^3D	3	7.0	7.0414916		1.297		
