Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^11	^4I°	^15/_2	16.0	0.000000	0		97	L3974
4f^11	^4I°	^13/_2	14.0	0.674292			99	
4f^11	^4I°	^11/_2	12.0	1.071793			85	
4f^11	^4I°	^9/_2	10.0	1.335359			61	
4f^11	^4F°	^9/_2	10.0	1.652637			66	
4f^11	^2H2°	^11/_2	12.0	2.094242			48	
4f^11	^4F°	^7/_2	8.0	2.215402			93	
4f^10(^5I_8)5d_3/2	(8,^3/_2)	^15/_2	16.0	2.235857			83 | or	
4f^10(^5I_8)5d_3/2	(8,^3/_2)	^17/_2	18.0	2.244007			67 | or	
4f^10(^5I_8)5d_3/2	(8,^3/_2)	^13/_2	14.0	2.356951			87 | or	
4f^11	^4F°	^5/_2	6.0	2.402235			86	
4f^10(^5I_8)5d_3/2	(8,^3/_2)	^19/_2	20.0	2.472303			62 | or	
4f^11	°	^9/_2	10.0	2.669845			22 | ^4F°	
4f^10(^5I_8)6s_1/2	(8,^1/_2)	^17/_2	18.0	2.705850			94 | or	
4f^10(^5I_8)5d_5/2	(8,^5/_2)	^21/_2	22.0	2.746720			93 | or	
4f^10(^5I_8)5d_5/2	(8,^5/_2)	^17/_2	18.0	2.757788			58 | or	
4f^10(^5I_7)5d_3/2	(7,^3/_2)	^13/_2	14.0	2.781102			58 | or	
4f^10(^5I_8)5d_5/2	(8,^5/_2)	^19/_2	20.0	2.790150			60 | or	
4f^10(^5I_7)5d_3/2		^15/_2	16.0	2.806738			41 | (7,^3/_2) | or	
4f^10(^5I_8)6s_1/2	(8,^1/_2)	^15/_2	16.0	2.850890			92 | or	
4f^10(^5I_7)5d_3/2	(7,^3/_2)	^11/_2	12.0	2.877957			67 | or	
4f^11	^4G°	^9/_2	10.0	2.961322			81	
4f^11	^4G°	^7/_2	8.0	3.055971			45	
4f^10(^5I_7)5d_3/2	(7,^3/_2)	^17/_2	18.0	3.168757			79 | or	
4f^10(^5I_6)5d_3/2		^13/_2	14.0	3.186298			25 | (6,^3/_2) | or	
4f^10(^5I_6)5d_3/2	(6,^3/_2)	^11/_2	12.0	3.220291			55 | or	
4f^10(^5I_7)5d_3/2	(7,^3/_2)	^15/_2	16.0	3.233690			45 | or	
4f^10(^5I_6)5d_3/2	(6,^3/_2)	^9/_2	10.0	3.298360			59 | or	
4f^10(^5I_7)5d_5/2	(7,^5/_2)	^15/_2	16.0	3.356797			50 | or	
4f^10(^5I_7)6s_1/2	(7,^1/_2)	^15/_2	16.0	3.369905			95 | or	
4f^10(^5I_7)5d_5/2	(7,^5/_2)	^17/_2	18.0	3.379841			76 | or	
4f^10(^5I_7)5d_5/2	(7,^5/_2)	^19/_2	20.0	3.430242			94 | or	
4f^10(^5I_7)6s_1/2	(7,^1/_2)	^13/_2	14.0	3.438818			93 | or	
4f^10(^5I_8)5d_5/2		^13/_2	14.0	3.460859			34 | (8,^5/_2) | or	
4f^10(^5I_5)5d_3/2	(5,^3/_2)	^9/_2	10.0	3.556283			51 | or	
4f^10(^5I_6)5d_5/2		^11/_2	12.0	3.561432			32 | (6,^5/_2) | or	
4f^10(^5I_8)5d_5/2	(8,^5/_2)	^11/_2	12.0	3.571897			49 | or	
4f^10(^5I_6)5d_3/2	(6,^3/_2)	^13/_2	14.0	3.579082			40 | or	
4f^11	^4G°	^5/_2	6.0	3.590634			93	
4f^10(^5I_5)5d_3/2	(5,^3/_2)	^7/_2	8.0	3.614001			48 | or	
4f^10(^5I_6)5d_3/2	(6,^3/_2)	^15/_2	16.0	3.615698			86 | or	
4f^10(^5I_5)5d_3/2	(5,^3/_2)	^11/_2	12.0	3.796175			53 | or	
4f^10(^5I_4)5d_3/2		^7/_2	8.0	3.829595			42 | (4,^3/_2) | or	
4f^10(^5I_6)6s_1/2	(6,^1/_2)	^11/_2	12.0	3.837708			89 | or	
4f^10(^5I_6)6s_1/2	(6,^1/_2)	^13/_2	14.0	3.843220			91 | or	
4f^10(^5I_5)5d_5/2		^9/_2	10.0	3.849265			41 | (5,^5/_2) | or	
4f^10(^5I_6)5d_5/2	(6,^5/_2)	^15/_2	16.0	3.862135			77 | or	
4f^10(^5I_5)5d_3/2	(5,^3/_2)	^13/_2	14.0	3.882380			81 | or	
4f^10(^5I_4)5d_3/2		^5/_2	6.0	3.926201			39 | (4,^3/_2) | or	
4f^10(^5I_6)5d_5/2	(6,^5/_2)	^17/_2	18.0	3.931279			86 | or	
4f^10(^5I_6)5d_5/2		^13/_2	14.0	3.955475			43 | (6,^5/_2) | or	
4f^10(^5I_4)5d_3/2	(4,^3/_2)	^9/_2	10.0	3.986978			59 | or	
4f^10(^5I_6)5d_5/2		^11/_2	12.0	4.010781			34 | (6,^5/_2) | or	
4f^10(^5I_4)5d_5/2	(4,^5/_2)	^7/_2	8.0	4.055870			39 | or	
4f^10(^5I_4)5d_3/2	(4,^3/_2)	^11/_2	12.0	4.097244			86 | or	
4f^10(^5I_7)5d_5/2		^9/_2	10.0	4.109662			30 | (7,^5/_2) | or	
4f^10(^5I_5)6s_1/2	(5,^1/_2)	^9/_2	10.0	4.125847			86 | or	
4f^10(^5F_5)5d_3/2		^9/_2	10.0	4.167082			43 | (5,^3/_2) | or	
4f^10(^5F_5)5d_3/2		^11/_2	12.0	4.171355			35 | (5,^3/_2) | or	
4f^10(^5I_5)6s_1/2	(5,^1/_2)	^11/_2	12.0	4.200038			83 | or	
4f^10(^5I_4)5d_5/2	(4,^5/_2)	^5/_2	6.0	4.205928			62 | or	
4f^10(^5I_5)5d_5/2	(5,^5/_2)	^13/_2	14.0	4.223768			57 | or	
4f^10(^5I_5)5d_5/2	(5,^5/_2)	^15/_2	16.0	4.298076			71 | or	
4f^10(^5F_5)5d_3/2	(5,^3/_2)	^13/_2	14.0	4.309656			49 | or	
4f^10(^5I_4)6s_1/2	(4,^1/_2)	^7/_2	8.0	4.347842			89 | or	
4f^10(^5I_5)5d_5/2	(5,^5/_2)	^11/_2	12.0	4.364715			50 | or	
4f^10(^5F_5)5d_5/2	(5,^5/_2)	^15/_2	16.0	4.418791			70 | or	
4f^10(^5I_5)5d_5/2		^9/_2	10.0	4.441469			33 | (5,^5/_2) | or	
4f^10(^5F_4)5d_3/2		^11/_2	12.0	4.448167			32 | (4,^3/_2) | or	
4f^10(^5I_4)6s_1/2	(4,^1/_2)	^9/_2	10.0	4.492451			85 | or	
4f^10(^5I_4)5d_5/2	(4,^5/_2)	^11/_2	12.0	4.538791			69 | or	
4f^10(^5I_6)5d_5/2		^7/_2	8.0	4.540558			41 | (6,^5/_2) | or	
4f^10(^5I_4)5d_5/2	(4,^5/_2)	^13/_2	14.0	4.624654			84 | or	
4f^10(^5F_5)6s_1/2	(5,^1/_2)	^11/_2	12.0	4.643247			81 | or	
4f^10(^5I_4)5d_5/2	(4,^5/_2)	^9/_2	10.0	4.679913			48 | or	
4f^10(^5F_5)6s_1/2	(5,^1/_2)	^9/_2	10.0	4.776998			76 | or	
4f^10(^5F_5)5d_5/2		^13/_2	14.0	4.779776			43 | (5,^5/_2) | or	
4f^10(^5I_4)5d_5/2		^7/_2	8.0	4.795710			29 | (4,^5/_2) | or	
4f^10(^5F_4)5d_5/2	(4,^5/_2)	^13/_2	14.0	4.883522			49 | or	
4f^10(^5F_2)5d_3/2		^5/_2	6.0	4.884883			30 | (2,^3/_2) | or	
4f^10(^5I_4)5d_3/2	(4,^3/_2)	^5/_2	6.0	4.913915			45 | or	
4f^10(^5G_6)5d_3/2		^11/_2	12.0	5.219220			40 | (6,^3/_2) | or	
4f^10(^5G_6)5d_3/2	(6,^3/_2)	^13/_2	14.0	5.285067			49 | or	
4f^10(^5G_6)6s_1/2	(6,^1/_2)	^13/_2	14.0	5.485357			81 | or	
4f^10(^5I_8)6p_1/2	(8,^1/_2)°	^15/_2	16.0	7.128809			93	
4f^10(^5I_8)6p_1/2	(8,^1/_2)°	^17/_2	18.0	7.172875			92	
4f^10(^5I_7)6p_1/2	(7,^1/_2)°	^13/_2	14.0	7.747088			84	
4f^10(^5I_8)6p_3/2	(8,^3/_2)°	^17/_2	18.0	7.786789			92	
4f^10(^5I_7)6p_1/2	(7,^1/_2)°	^15/_2	16.0	7.791677			77	
4f^10(^5I_8)6p_3/2	(8,^3/_2)°	^19/_2	20.0	7.800172			93	
4f^10(^5I_8)6p_3/2	(8,^3/_2)°	^15/_2	16.0	7.869106			74	
4f^10(^5I_8)6p_3/2	(8,^3/_2)°	^13/_2	14.0	7.949354			80	
4f^10(^5I_6)6p_1/2	(6,^1/_2)°	^11/_2	12.0	8.198868			89	
4f^10(^5I_6)6p_1/2	(6,^1/_2)°	^13/_2	14.0	8.244158			92	
4f^10(^5I_7)6p_3/2	(7,^3/_2)°	^15/_2	16.0	8.418068			95	
4f^10(^5I_7)6p_3/2	(7,^3/_2)°	^17/_2	18.0	8.443928			97	
4f^10(^5I_7)6p_3/2	(7,^3/_2)°	^13/_2	14.0	8.463909			93	
4f^10(^5I_7)6p_3/2	(7,^3/_2)°	^11/_2	12.0	8.524649			70	
4f^10(^5I_5)6p_1/2	(5,^1/_2)°	^9/_2	10.0	8.528685			85	
4f^10(^5I_5)6p_1/2	(5,^1/_2)°	^11/_2	12.0	8.573293			69	
4f^10(^5I_4)6p_1/2	(4,^1/_2)°	^7/_2	8.0	8.800303			85	
4f^10(^5I_4)6p_1/2	(4,^1/_2)°	^9/_2	10.0	8.809354			88	
4f^10(^5I_6)6p_3/2	(6,^3/_2)°	^13/_2	14.0	8.864783			92	
4f^10(^5I_6)6p_3/2	(6,^3/_2)°	^11/_2	12.0	8.878737			91	
4f^10(^5I_6)6p_3/2	(6,^3/_2)°	^15/_2	16.0	8.900131			94	
4f^10(^5I_6)6p_3/2	(6,^3/_2)°	^9/_2	10.0	8.938101			86	
4f^10(^5F_5)6p_1/2	(5,^1/_2)°	^9/_2	10.0	9.048235			77	
