Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^11(^4I°_15/2)6s_1/2	(^15/_2,^1/_2)°	8	17.0	0.000000	0		97 | or	L3974
4f^11(^4I°_15/2)6s_1/2	(^15/_2,^1/_2)°	7	15.0	0.079028			97 | or	
4f^11(^4I°_13/2)6s_1/2	(^13/_2,^1/_2)°	7	15.0	0.696424			or	
4f^11(^4I°_13/2)6s_1/2	(^13/_2,^1/_2)°	6	13.0	0.725275			or	
4f^11(^4I°_11/2)6s_1/2	(^11/_2,^1/_2)°	5	11.0	1.097328			or	
4f^11(^4I°_11/2)6s_1/2	(^11/_2,^1/_2)°	6	13.0	1.116062			or	
4f^11(^4I°_9/2)6s_1/2	(^9/_2,^1/_2)°	4	9.0	1.343846			or	
4f^11(^4I°_9/2)6s_1/2	(^9/_2,^1/_2)°	5	11.0	1.389181			or	
4f^11(^4I°_15/2)5d_3/2	(^15/_2,^3/_2)°	6	13.0	2.018661			or	
4f^11(^4I°_15/2)5d_3/2	(^15/_2,^3/_2)°	7	15.0	2.076609			or	
4f^11(^4I°_15/2)5d_3/2	(^15/_2,^3/_2)°	9	19.0	2.196225			or	
4f^11(^4I°_15/2)5d_5/2	(^15/_2,^5/_2)°	10	21.0	2.263821			or	
4f^11(^4I°_15/2)5d_3/2	(^15/_2,^3/_2)°	8	17.0	2.281913			or	
4f^11(^4I°_15/2)5d_3/2	°	5	11.0	2.355767				
4f^11(^4I°_15/2)5d_5/2	(^15/_2,^5/_2)°	9	19.0	2.369520			or	
4f^11(^4I°_15/2)5d_5/2	(^15/_2,^5/_2)°	5	11.0	2.465168			or	
4f^11(^4I°_15/2)5d_5/2	(^15/_2,^5/_2)°	8	17.0	2.483323			or	
4f^11(^4I°_15/2)5d_5/2	(^15/_2,^5/_2)°	6	13.0	2.518727			or	
4f^11(^4I°_15/2)5d_5/2	(^15/_2,^5/_2)°	7	15.0	2.540684			or	
4f^11(^4I°_15/2)5d_5/2	(^15/_2,^5/_2)°	7 or 8	15.0	2.68906				
4f^11(^4I°_15/2)5d_5/2	(^15/_2,^5/_2)°	7	15.0	3.06390				
4f^11(^4I°_15/2)5d_5/2	(^15/_2,^5/_2)°	7 or 8	15.0	3.22462				
4f^11(^4I°_15/2)6p_1/2	(^15/_2,^1/_2)	7	15.0	3.252625			95	
4f^11(^4I°_15/2)6p_1/2	(^15/_2,^1/_2)	8	17.0	3.264609			97	
4f^11(^4I°_15/2)6p_3/2	(^15/_2,^3/_2)	9	19.0	3.586454			97	
4f^11(^4I°_15/2)6p_3/2	(^15/_2,^3/_2)	6	13.0	3.604749				
4f^11(^4I°_15/2)6p_3/2	(^15/_2,^3/_2)	7 or 8	15.0	3.62964				
4f^11(^4I°_15/2)6p_3/2	(^15/_2,^3/_2)	7 or 8	15.0	3.63586				
4f^11(^4I°_15/2)6p_3/2	(^15/_2,^3/_2)	8	17.0	3.646670			97	
4f^11(^4I°_15/2)6p_3/2	(^15/_2,^3/_2)	6	13.0	3.668505†			94	
4f^11(^4I°_15/2)6p_3/2	(^15/_2,^3/_2)	7	15.0	3.696074				
4f^11(^4I°_15/2)6p_3/2	(^15/_2,^3/_2)	7	15.0	3.707030†			94	
4f^11(^4I°_15/2)6p_3/2	(^15/_2,^3/_2)	7 or 8	15.0	3.82921				
4f^11(^4I°_13/2)6p_1/2	(^13/_2,^1/_2)	6	13.0	3.90612			95	
4f^11(^4I°_13/2)6p_1/2	(^13/_2,^1/_2)	7	15.0	3.91248			97	
4f^11(^4I°_13/2)6p_1/2	(^13/_2,^1/_2)	6	13.0	4.20092				
4f^11(^4I°_13/2)6p_1/2	(^13/_2,^1/_2)	6	13.0	4.22774				
4f^11(^4I°_13/2)6p_1/2	(^13/_2,^1/_2)	5	11.0	4.29651				
4f^11(^4I°_11/2)6p_1/2	(^11/_2,^1/_2)	6	13.0	4.31098			51	
4f^11(^4I°_13/2)6p_3/2	(^13/_2,^3/_2)	7	15.0	4.31206			98	
4f^11(^4I°_13/2)6p_3/2	(^13/_2,^3/_2)	8	17.0	4.31500			99	
4f^11(^4I°_13/2)6p_3/2	(^13/_2,^3/_2)	6	13.0	4.34778			58	
4f^11(^4I°_13/2)6p_3/2	(^13/_2,^3/_2)	7 or 8	15.0	4.40879				
4f^11(^4I°_13/2)6p_3/2	(^13/_2,^3/_2)	4	9.0	4.47035				
4f^11(^4I°_13/2)6p_3/2	(^13/_2,^3/_2)	4	9.0	4.57305				
4f^11(^4I°_13/2)6p_3/2	(^13/_2,^3/_2)	5	11.0	4.60715				
4f^11(^4I°_13/2)6p_3/2	(^13/_2,^3/_2)	5	11.0	4.64928				
4f^11(^4I°_11/2)6p_3/2	(^11/_2,^3/_2)	7	15.0	4.68401			85	
4f^11(^4I°_11/2)6p_3/2	(^11/_2,^3/_2)	5	11.0	5.00063				
