Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^10	^5I	8	17.0	0.0000	0		93	L3974
4f^10	^5I	7	15.0	[0.626]			97	
4f^10	^5I	6	13.0	[1.060]			95	
4f^10	^5I	5	11.0	[1.377]			90	
4f^10	^5I	4	9.0	[1.634]			90	
4f^10	^5F	5	11.0	[1.906]			80	
4f^10	^5S	2	5.0	[2.271]			71	
4f^10	^5F	4	9.0	[2.288]			91	
4f^10	^5F	3	7.0	[2.543]			90	
4f^10	^5F	2	5.0	[2.599]			63	
4f^10	^3K2	8	17.0	[2.633]			56	
4f^10	^5G	6	13.0	[2.726]			82	
4f^10	^5F	1	3.0	[2.750]			80	
4f^10	^5F	5	11.0	[2.955]			43 | ^5G	
4f^10	^5G	4	9.0	[3.188]			58	
4f^10	^3K2	7	15.0	[3.227]			64	
4f^10	^5G	5	11.0	[3.415]			47	
4f^10	^5G	3	7.0	[3.56]			76	
4f^10	^3K2	6	13.0	[3.710]			74	
4f^10	^5G	2	5.0	[3.803]			51	
