Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^116s^2	^4I°	^15/_2	16.0	0.000000	0	1.19514	97	L3974
4f^116s^2	^4I°	^13/_2	14.0	0.671957			99	L3974
4f^10(^5I_8)5d_3/26s^2	(8,^3/_2)	^17/_2	18.0	1.038852			or	L3974
4f^10(^5I_8)5d_3/26s^2	(8,^3/_2)	^15/_2	16.0	1.044828			or	L3974
4f^116s^2	^4I°	^11/_2	12.0	1.066904		1.012	86	L3974
4f^10(^5I_8)5d_3/26s^2	(8,^3/_2)	^13/_2	14.0	1.134093			or	L3974
4f^10(^5I_8)5d_3/26s^2	(8,^3/_2)	^19/_2	20.0	1.207792			or	L3974
4f^116s^2	^4I°	^9/_2	10.0	1.326104		0.866	61	L3974
4f^10(^5I_8)5d_5/26s^2	(8,^5/_2)	^21/_2	22.0	1.403788			or	L3974
4f^10(^5I_8)5d_5/26s^2	(8,^5/_2)	^17/_2	18.0	1.429607			or	L3974
4f^10(^5I_8)5d_5/26s^2	(8,^5/_2)	^19/_2	20.0	1.449347			or	L3974
4f^10(^5I_8)5d_5/26s^2	(8,^5/_2)	^15/_2	16.0	1.529846			or	L3974
4f^10(^5I_7)5d_3/26s^2	(7,^3/_2)	^13/_2	14.0	1.530529			or	L3974
4f^10(^5I_7)5d_3/26s^2	(7,^3/_2)	^11/_2	12.0	1.622077			or	L3974
4f^116s^2	^4F°	^9/_2	10.0	1.623501				L11686
4f^10(^5I)5d6s^2		^13/_2	14.0	1.869821				L3974
4f^10(^5I_7)5d_3/26s^2	(7,^3/_2)	^17/_2	18.0	1.875919			or	L3974
4f^10(^5I_7)5d_3/26s^2	(7,^3/_2)	^15/_2	16.0	1.876632			or	L3974
4f^10(^5I)5d6s^2		^11/_2	12.0	1.957975				L3974
4f^11(^4I°_15/2)6s6p(^3P°_0)	(^15/_2,0)	^15/_2	16.0	1.965804			or	L3974
4f^105d6s^2		^15/_2	16.0	2.002867			62	L3974
4f^10(^5I_7)5d_5/26s^2	(7,^5/_2)	^17/_2	18.0	2.038053			or	L3974
4f^10(^5I_7)5d_5/26s^2	(7,^5/_2)	^19/_2	20.0	2.068493			or	L3974
4f^11(^4I°_15/2)6s6p(^3P°_1)	(^15/_2,1)	^17/_2	18.0	2.071754			or	L3974
4f^10(^5I_6)5d_3/26s^2	(6,^3/_2)	^9/_2	10.0	2.072969			or	L3974
4f^105d6s^2		^13/_2	14.0	2.074993			70	L3974
4f^11(^4I°_15/2)6s6p(^3P°_1)	(^15/_2,1)	^15/_2	16.0	2.093136			or	L3974
4f^10(^5I_8)5d_5/26s^2	(8,^5/_2)	^11/_2	12.0	2.099974			or	L3974
4f^11(^4I°_15/2)6s6p(^3P°_1)	(^15/_2,1)	^13/_2	14.0	2.115090				L3974
4f^11(^4I°_15/2)6s6p(^3P°_2)	(^15/_2,2)	^19/_2	20.0	2.217280			or	L3974
4f^11(^4I°_15/2)6s6p(^3P°_2)	(^15/_2,2)	^17/_2	18.0	2.273597			or	L3974
4f^105d6s^2		^11/_2	12.0	2.292618			85	L3974
4f^10(^5I_6)5d_3/26s^2	(6,^3/_2)	^13/_2	14.0	2.301754			or	L3974
4f^10(^5I_8)6s^26p_1/2	(8,^1/_2)°	^15/_2	16.0	2.302669			or	L3974
4f^11(^4I°_15/2)6s6p(^3P°_2)	(^15/_2,2)	^15/_2	16.0	2.312495				L3974
4f^10(^5I_8)6s^26p_1/2	(8,^1/_2)°	^17/_2	18.0	2.323190			or	L3974
4f^10(^5I_6)5d_3/26s^2	(6,^3/_2)	^15/_2	16.0	2.325475		1.03	or	L3974
4f^10(^5I)5d6s^2		^9/_2	10.0	2.325679				L3974
4f^11(^4I°_15/2)6s6p(^3P°_2)	(^15/_2,2)	^11/_2	12.0	2.333538			or	L3974
4f^11(^4I°_15/2)6s6p(^3P°_2)	(^15/_2,2)	^13/_2	14.0	2.338118			or	L3974
4f^11(^4I°)5d6s(^3D)	^6G°	^13/_2	14.0	2.339259			82	L3974
4f^11(^4I°)5d6s(^3D)	^6H°	^15/_2	16.0	2.390036			82	L3974
4f^11(^4I°)5d6s(^3D)	°	^11/_2	12.0	2.487217			37 | ^4G°	L3974
4f^10(^5I_6)5d_5/26s^2	(6,^5/_2)	^15/_2	16.0	2.488969			or	L3974
4f^11(^4I°)5d6s(^3D)	°	^19/_2	20.0	2.495089			37 | ^6L°	L3974
