Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^105s	^2S	^1/_2	2.0	0.00000	0	L3466		L3466
4d^105p	^2P°	^1/_2	2.0	7.08955				
4d^105p	^2P°	^3/_2	4.0	7.62790				
4d^95s^2	^2D	^5/_2	6.0	14.32869				
4d^95s^2	^2D	^3/_2	4.0	15.17750				
4d^106s	^2S	^1/_2	2.0	15.73040				
4d^105d	^2D	^3/_2	4.0	15.92612				
4d^105d	^2D	^5/_2	6.0	15.96204				
4d^106p	^2P°	^1/_2	2.0	17.92608				
4d^106p	^2P°	^3/_2	4.0	18.09210				
4d^95s(^3D)5p	^4P°	^5/_2	6.0	19.6922?				
4d^104f	^2F°	^5/_2	6.0	20.08157				
4d^104f	^2F°	^3/_2	4.0	20.08256				
4d^95s(^3D)5p	^4P°	^3/_2	4.0	20.7832?				
4d^107s	^2S	^1/_2	2.0	21.00662				
4d^106d	^2D	^3/_2	4.0	21.14325				
4d^106d	^2D	^5/_2	6.0	21.16600				
4d^95s(^3D)5p	^4P°	^1/_2	2.0	21.29657?				
4d^107p	^2P°	^1/_2	2.0	22.38555?				
4d^107p	^2P°	^3/_2	4.0	22.45985?				
4d^105g	^2G	^7/_2,^9/_2	18.0	23.12578				
4d^108s	^2S	^1/_2	2.0	23.47884				
4d^107d	^2D	^3/_2	4.0	23.56115				
4d^107d	^2D	^5/_2	6.0	23.57335				
4d^106g	^2G	^7/_2,^9/_2	18.0	24.62920				
4d^109s	^2S	^1/_2	2.0	24.93930?				
4d^107g	^2G	^7/_2,^9/_2	18.0	25.53595				
