Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5s^2	^1S	0	1.0	0.0000000000000	0.0000000000000		98	L18318
5s5p	^3P°	0	1.0	5.2415553834603	0.0000000000010	-0.000987	100	L18318
5s5p	^3P°	1	3.0	5.37478712	0.00000019		99	L18318
5s5p	^3P°	2	5.0	5.6821036	0.0000007		100	L18318
5s5p	^1P°	1	3.0	7.8157836	0.0000012		98	L18318
5s6s	^3S	1	3.0	11.6450775	0.0000006		100	L18318
5s6s	^1S	0	1.0	12.0302131	0.0000015		99	L18318
5s5d	^1D	2	5.0	12.1043834	0.0000011		67	L18318
5p^2	^3P	0	1.0	12.597794	0.000025		97	L18318
5s5d	^3D	1	3.0	12.657388	0.000005		100	L18318
5s5d	^3D	2	5.0	12.668047	0.000004		100	L18318
5s5d	^3D	3	7.0	12.6846246	0.0000025		100	L18318
5p^2	^3P	1	3.0	12.801293	0.000024		100	L18318
5p^2	^3P	2	5.0	13.0884270	0.0000015		96	L18318
5s6p	^3P°	0	1.0	13.3484744	0.0000007		100	L18318
5s6p	^3P°	1	3.0	13.3707029	0.0000007		96	L18318
5s6p	^3P°	2	5.0	13.4436484	0.0000007		100	L18318
5s6p	^1P°	1	3.0	13.6110127	0.0000010		94	L18318
5p^2	^1D	2	5.0	14.1199304	0.0000014		58	L18318
5p^2	^1S	0	1.0	15.037985	0.000004		56	L18318
5s7s	^3S	1	3.0	15.0569561	0.0000015		100	L18318
5s7s	^1S	0	1.0	15.2962837	0.0000022		57	L18318
5s4f	^3F°	2	5.0	15.329772	0.000004		100	L18318
5s4f	^3F°	3	7.0	15.330410	0.000003		100	L18318
5s4f	^3F°	4	9.0	15.332487	0.000004		100	L18318
5s4f	^1F°	3	7.0	15.3367424	0.0000012		100	L18318
5s6d	^3D	1	3.0	15.4661273	0.0000007		100	L18318
5s6d	^3D	2	5.0	15.4703409	0.0000007		100	L18318
5s6d	^3D	3	7.0	15.4769693	0.0000010		100	L18318
5s6d	^1D	2	5.0	15.7051956	0.0000010		88	L18318
5s7p	^3P°	0	1.0	15.737671	0.000003		100	L18318
5s7p	^3P°	1	3.0	15.7453596	0.0000014		91	L18318
5s7p	^3P°	2	5.0	15.7774935	0.0000009		100	L18318
5s7p	^1P°	1	3.0	15.8170757	0.0000012		90	L18318
5s8s	^3S	1	3.0	16.4988886	0.0000009		100	L18318
5s8s	^1S	0	1.0	16.5586330	0.0000017		98	L18318
5s5f	^3F°	2	5.0	16.606535	0.000005		100	L18318
5s5f	^3F°	3	7.0	16.607029	0.000007		100	L18318
5s5f	^3F°	4	9.0	16.609031	0.000004		100	L18318
5s5f	^1F°	3	7.0	16.612004	0.000007		100	L18318
5s_1/2,F=45g			7.0	16.677391	0.000007			L18318
5s_1/2,F=55g			11.0	16.677876	0.000007			L18318
