Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^10	^1S	0	1.0	0.0000	0	L3466		L3466
4d^95s	^3D	3	7.0	15.9673				
4d^95s	^3D	2	5.0	16.2396				
4d^95s	^3D	1	3.0	16.8486				
4d^95s	^1D	2	5.0	17.2045				
4d^95p	^3P°	2	5.0	24.0534				
4d^95p	^3F°	3	7.0	24.3884				
4d^95p	^3P°	1	3.0	24.8789				
4d^95p	^3F°	4	9.0	24.9404				
4d^95p	^3D°	2	5.0	25.0608				
4d^95p	^3P°	0	1.0	25.4238				
4d^95p	^3F°	2	5.0	25.4610				
4d^95p	^3D°	3	7.0	25.5349				
4d^95p	^1P°	1	3.0	25.8758				
4d^95p	^1F°	3	7.0	26.0225				
4d^95p	^3D°	1	3.0	26.2413				
4d^95p	^1D°	2	5.0	26.3820				
