Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5s^25p	^2P°	^1/_2	2.0	0.0000000	0	L4218		L4218
5s^25p	^2P°	^3/_2	4.0	0.2743273	0.0000010	L15947		L15947
5s^26s	^2S	^1/_2	2.0	3.0218615	0.0000007	L15947		L15947
5s^26p	^2P°	^1/_2	2.0	3.9448030	0.0000006	L10358		L10358
5s^26p	^2P°	^3/_2	4.0	3.9817837	0.0000006	L10358		L10358
5s^25d	^2D	^3/_2	4.0	4.0781168	0.0000006	L10358		L10358
5s^25d	^2D	^5/_2	6.0	4.0810067	0.0000006	L10358		L10358
5s5p^2	^4P	^1/_2	2.0	4.33667937	0.00000025	L9805		L9805
5s5p^2	^4P	^3/_2	4.0	4.46600754	0.00000025	L9805		L9805
5s^27s	^2S	^1/_2	2.0	4.5008575	0.0000006	L10358		L10358
5s5p^2	^4P	^5/_2	6.0	4.64345149	0.00000025	L9805		L9805
5s^27p	^2P°	^1/_2	2.0	4.818203	0.000004	L4218		L4218
5s^27p	^2P°	^3/_2	4.0	4.832024	0.000004	L4218		L4218
5s^26d	^2D	^3/_2	4.0	4.841401	0.000004	L4218		L4218
5s^26d	^2D	^5/_2	6.0	4.847581	0.000004	L4218		L4218
5s^24f	^2F°	^7/_2	8.0	4.923114	0.000004	L4218		L4218
5s^24f	^2F°	^5/_2	6.0	4.923114	0.000004	L4218		L4218
5s^28s	^2S	^1/_2	2.0	5.038343	0.000004	L10358		L10358
5s^28p	^2P°	^1/_2	2.0	5.18590	0.00003	L3466		L3466
5s^27d	^2D	^3/_2	4.0	5.187054	0.000010	L4218		L4218
5s^27d	^2D	^5/_2	6.0	5.190222	0.000010	L4218		L4218
5s^28p	^2P°	^3/_2	4.0	5.19264	0.00003	L3466		L3466
5s^25f	^2F°	^5/_2,^7/_2	14.0	5.234644	0.000005	L4218		L4218
5s^29s	^2S	^1/_2	2.0	5.296483	0.000012	L4218		L4218
5s^28d	^2D	^3/_2	4.0	5.372971	0.000005	L4218		L4218
5s^28d	^2D	^5/_2	6.0	5.375345	0.000005	L4218		L4218
5s^29p	^2P°	^1/_2	2.0	5.37708	0.00003	L3466		L3466
5s^29p	^2P°	^3/_2	4.0	5.38086	0.00003	L3466		L3466
5s^26f	^2F°	^5/_2,^7/_2	14.0	5.403809	0.000004	L4218		L4218
5s^210s	^2S	^1/_2	2.0	5.440583	0.000025	L4218		L4218
5s^29d	^2D	^3/_2	4.0	5.484404	0.000012	L4218		L4218
5s^29d	^2D	^5/_2	6.0	5.486272	0.000006	L4218		L4218
5s^210p	^2P°	^1/_2	2.0	5.48942	0.00003	L3466		L3466
5s^210p	^2P°	^3/_2	4.0	5.49177	0.00003	L3466		L3466
5s^27f	^2F°	^7/_2	8.0	5.505681	0.000004	L4218		L4218
5s^27f	^2F°	^5/_2	6.0	5.505681	0.000004	L4218		L4218
5s^211s	^2S	^1/_2	2.0	5.52918	0.00003	L3466		L3466
5s^210d	^2D	^3/_2	4.0	5.55636	0.00003	L3466		L3466
5s^210d	^2D	^5/_2	6.0	5.55784	0.00003	L3466		L3466
5s^211p	^2P°	^1/_2	2.0	[5.56109]	0.00003	L3466		L3466
5s^211p	^2P°	^3/_2	4.0	5.56265	0.00003	L3466		L3466
5s^28f	^2F°	^5/_2	6.0	5.571702	0.000007	L4218		L4218
5s^28f	^2F°	^7/_2	8.0	5.571702	0.000007	L4218		L4218
5s^212s	^2S	^1/_2	2.0	5.58762	0.00003	L3466		L3466
5s^211d	^2D	^3/_2	4.0	5.60551	0.00003	L3466		L3466
5s^211d	^2D	^5/_2	6.0	5.60670	0.00003	L3466		L3466
5s^29f	^2F°	^7/_2	8.0	5.61689	0.00003	L3466		L3466
5s^29f	^2F°	^5/_2	6.0	5.61690	0.00003	L3466		L3466
5s^213s	^2S	^1/_2	2.0	5.62815	0.00003	L3466		L3466
5s^212d	^2D	^3/_2	4.0	5.64053	0.00003	L3466		L3466
5s^212d	^2D	^5/_2	6.0	5.64153	0.00003	L3466		L3466
5s^210f	^2F°	^7/_2	8.0	5.64920	0.00003	L3466		L3466
5s^210f	^2F°	^5/_2	6.0	5.64922	0.00003	L3466		L3466
5s^214s	^2S	^1/_2	2.0	5.65745	0.00003	L3466		L3466
5s^213d	^2D	^3/_2	4.0	5.66634	0.00003	L3466		L3466
5s^213d	^2D	^5/_2	6.0	5.66720	0.00003	L3466		L3466
5s^211f	^2F°	^5/_2	6.0	5.67308	0.00003	L3466		L3466
5s^211f	^2F°	^7/_2	8.0	5.67309	0.00003	L3466		L3466
5s^215s	^2S	^1/_2	2.0	5.67933	0.00003	L3466		L3466
5s^214d	^2D	^3/_2	4.0	5.68583	0.00003	L3466		L3466
5s^214d	^2D	^5/_2	6.0	5.68657	0.00003	L3466		L3466
5s^212f	^2F°	^7/_2	8.0	5.69124	0.00003	L3466		L3466
5s^212f	^2F°	^5/_2	6.0	5.69124	0.00003	L3466		L3466
5s^216s	^2S	^1/_2	2.0	5.6961	0.0003	L3466		L3466
5s^215d	^2D	^3/_2	4.0	5.7004651	0.0000012	L14506		L14506
5s^215d	^2D	^5/_2	6.0	5.7011313	0.0000012	L14506		L14506
5s^217s	^2S	^1/_2	2.0	5.7091	0.0003	L3466		L3466
5s^216d	^2D	^3/_2	4.0	5.7126414	0.0000012	L14506		L14506
5s^216d	^2D	^5/_2	6.0	5.7131736	0.0000012	L14506		L14506
5s^218s	^2S	^1/_2	2.0	5.7196	0.0003	L3466		L3466
5s^217d	^2D	^3/_2	4.0	5.7229622	0.0000012	L14506		L14506
5s^217d	^2D	^5/_2	6.0	5.7232600	0.0000012	L14506		L14506
5s^219s	^2S	^1/_2	2.0	5.7281	0.0003	L3466		L3466
5s^218d	^2D	^3/_2	4.0	5.7307252	0.0000012	L14506		L14506
5s^218d	^2D	^5/_2	6.0	5.7309577	0.0000012	L14506		L14506
5s^220s	^2S	^1/_2	2.0	5.7350	0.0003	L3466		L3466
5s^219d	^2D	^3/_2	4.0	5.7369269	0.0000012	L14506		L14506
5s^219d	^2D	^5/_2	6.0	5.7372322	0.0000012	L14506		L14506
5s^221s	^2S	^1/_2	2.0	5.7407	0.0003	L3466		L3466
5s^220d	^2D	^3/_2	4.0	5.7423684	0.0000012	L14506		L14506
5s^220d	^2D	^5/_2	6.0	5.7426267	0.0000012	L14506		L14506
5s^222s	^2S	^1/_2	2.0	5.7457	0.0003	L3466		L3466
5s^221d	^2D	^3/_2	4.0	5.7469714	0.0000012	L14506		L14506
5s^221d	^2D	^5/_2	6.0	5.7471978	0.0000012	L14506		L14506
5s^223s	^2S	^1/_2	2.0	5.7498	0.0003	L3466		L3466
5s^222d	^2D	^3/_2	4.0	5.7508986	0.0000012	L14506		L14506
5s^222d	^2D	^5/_2	6.0	5.7510927	0.0000012	L14506		L14506
5s^224s	^2S	^1/_2	2.0	5.7532	0.0003	L3466		L3466
5s^223d	^2D	^3/_2	4.0	5.7542410	0.0000012	L14506		L14506
5s^223d	^2D	^5/_2	6.0	5.7544066	0.0000012	L14506		L14506
5s^224d	^2D	^3/_2	4.0	5.7571460	0.0000012	L14506		L14506
5s^224d	^2D	^5/_2	6.0	5.7572887	0.0000012	L14506		L14506
5s^225d	^2D	^3/_2	4.0	5.7597063	0.0000012	L14506		L14506
5s^225d	^2D	^5/_2	6.0	5.7598176	0.0000012	L14506		L14506
5s^226d	^2D	^3/_2	4.0	5.7619152	0.0000012	L14506		L14506
5s^226d	^2D	^5/_2	6.0	5.7620147	0.0000012	L14506		L14506
5s^227d	^2D	^3/_2	4.0	5.7638579	0.0000012	L14506		L14506
5s^227d	^2D	^5/_2	6.0	5.7639459	0.0000012	L14506		L14506
5s^228d	^2D	^3/_2	4.0	5.7655800	0.0000012	L14506		L14506
5s^228d	^2D	^5/_2	6.0	5.7656568	0.0000012	L14506		L14506
5s^229d	^2D	^3/_2	4.0	5.7671091	0.0000012	L14506		L14506
5s^229d	^2D	^5/_2	6.0	5.7671795	0.0000012	L14506		L14506
