Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2s^22p^6	^1S	0	1.0	0.0000	0			L4995
2s^22p^53s	^3P°	2	5.0	52.77267			100	
2s^22p^53s	^3P°	1	3.0	52.92490			95	
2s^22p^53s	^3P°	0	1.0	53.04690			100	
2s^22p^53s	^1P°	1	3.0	53.50290			95	
2s^22p^53p	^3S	1	3.0	57.94755			99	
2s^22p^53p	^3D	3	7.0	58.77511			100	
2s^22p^53p	^3D	2	5.0	58.84972			89	
2s^22p^53p	^3D	1	3.0	58.95485			91	
2s^22p^53p	^1D	2	5.0	59.19448			61	
2s^22p^53p	^1P	1	3.0	59.31088			61	
2s^22p^53p	^3P	2	5.0	59.36935			62	
2s^22p^53p	^3P	0	1.0	59.42132			100	
2s^22p^53p	^3P	1	3.0	59.44497			65	
2s^22p^53p	^1S	0	1.0	61.49766			100	
2s^22p^53d	^3P°	0	1.0	65.73372			100	
2s^22p^53d	^3P°	1	3.0	65.76377			98	
2s^22p^53d	^3P°	2	5.0	65.83101			93	
2s^22p^53d	^3F°	4	9.0	65.90541			100	
2s^22p^53d	^3F°	3	7.0	65.93890			68	
2s^22p^53d	^3F°	2	5.0	66.04957			77	
2s^22p^53d	^1F°	3	7.0	66.08001			52	
2s^22p^53d	^3D°	1	3.0	66.23207			60	
2s^22p^53d	^1D°	2	5.0	66.30389			46	
2s^22p^53d	^3D°	3	7.0	66.32207			70	
2s^22p^53d	^3D°	2	5.0	66.35381			56	
2s^22p^53d	^1P°	1	3.0	66.47438			59	
2s^22p^5(^2P°_3/2)4s	^2[^3/_2]°	2	5.0	67.67310			100 | ^3P°	
2s^22p^5(^2P°_3/2)4s	^2[^3/_2]°	1	3.0	67.76128			65 | ^3P°	
2s^22p^5(^2P°_1/2)4s	^2[^1/_2]°	0	1.0	67.94761			100 | ^3P°	
2s^22p^5(^2P°_1/2)4s	^2[^1/_2]°	1	3.0	68.03270			65 | ^1P°	
2s^22p^5(^2P°_3/2)4p	^2[^1/_2]	1	3.0	69.42955			87	
2s^22p^5(^2P°_3/2)4p	^2[^5/_2]	3	7.0	69.65416			100	
2s^22p^5(^2P°_3/2)4p	^2[^5/_2]	2	5.0	69.69599			82	
2s^22p^5(^2P°_3/2)4p	^2[^3/_2]	1	3.0	69.75775			91	
2s^22p^5(^2P°_3/2)4p	^2[^3/_2]	2	5.0	69.79560			84	
2s^22p^5(^2P°_1/2)4p	^2[^3/_2]	1	3.0	69.96302			91	
2s^22p^5(^2P°_3/2)4p	^2[^1/_2]	0	1.0	69.96428			51	
2s^22p^5(^2P°_1/2)4p	^2[^3/_2]	2	5.0	70.00949			95	
2s^22p^5(^2P°_1/2)4p	^2[^1/_2]	1	3.0	70.01779			87	
2s^22p^5(^2P°_1/2)4p	^2[^1/_2]	0	1.0	70.68498			51	
2s^22p^5(^2P°_3/2)4d	^2[^1/_2]°	0	1.0	72.10518				
2s^22p^5(^2P°_3/2)4d	^2[^1/_2]°	1	3.0	72.12591				
2s^22p^5(^2P°_3/2)4d	^2[^3/_2]°	2	5.0	72.16803				
2s^22p^5(^2P°_3/2)4d	^2[^7/_2]°	4	9.0	72.17552				
2s^22p^5(^2P°_3/2)4d	^2[^7/_2]°	3	7.0	72.19477				
2s^22p^5(^2P°_3/2)4d	^2[^5/_2]°	2	5.0	72.25146				
2s^22p^5(^2P°_3/2)4d	^2[^5/_2]°	3	7.0	72.26291				
2s^22p^5(^2P°_3/2)4d	^2[^3/_2]°	1	3.0	72.33864				
2s^22p^5(^2P°_3/2)4f	^2[^3/_2]	1	3.0	72.44963				
2s^22p^5(^2P°_3/2)4f	^2[^3/_2]	2	5.0	72.45067				
2s^22p^5(^2P°_3/2)4f	^2[^9/_2]	5	11.0	72.46410				
2s^22p^5(^2P°_3/2)4f	^2[^9/_2]	4	9.0	72.46424				
2s^22p^5(^2P°_3/2)4f	^2[^5/_2]	3	7.0	72.47669				
2s^22p^5(^2P°_3/2)4f	^2[^5/_2]	2	5.0	72.47758				
2s^22p^5(^2P°_1/2)4d	^2[^5/_2]°	2	5.0	72.48470				
2s^22p^5(^2P°_3/2)4f	^2[^7/_2]	3	7.0	72.49206				
2s^22p^5(^2P°_3/2)4f	^2[^7/_2]	4	9.0	72.49222				
2s^22p^5(^2P°_1/2)4d	^2[^5/_2]°	3	7.0	72.49770				
2s^22p^5(^2P°_1/2)4d	^2[^3/_2]°	2	5.0	72.49826				
2s^22p^5(^2P°_1/2)4d	^2[^3/_2]°	1	3.0	72.58856				
2s^22p^5(^2P°_1/2)4f	^2[^7/_2]	3	7.0	72.75119				
2s^22p^5(^2P°_1/2)4f	^2[^7/_2]	4	9.0	72.75139				
2s^22p^5(^2P°_1/2)4f	^2[^5/_2]	3	7.0	72.75208				
2s^22p^5(^2P°_1/2)4f	^2[^5/_2]	2	5.0	72.75289				
2s^22p^5(^2P°_3/2)5s	^2[^3/_2]°	2	5.0	72.99804			100 | ^3P°	
2s^22p^5(^2P°_3/2)5s	^2[^3/_2]°	1	3.0	73.04241			53 | ^1P°	
2s^22p^5(^2P°_1/2)5s	^2[^1/_2]°	0	1.0	73.27270			100 | ^3P°	
2s^22p^5(^2P°_1/2)5s	^2[^1/_2]°	1	3.0	73.30202			53 | ^3P°	
2s^22p^5(^2P°_3/2)5d	^2[^1/_2]°	1	3.0	75.0546				
2s^22p^5(^2P°_3/2)5d	^2[^3/_2]°	1	3.0	75.1652				
2s^22p^5(^2P°_3/2)5f	^2[^3/_2]	1	3.0	75.22284				
2s^22p^5(^2P°_3/2)5f	^2[^3/_2]	2	5.0	75.22362				
2s^22p^5(^2P°_3/2)5f	^2[^9/_2]	5	11.0	75.23045				
