Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2p^63s	^2S	^1/_2	2.0	0.000000	0			L4995
2p^63p	^2P°	^1/_2	2.0	4.422431				
2p^63p	^2P°	^3/_2	4.0	4.433784				
2p^64s	^2S	^1/_2	2.0	8.654711				
2p^63d	^2D	^5/_2	6.0	8.863654				
2p^63d	^2D	^3/_2	4.0	8.863762				
2p^64p	^2P°	^1/_2	2.0	9.995544				
2p^64p	^2P°	^3/_2	4.0	9.999328				
2p^65s	^2S	^1/_2	2.0	11.504557				
2p^64d	^2D	^5/_2	6.0	11.569039				
2p^64d	^2D	^3/_2	4.0	11.569103				
2p^64f	^2F°	^5/_2	6.0	11.629672				
2p^64f	^2F°	^7/_2	8.0	11.629687				
2p^65p	^2P°	^1/_2	2.0	12.082895				
2p^65p	^2P°	^3/_2	4.0	12.084606				
2p^66s	^2S	^1/_2	2.0	12.794766				
2p^65d	^2D	^5/_2	6.0	12.822409				
2p^65d	^2D	^3/_2	4.0	12.822446				
2p^65f	^2F°	^5/_2	6.0	12.855904				
2p^65f	^2F°	^7/_2	8.0	12.855912				
2p^65g	^2G	^7/_2	8.0	12.857863				
2p^65g	^2G	^9/_2	10.0	12.857863				
2p^66p	^2P°	^1/_2	2.0	13.095501				
2p^66p	^2P°	^3/_2	4.0	13.096416				
2p^67s	^2S	^1/_2	2.0	13.487538				
2p^66d	^2D	^5/_2	6.0	13.501882				
2p^66d	^2D	^3/_2	4.0	13.501904				
2p^66f	^2F°	^5/_2	6.0	13.522004				
2p^66f	^2F°	^7/_2	8.0	13.522008				
2p^66g	^2G	^7/_2	8.0	13.523211				
2p^66g	^2G	^9/_2	10.0	13.523211				
2p^66h	^2H°	^9/_2	10.0	13.523449				
2p^66h	^2H°	^11/_2	12.0	13.523449				
2p^67p	^2P°	^1/_2	2.0	13.663503				
2p^67p	^2P°	^3/_2	4.0	13.664049				
2p^68s	^2S	^1/_2	2.0	13.902249				
2p^67d	^2D	^5/_2	6.0	13.910661				
2p^67d	^2D	^3/_2	4.0	13.910676				
2p^67f	^2F°	^5/_2	6.0	13.923608				
2p^67f	^2F°	^7/_2	8.0	13.923608				
2p^67g	^2G	^7/_2	8.0	13.924391				
2p^67g	^2G	^9/_2	10.0	13.924391				
2p^67h	^2H°	^9/_2	10.0	13.924549				
2p^67h	^2H°	^11/_2	12.0	13.924549				
2p^67i	^2I	^9/_2 or ^11/_2 or ^13/_2	10.0	13.924597				
2p^68p	^2P°	^1/_2	2.0	14.013965				
2p^68p	^2P°	^3/_2	4.0	14.014317				
2p^69s	^2S	^1/_2	2.0	14.170075				
2p^68d	^2D	^5/_2	6.0	14.175446				
2p^68d	^2D	^3/_2	4.0	14.175453				
2p^68f	^2F°	^5/_2	6.0	14.184232				
2p^68f	^2F°	^7/_2	8.0	14.184232				
2p^68g	^2G	^7/_2	8.0	14.184769				
2p^68g	^2G	^9/_2	10.0	14.184769				
2p^68h	^2H°	^9/_2	10.0	14.184876				
2p^68h	^2H°	^11/_2	12.0	14.184876				
2p^68i	^2I	^9/_2 or ^11/_2 or ^13/_2	10.0	14.184911				
2p^69p	^2P°	^1/_2	2.0	14.245386				
2p^69p	^2P°	^3/_2	4.0	14.245626				
2p^610s	^2S	^1/_2	2.0	14.353029				
2p^69d	^2D	^5/_2	6.0	14.356675				
2p^69d	^2D	^3/_2	4.0	14.356681				
2p^69f	^2F°	^5/_2	6.0	14.362900				
2p^69f	^2F°	^7/_2	8.0	14.362900				
2p^69g	^2G	^7/_2	8.0	14.363281				
2p^69g	^2G	^9/_2	10.0	14.363281				
2p^69h	^2H°	^9/_2	10.0	14.363356				
2p^69h	^2H°	^11/_2	12.0	14.363356				
2p^69i	^2I	^9/_2 or ^11/_2 or ^13/_2	10.0	14.363385				
2p^610p	^2P°	^1/_2	2.0	[14.40618]				
2p^610p	^2P°	^3/_2	4.0	[14.40636]				
2p^610d	^2D	^5/_2	6.0	14.486122				
2p^610d	^2D	^3/_2	4.0	14.486125				
2p^610f	^2F°	^5/_2	6.0	14.490684				
2p^610f	^2F°	^7/_2	8.0	14.490684				
2p^610g	^2G	^7/_2	8.0	14.490968				
2p^610g	^2G	^9/_2	10.0	14.490968				
2p^610h	^2H°	^9/_2	10.0	14.491030				
2p^610h	^2H°	^11/_2	12.0	14.491030				
2p^610i	^2I	^9/_2 or ^11/_2 or ^13/_2	10.0	14.491041				
2p^611g	^2G	^7/_2	8.0	14.585440				
2p^611g	^2G	^9/_2	10.0	14.585440				
