Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2s^22p^5	^2P°	^3/_2	4.0	0.0000	0			L4995
2s^22p^5	^2P°	^1/_2	2.0	0.2762				
2s2p^6	^2S	^1/_2	2.0	38.6250			99	
2s^22p^4(^3P)3s	^4P	^5/_2	6.0	67.41274			100	
2s^22p^4(^3P)3s	^4P	^3/_2	4.0	67.58845			99	
2s^22p^4(^3P)3s	^4P	^1/_2	2.0	67.68984			100	
2s^22p^4(^3P)3s	^2P	^3/_2	4.0	68.64585			99	
2s^22p^4(^3P)3s	^2P	^1/_2	2.0	68.85362			100	
2s^22p^4(^1D)3s	^2D	^5/_2	6.0	72.22853			100	
2s^22p^4(^1D)3s	^2D	^3/_2	4.0	72.23052			100	
2s^22p^4(^3P)3p	^4P°	^5/_2	6.0	73.95928			99	
2s^22p^4(^3P)3p	^4P°	^3/_2	4.0	74.02671			99	
2s^22p^4(^3P)3p	^4P°	^1/_2	2.0	74.09092			100	
2s^22p^4(^3P)3p	^4D°	^7/_2	8.0	74.77959			100	
2s^22p^4(^3P)3p	^4D°	^5/_2	6.0	74.88684			96	
2s^22p^4(^3P)3p	^4D°	^3/_2	4.0	74.96864			98	
2s^22p^4(^3P)3p	^4D°	^1/_2	2.0	75.01459			100	
2s^22p^4(^3P)3p	^2D°	^5/_2	6.0	75.36897			97	
2s^22p^4(^3P)3p	^2D°	^3/_2	4.0	75.54429			96	
2s^22p^4(^3P)3p	°	^1/_2	2.0	75.75226†			43 | ^2P°	
2s^22p^4(^3P)3p	^4S°	^3/_2	4.0	75.90714			93	
2s^22p^4(^3P)3p	^2P°	^3/_2	4.0	75.94052			69	
2s^22p^4(^3P)3p	°	^1/_2	2.0	75.99531†			58 | ^2S°	
2s^22p^4(^1S)3s	^2S	^1/_2	2.0	77.37973			99	
2s^22p^4(^1D)3p	^2F°	^5/_2	6.0	79.08700			100	
2s^22p^4(^1D)3p	^2F°	^7/_2	8.0	79.11592			100	
2s^22p^4(^1D)3p	^2D°	^3/_2	4.0	79.92560			99	
2s^22p^4(^1D)3p	^2D°	^5/_2	6.0	79.94332			100	
2s^22p^4(^1D)3p	^2P°	^3/_2	4.0	80.59737			76	
2s^22p^4(^1D)3p	^2P°	^1/_2	2.0	80.72536			75	
2s^22p^4(^3P)3d	^4D	^7/_2	8.0	83.16688			98	
2s^22p^4(^3P)3d	^4D	^5/_2	6.0	83.19697			97	
2s^22p^4(^3P)3d	^4D	^3/_2	4.0	83.23358			98	
2s^22p^4(^3P)3d	^4D	^1/_2	2.0	83.26399			99	
2s^22p^4(^3P)3d	^4F	^9/_2	10.0	83.73523			100	
2s^22p^4(^3P)3d	^4F	^7/_2	8.0	83.82265			79	
2s^22p^4(^3P)3d	^4F	^5/_2	6.0	83.91578			88	
2s^22p^4(^3P)3d	^4F	^3/_2	4.0	83.98242			97	
2s^22p^4(^3P)3d	^2F	^7/_2	8.0	83.99333			79	
2s^22p^4(^3P)3d	^4P	^1/_2	2.0	84.05881			99	
