Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2p^63s^2	^1S	0	1.0	0.0000000	0		93	L4995
3s3p	^3P°	0	1.0	2.7091049			98	
3s3p	^3P°	1	3.0	2.7115919			98	
3s3p	^3P°	2	5.0	2.7166398			98	
3s3p	^1P°	1	3.0	4.3458029			94	
3s4s	^3S	1	3.0	5.1078270			98	
3s4s	^1S	0	1.0	5.3937259			96	
3s3d	^1D	2	5.0	5.7532468			77	
3s4p	^3P°	0	1.0	5.9315428			99	
3s4p	^3P°	1	3.0	5.9319513			99	
3s4p	^3P°	2	5.0	5.9327880			99	
3s3d	^3D	2	5.0	5.9459136			98	
3s3d	^3D	3	7.0	5.9459158			98	
3s3d	^3D	1	3.0	5.9459174			98	
3s4p	^1P°	1	3.0	6.1182146			97	
3s5s	^3S	1	3.0	6.4313736			100	
3s5s	^1S	0	1.0	6.5161391			99	
3s4d	^1D	2	5.0	6.5878560			87	
3s4d	^3D	3	7.0	6.7189834			100	
3s4d	^3D	2	5.0	6.7189881			100	
3s4d	^3D	1	3.0	6.7189932			100	
3s5p	^3P°	0	1.0	6.7259951			100	
3s5p	^3P°	1	3.0	6.7261534			100	
3s5p	^3P°	2	5.0	6.7264807			100	
3s4f	^1F°	3	7.0	6.7790143				
3s4f	^3F°	2	5.0	6.7790411				
3s4f	^3F°	3	7.0	6.7790469				
3s4f	^3F°	4	9.0	6.7790536				
3s5p	^1P°	1	3.0	6.7827460			99	
3s6s	^3S	1	3.0	6.929700			100	
3s6s	^1S	0	1.0	6.9662844			99	
3s5d	^1D	2	5.0	6.9813495			93	
3s5d	^3D	3	7.0	7.0631588			100	
3s5d	^3D	2	5.0	7.0631626			100	
3s5d	^3D	1	3.0	7.0631654			100	
3s6p	^3P°	0	1.0	7.0692167			100	
3s6p	^3P°	1	3.0	7.0692968			100	
3s6p	^3P°	2	5.0	7.0694581			100	
3s5f	^1F°	3	7.0	7.0924123				
3s5f	^3F°	2	5.0	7.0924204				
3s5f	^3F°	3	7.0	7.0924252				
3s5f	^3F°	4	9.0	7.0924299				
3s6p	^1P°	1	3.0	7.0937549			99	
3s5g	^1G	4	9.0	7.0996774				
3s5g	^3G	3	7.0	7.0996774				
3s5g	^3G	4	9.0	7.0996774				
3p^2	^3P	0	1.0	7.167870				
3p^2	^3P	1	3.0	7.170428				
3s7s	^3S	1	3.0	7.1731323				
3p^2	^3P	2	5.0	7.175454				
3s7s	^1S	0	1.0	7.192250			100	
3s6d	^1D	2	5.0	7.1939656			96	
3s6d	^3D	3	7.0	7.2459890			100	
3s6d	^3D	2	5.0	7.2459903			100	
3s6d	^3D	1	3.0	7.2459929			100	
3s7p	^3P°	0	1.0	7.2501854			100	
3s7p	^3P°	1	3.0	7.2502265			100	
3s7p	^3P°	2	5.0	7.2503182			100	
3s6f	^1F°	3	7.0	7.2624336				
3s6f	^3F°	2	5.0	7.2624398				
3s6f	^3F°	3	7.0	7.2624398				
3s6f	^3F°	4	9.0	7.2624398				
3s7p	^1P°	1	3.0	7.263023			100	
3s6g	^1G	4	9.0	7.2668124				
3s6g	^3G	3	7.0	7.2668124				
3s6g	^3G	4	9.0	7.2668124				
3s6g	^3G	5	11.0	7.2668124				
