Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^4	^5D	0	1.0	0.000000	0		98	L10502
4d^4	^5D	1	3.0	0.030009			99	
4d^4	^5D	2	5.0	0.082851			99	
4d^4	^5D	3	7.0	0.151752			100	
4d^4	^5D	4	9.0	0.232137			99	
4d^4	^3P2	0	1.0	1.382325			58	
4d^4	^3P2	1	3.0	1.551083			62	
4d^4	^3H	4	9.0	1.572070			84	
4d^4	^3H	5	11.0	1.645953			93	
4d^4	^3H	6	13.0	1.712369			98	
4d^4	^3F2	2	5.0	1.726939			75	
4d^4	^3F2	3	7.0	1.729353			61	
4d^4	^3F2	4	9.0	1.772490			63	
4d^4	^3P2	2	5.0	1.780111			63	
4d^4	^3G	3	7.0	1.967778			79	
4d^4	^3G	4	9.0	2.018805			81	
4d^4	^3G	5	11.0	2.072319			93	
4d^4	^3D	3	7.0	2.416178			97	
4d^4	^3D	2	5.0	2.427196			89	
4d^4	^1I	6	13.0	2.515668			98	
4d^4	^1G2	4	9.0	2.555546			63	
4d^4	^1D2	2	5.0	2.827603			69	
4d^4	^1S2	0	1.0	2.850412			76	
4d^3(^4F)5s	^5F	1	3.0	4.019404			98	
4d^3(^4F)5s	^5F	2	5.0	4.072048			98	
4d^3(^4F)5s	^5F	3	7.0	4.147548			99	
4d^3(^4F)5s	^5F	4	9.0	4.243406			99	
4d^3(^4F)5s	^5F	5	11.0	4.355497			99	
4d^4	^1G1	4	9.0	4.483768			64	
4d^3(^4P)5s	^5P	1	3.0	5.257518			98	
4d^3(^4P)5s	^5P	2	5.0	5.272035			58	
4d^3(^4F)5s	^3F	2	5.0	5.289881			58	
4d^3(^4P)5s	^5P	3	7.0	5.388554			93	
4d^3(^4F)5s	^3F	3	7.0	5.400970			87	
4d^3(^4F)5s	^3F	4	9.0	5.536549			89	
4d^3(^2G)5s	^3G	3	7.0	5.740416			95	
4d^3(^2G)5s	^3G	4	9.0	5.777860			85	
4d^3(^2G)5s	^3G	5	11.0	5.822558			88	
4d^3(^2P)5s	^3P	2	5.0	6.086227			56	
4d^3(^2H)5s	^3H	4	9.0	6.142384			85	
4d^3(^2H)5s	^3H	5	11.0	6.238739			90	
4d^35s		1	3.0	6.244157			38 | ^3P	
4d^3(^2H)5s	^3H	6	13.0	6.258923			100	
