Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^5	a ^6S	^5/_2	6.0	0.000000	0			L10502
4d^4(^5D)5s	a ^6D	^1/_2	2.0	1.460950		3.301		
4d^4(^5D)5s	a ^6D	^3/_2	4.0	1.492033		1.847		
4d^4(^5D)5s	a ^6D	^5/_2	6.0	1.539547		1.635		
4d^4(^5D)5s	a ^6D	^7/_2	8.0	1.599437		1.584		
4d^4(^5D)5s	a ^6D	^9/_2	10.0	1.668914		1.543		
4d^5	a ^4G	^5/_2	6.0	1.884467		0.61		
4d^5	a ^4G	^7/_2	8.0	1.900747				
4d^5	a ^4G	^9/_2	10.0	1.912795				
4d^5	a ^4G	^11/_2	12.0	1.915180				
4d^5	a ^4P	^5/_2	6.0	1.945463		1.595		
4d^5	a ^4P	^3/_2	4.0	1.946448				
4d^5	a ^4P	^1/_2	2.0	1.970124				
4d^5	a ^4D	^1/_2	2.0	2.082456		0.758		
4d^5	a ^4D	^7/_2	8.0	2.101133		1.404		
4d^5	a ^4D	^3/_2	4.0	2.129317		1.391		
4d^5	a ^4D	^5/_2	6.0	2.150394		1.433		
4d^5	a ^2D	^5/_2	6.0	2.782746		1.082		
4d^5	a ^2D	^3/_2	4.0	2.834819		0.688		
4d^5	a ^2I	^11/_2	12.0	2.849216				
4d^5	a ^2I	^13/_2	14.0	2.882408				
4d^5	a ^4F	^9/_2	10.0	2.954898		1.300		
4d^5	a ^4F	^7/_2	8.0	2.957438		1.219		
4d^5	a ^4F	^5/_2	6.0	2.967482		1.018		
4d^5	a ^4F	^3/_2	4.0	2.992687		0.514		
4d^4(^5D)5s	b ^4D	^1/_2	2.0	3.021758		0.058		
4d^5	a ^2F	^7/_2	8.0	3.038766		1.130		
4d^4(^5D)5s	b ^4D	^3/_2	4.0	3.057351		1.194		
4d^5	a ^2F	^5/_2	6.0	3.079283		1.054		
4d^4(^5D)5s	b ^4D	^5/_2	6.0	3.113525		1.269		
4d^4(^5D)5s	b ^4D	^7/_2	8.0	3.141955		1.387		
4d^4(^3H)5s	a ^4H	^7/_2	8.0	3.228695		0.798		
4d^5	a ^2G	^9/_2	10.0	3.232094		1.065		
4d^5	a ^2G	^7/_2	8.0	3.273878		0.785		
4d^4(^3H)5s	a ^4H	^9/_2	10.0	3.284112		0.984		
4d^4(a ^3P)5s	b ^4P	^1/_2	2.0	3.298420		2.530		
4d^4(^3H)5s	a ^4H	^11/_2	12.0	3.315272		1.130		
4d^4(^3H)5s	a ^4H	^13/_2	14.0	3.361686		1.193		
4d^5	b ^2F	^7/_2	8.0	3.398444		1.148		
4d^5	a ^2H	^11/_2	12.0	3.425311		1.086		
4d^4(a ^3P)5s	b ^4P	^3/_2	4.0	3.425380		1.700		
4d^5	a ^2H	^9/_2	10.0	3.437423		0.987		
4d^5	b ^2F	^5/_2	6.0	3.456542		0.900		
4d^4(a ^3F)5s	b ^4F	^5/_2	6.0	3.580269		1.035		
4d^4(a ^3F)5s	b ^4F	^3/_2	4.0	3.581121		0.529		
4d^5	a ^2S	^1/_2	2.0	3.589387		1.968		
4d^4(a ^3F)5s	b ^4F	^7/_2	8.0	3.594173		1.135		
4d^4(a ^3P)5s	b ^4P	^5/_2	6.0	3.598284		1.574		
4d^4(a ^3F)5s	b ^4F	^9/_2	10.0	3.599778		1.278		
4d^4(^3G)5s	b ^4G	^5/_2	6.0	3.682246		0.758		
4d^4(^3G)5s	b ^4G	^7/_2	8.0	3.721926		1.059		
4d^4(^3G)5s	b ^4G	^9/_2	10.0	3.745992		1.192		
4d^4(^3G)5s	b ^4G	^11/_2	12.0	3.768038		1.268		
4d^4(a ^3P)5s	a ^2P	^1/_2	2.0	3.982873		0.672		
4d^5	b ^2D	^5/_2	6.0	4.076545		1.213		
4d^4(^3H)5s	b ^2H	^9/_2	10.0	4.097104		0.983		
4d^5	b ^2D	^3/_2	4.0	4.102176		0.889		
4d^4(a ^1G)5s	b ^2G	^7/_2	8.0	4.109617		0.904		
4d^4(a ^1G)5s	b ^2G	^9/_2	10.0	4.123028		1.043		
4d^4(^3D)5s	c ^4D	^3/_2	4.0	4.156590		1.230		
4d^4(^3D)5s	c ^4D	^7/_2	8.0	4.159581		1.406		
4d^4(^3H)5s	b ^2H	^11/_2	12.0	4.166002		1.057		
4d^4(^3D)5s	c ^4D	^5/_2	6.0	4.199310		1.323		
4d^4(^3D)5s	c ^4D	^1/_2	2.0	4.202452		0.021		
4d^4(a ^3P)5s	a ^2P	^3/_2	4.0	4.267444		1.175		
4d^4(^1I)5s	b ^2I	^13/_2	14.0	4.351778		1.053		
4d^4(^1I)5s	b ^2I	^11/_2	12.0	4.389787				
4d^4(a ^3F)5s	c ^2F	^5/_2	6.0	4.499238		0.913		
4d^4(a ^3F)5s	c ^2F	^7/_2	8.0	4.555341		1.065		
4d^4(^3G)5s	c ^2G	^7/_2	8.0	4.640908		0.927		
4d^4(^3G)5s	c ^2G	^9/_2	10.0	4.718080		1.105		
4d^4(a ^1D)5s	c ^2D	^3/_2	4.0	4.865568		0.800		
4d^4(a ^1D)5s	c ^2D	^5/_2	6.0	4.948575		1.203		
4d^4(^3D)5s	d ^2D	^5/_2	6.0	5.135592				
4d^4(^3D)5s	d ^2D	^3/_2	4.0	5.150552		0.761		
4d^4(a ^1S)5s	b ^2S	^1/_2	2.0	5.191672		1.993		
4d^5	d ^2G	^7/_2	8.0	5.228327				
4d^5	d ^2G	^9/_2	10.0	5.245352				
4d^4(^1F)5s	d ^2F	^5/_2	6.0	5.322064				
4d^4(^1F)5s	d ^2F	^7/_2	8.0	5.330351		1.085		
4d^4(b ^3F)5s	c ^4F	^9/_2	10.0	5.481609				
4d^4(^5D)5p	z ^6F°	^1/_2	2.0	5.685057		-0.650		
4d^4(^5D)5p	z ^6F°	^3/_2	4.0	5.721638		1.072		
4d^4(^5D)5p	z ^6F°	^5/_2	6.0	5.779417		1.305		
4d^4(^5D)5p	z ^4P°	^1/_2	2.0	5.853091		2.779		
4d^4(^5D)5p	z ^6F°	^7/_2	8.0	5.856019		1.375		
4d^4(^5D)5p	z ^6F°	^9/_2	10.0	5.951176		1.415		
4d^4(^5D)5p	z ^4P°	^3/_2	4.0	5.954025		1.818		
4d^4(^5D)5p	z ^4P°	^5/_2	6.0	6.057939		1.742		
4d^4(^5D)5p	z ^6F°	^11/_2	12.0	6.070227				
4d^4(^5D)5p	z ^6P°	^3/_2	4.0	6.080287		2.305		
4d^4(^5D)5p	z ^6P°	^7/_2	8.0	6.134867		1.672		
4d^4(^5D)5p	z ^6P°	^5/_2	6.0	6.150700		1.718		
4d^4(^5D)5p	z ^6D°	^1/_2	2.0	6.192943		3.155		
4d^4(^5D)5p	z ^6D°	^3/_2	4.0	6.223015		1.802		
4d^4(^5D)5p	z ^6D°	^7/_2	8.0	6.236720		1.552		
4d^4(^5D)5p	z ^6D°	^5/_2	6.0	6.270793		1.597		
4d^4(^5D)5p	z ^6D°	^9/_2	10.0	6.286683		1.502		
