Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^3	^4F	^3/_2	4.0	0.000000	0		99	L10502
4d^3	^4F	^5/_2	6.0	0.096462			100	
4d^3	^4F	^7/_2	8.0	0.218182			100	
4d^3	^4F	^9/_2	10.0	0.355163			98	
4d^3	^4P	^3/_2	4.0	1.280830			83	
4d^3	^4P	^1/_2	2.0	1.281720			93	
4d^3	^2G	^7/_2	8.0	1.435799			99	
4d^3	^4P	^5/_2	6.0	1.439703			99	
4d^3	^2G	^9/_2	10.0	1.526345			83	
4d^3	^2P	^3/_2	4.0	1.757553			45	
4d^3	^2P	^1/_2	2.0	1.778891			93	
4d^3	^2H	^9/_2	10.0	1.983143			85	
4d^3	^2H	^11/_2	12.0	2.028069			100	
4d^3	^2D2	^5/_2	6.0	2.084090			81	
4d^3	^2D2	^3/_2	4.0	2.121041			43	
4d^3	^2F	^7/_2	8.0	3.073200			99	
4d^3	^2F	^5/_2	6.0	3.112053			99	
4d^3	^2D1	^5/_2	6.0	4.825749			81	
4d^3	^2D1	^3/_2	4.0	4.863966			77	
4d^2(^3F)5s	^4F	^3/_2	4.0	7.550176			99	
4d^2(^3F)5s	^4F	^5/_2	6.0	7.640674			98	
4d^2(^3F)5s	^4F	^7/_2	8.0	7.774863			99	
4d^2(^3F)5s	^4F	^9/_2	10.0	7.940749			100	
4d^2(^3F)5s	^2F	^5/_2	6.0	8.576988			94	
4d^2(^3F)5s	^2F	^7/_2	8.0	8.847303			98	
4d^2(^3P)5s	^4P	^1/_2	2.0	8.895911			100	
4d^2(^3P)5s	^4P	^3/_2	4.0	8.947049			93	
4d^2(^3P)5s	^4P	^5/_2	6.0	8.956147			70	
4d^2(^1D)5s	^2D	^3/_2	4.0	9.175918			89	
4d^2(^1D)5s	^2D	^5/_2	6.0	9.296469			68	
4d^2(^1G)5s	^2G	^9/_2	10.0	9.807926			100	
4d^2(^1G)5s	^2G	^7/_2	8.0	9.818750			99	
4d^2(^3P)5s	^2P	^1/_2	2.0	9.906189			99	
4d^2(^3P)5s	^2P	^3/_2	4.0	10.049193			96	
4d^2(^1S)5s	^2S	^1/_2	2.0	12.371614			99	
4d^2(^3F)5p	^4G°	^5/_2	6.0	13.565762			82	
4d^2(^3F)5p	^4G°	^7/_2	8.0	13.804342			90	
4d^2(^3F)5p	^4F°	^3/_2	4.0	13.856478			75	
4d^2(^3F)5p	^4F°	^5/_2	6.0	14.000945			73	
4d^2(^3F)5p	^4G°	^9/_2	10.0	14.065142			92	
4d^2(^3F)5p	^2F°	^5/_2	6.0	14.132336			41	
4d^2(^3F)5p	^4F°	^7/_2	8.0	14.211626			90	
4d^2(^3F)5p	^2D°	^3/_2	4.0	14.222009			42	
4d^2(^3F)5p	^2F°	^7/_2	8.0	14.352679			61	
4d^2(^3F)5p	^4D°	^1/_2	2.0	14.356051			79	
4d^2(^3F)5p	^4G°	^11/_2	12.0	14.367428			100	
4d^2(^3F)5p	^4F°	^9/_2	10.0	14.377444			82	
4d^2(^3F)5p	^4D°	^5/_2	6.0	14.454551			47	
4d^2(^3F)5p	^4D°	^3/_2	4.0	14.454822			60	
4d^2(^3F)5p	^2D°	^5/_2	6.0	14.581048			32	
4d^2(^3P)5p	^2S°	^1/_2	2.0	14.620543			92	
4d^2(^3F)5p	^4D°	^7/_2	8.0	14.640075			55	
4d^2(^3F)5p	^2G°	^7/_2	8.0	14.754408			78	
4d^2(^3F)5p	^2G°	^9/_2	10.0	14.958076			73	
4d^2(^3P)5p	^4S°	^3/_2	4.0	14.980200			65	
4d^2(^3P)5p	^4D°	^1/_2	2.0	15.178054			80	
4d^25p	°	^3/_2	4.0	15.226356			31 | ^4D°	
4d^2(^3P)5p	^4D°	^3/_2	4.0	15.303722			49	
4d^2(^1D)5p	^2F°	^5/_2	6.0	15.316286			61	
4d^2(^1D)5p	°	^1/_2	2.0	15.465990			79	
4d^2(^3P)5p	^4D°	^5/_2	6.0	15.471957			69	
4d^2(^1D)5p	^2F°	^7/_2	8.0	15.491521			45	
4d^2(^1D)5p	^2D°	^3/_2	4.0	15.652161			40	
4d^2(^3P)5p	^4D°	^7/_2	8.0	15.673627			54	
4d^2(^1D)5p	^2D°	^5/_2	6.0	15.710861			46	
4d^2(^3P)5p	^4P°	^1/_2	2.0	15.716294			79	
4d^2(^1G)5p	^2G°	^9/_2	10.0	15.745880			71	
4d^2(^3P)5p	^4P°	^3/_2	4.0	15.768459			75	
4d^25p	°	^7/_2	8.0	15.836355			35 | ^2G°	
4d^2(^3P)5p	^4P°	^5/_2	6.0	15.981288			59	
4d^2(^1G)5p	^2H°	^9/_2	10.0	16.136463			87	
4d^2(^3P)5p	^2D°	^3/_2	4.0	16.328698			62	
4d^2(^1G)5p	^2H°	^11/_2	12.0	16.367448			100	
4d^2(^3P)5p	^2D°	^5/_2	6.0	16.393075			72	
4d^2(^3P)5p	^2P°	^1/_2	2.0	16.534781			94	
4d^2(^3P)5p	^2P°	^3/_2	4.0	16.643949			77	
4d^2(^1G)5p	^2F°	^7/_2	8.0	16.731799			91	
4d^2(^1G)5p	^2F°	^5/_2	6.0	16.902076			95	
4d^2(^1S)5p	^2P°	^1/_2	2.0	18.606212			94	
4d^2(^1S)5p	^2P°	^3/_2	4.0	18.939493			97	
