Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^5(^6S)5s	a ^7S	3	7.0	0.0000000	0	1.992		L10502
4d^5(^6S)5s	a ^5S	2	5.0	1.3351030		1.980		
4d^45s^2	a ^5D	0	1.0	1.3596041		0.000		
4d^45s^2	a ^5D	1	3.0	1.3815291		1.490		
4d^45s^2	a ^5D	2	5.0	1.4201599		1.498		
4d^45s^2	a ^5D	3	7.0	1.4702664		1.488		
4d^45s^2	a ^5D	4	9.0	1.5307436		1.483		
4d^5(^4G)5s	a ^5G	2	5.0	2.0632311		0.331		
4d^5(^4G)5s	a ^5G	3	7.0	2.0696564		0.918		
4d^5(^4G)5s	a ^5G	4	9.0	2.0764526		1.141		
4d^5(^4G)5s	a ^5G	6	13.0	2.0809329		1.318		
4d^5(^4G)5s	a ^5G	5	11.0	2.0810155		1.284		
4d^5(^4P)5s	a ^5P	3	7.0	2.2601268		1.636		
4d^5(^4P)5s	a ^5P	2	5.0	2.2759148		1.789		
4d^5(^4P)5s	a ^5P	1	3.0	2.2911762		2.424		
4d^5(^4D)5s	b ^5D	0	1.0	2.4759455		-0.037		
4d^5(^4D)5s	b ^5D	1	3.0	2.4958407		1.579		
4d^5(^4D)5s	b ^5D	4	9.0	2.4992489		1.482		
4d^5(^4D)5s	b ^5D	2	5.0	2.5145196		1.537		
4d^5(^4D)5s	b ^5D	3	7.0	2.5231413		1.495		
4d^45s^2	a ^3P	0	1.0	2.5549963		0.000		
4d^5(^4D)5s	a ^3D	1	3.0	2.5950420		1.056		
4d^5(^4G)5s	a ^3G	3	7.0	2.5972135		0.767		
4d^5(^4D)5s	a ^3D	2	5.0	2.5975747		1.289		
4d^5(^4G)5s	a ^3G	4	9.0	2.6227474		1.051		
4d^5(^4G)5s	a ^3G	5	11.0	2.6462200		1.213		
4d^5(^4D)5s	a ^3D	3	7.0	2.6803685		1.320		
4d^45s^2	a ^3P	1	3.0	2.7579510		0.977		
4d^45s^2	a ^3P	2	5.0	2.8362553		1.361		
4d^45s^2	a ^3F	4	9.0	2.9156714		1.117		
4d^45s^2	a ^3F	2	5.0	2.9178946		0.667		
4d^45s^2	a ^3F	3	7.0	2.9344678		1.079		
