Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2s^22p^5	^2P°	^3/_2	4.0	0.000000	0			L13237
2s^22p^5	^2P°	^1/_2	2.0	0.16943	0.00003			
2s2p^6	^2S	^1/_2	2.0	32.78824	0.00019			
2s^22p^4(^3P)3s	^4P	^5/_2	6.0	45.397361	0.000025			
2s^22p^4(^3P)3s	^4P	^3/_2	4.0	45.507242	0.000025			
2s^22p^4(^3P)3s	^4P	^1/_2	2.0	45.570413	0.000025			
2s^22p^4(^3P)3s	^2P	^3/_2	4.0	46.324504	0.000025			
2s^22p^4(^3P)3s	^2P	^1/_2	2.0	46.454388	0.000025			
2s^22p^4(^1D)3s	^2D	^5/_2	6.0	49.491356	0.000025			
2s^22p^4(^1D)3s	^2D	^3/_2	4.0	49.492299	0.000025			
2s^22p^4(^3P)3p	^4P°	^5/_2	6.0	50.361160	0.000025		99	
2s^22p^4(^3P)3p	^4P°	^3/_2	4.0	50.405854	0.000025		99	
2s^22p^4(^3P)3p	^4P°	^1/_2	2.0	50.444845	0.000025		100	
2s^22p^4(^3P)3p	^4D°	^7/_2	8.0	50.954646	0.000025		100	
2s^22p^4(^3P)3p	^4D°	^5/_2	6.0	51.024008	0.000025		97	
2s^22p^4(^3P)3p	^4D°	^3/_2	4.0	51.075511	0.000025		98	
2s^22p^4(^3P)3p	^4D°	^1/_2	2.0	51.104980	0.000025		100	
2s^22p^4(^3P)3p	^2D°	^5/_2	6.0	51.364403	0.000025		98	
2s^22p^4(^3P)3p	^2D°	^3/_2	4.0	51.474802	0.000025		98	
2s^22p^4(^3P)3p	^2S°	^1/_2	2.0	51.690167	0.000025		80	
2s^22p^4(^3P)3p	^4S°	^3/_2	4.0	51.751498	0.000025		99	
2s^22p^4(^3P)3p	^2P°	^3/_2	4.0	51.877158	0.000025		85	
2s^22p^4(^3P)3p	^2P°	^1/_2	2.0	51.894397	0.000025		69	
2s^22p^4(^1S)3s	^2S	^1/_2	2.0	53.936598	0.000019			
2s^22p^4(^1D)3p	^2F°	^5/_2	6.0	54.669617	0.000025		100	
2s^22p^4(^1D)3p	^2F°	^7/_2	8.0	54.683934	0.000025		100	
2s^22p^4(^1D)3p	^2D°	^3/_2	4.0	55.271848	0.000025		99	
2s^22p^4(^1D)3p	^2D°	^5/_2	6.0	55.281231	0.000025		100	
