Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2s^22p^6	^1S	0	1.0	0.00000	0.00025			L13237
2s^22p^53s	^3P°	2	5.0	32.846429	0.000012		100 | or	
2s^22p^53s	^3P°	1	3.0	32.941315	0.000012		96 | or	
2s^22p^53s	^3P°	0	1.0	33.014713	0.000012		100 | or	
2s^22p^53s	^1P°	1	3.0	33.322360	0.000012		96 | or	
2s^22p^53p	^3S	1	3.0	36.354688	0.000012		99 | or	
2s^22p^53p	^3D	3	7.0	36.854157	0.000012		100 | or	
2s^22p^53p	^3D	2	5.0	36.902113	0.000012		88 | or	
2s^22p^53p	^3D	1	3.0	36.967803	0.000012		91 | or	
2s^22p^53p	^1D	2	5.0	37.094827	0.000012		65 | or	
2s^22p^53p	^1P	1	3.0	37.181047	0.000012		60 | or	
2s^22p^53p	^3P	2	5.0	37.208144	0.000012		67 | or	
2s^22p^53p	^3P	0	1.0	37.243343	0.000012		100 | or	
2s^22p^53p	^3P	1	3.0	37.258133	0.000012		66 | or	
2s^22p^53p	^1S	0	1.0	38.293859	0.000012		100 | or	
2s^22p^5(^2P°_3/2)3d	^2[^1/_2]°	0	1.0	40.982896	0.000012		97 | or	
2s^22p^5(^2P°_3/2)3d	^2[^1/_2]°	1	3.0	40.993732	0.000012		74 | or	
2s^22p^5(^2P°_3/2)3d	^2[^3/_2]°	2	5.0	41.012615	0.000012		56 | or	
2s^22p^5(^2P°_3/2)3d	^2[^7/_2]°	4	9.0	41.054025	0.000012		100 | or	
2s^22p^5(^2P°_3/2)3d	^2[^7/_2]°	3	7.0	41.061918	0.000012		99 | or	
2s^22p^5(^2P°_3/2)4s	^2[^3/_2]°	2	5.0	41.100329	0.000012		68 | or	
2s^22p^5(^2P°_3/2)3d	^2[^5/_2]°	2	5.0	41.121292	0.000012		88 | or	
2s^22p^5(^2P°_3/2)3d	^2[^5/_2]°	3	7.0	41.126538	0.000012		89 | or	
2s^22p^5(^2P°_3/2)3d	^2[^3/_2]°	1	3.0	41.131145	0.000012		52 | or	
2s^22p^5(^2P°_3/2)4s	^2[^3/_2]°	1	3.0	41.147123	0.000012		63 | or	
2s^22p^5(^2P°_1/2)4s	^2[^1/_2]°	0	1.0	41.250796	0.000012		97 | or	
2s^22p^5(^2P°_1/2)3d	^2[^5/_2]°	2	5.0	41.262215	0.000012		88 | or	
2s^22p^5(^2P°_1/2)3d	^2[^5/_2]°	3	7.0	41.267140	0.000012		89 | or	
2s^22p^5(^2P°_1/2)3d	^2[^3/_2]°	2	5.0	41.282097	0.000012		85 | or	
2s^22p^5(^2P°_1/2)4s	^2[^1/_2]°	1	3.0	41.300096	0.000012		79 | or	
2s^22p^5(^2P°_1/2)3d	^2[^3/_2]°	1	3.0	41.306940	0.000012		83 | or	
2s^22p^5(^2P°_3/2)4p	^2[^1/_2]	1	3.0	42.18436	0.00006		87 | or	
2s^22p^5(^2P°_3/2)4p	^2[^5/_2]	3	7.0	42.31030	0.00006		100 | or	
2s^22p^5(^2P°_3/2)4p	^2[^5/_2]	2	5.0	42.33536	0.00006		81 | or	
2s^22p^5(^2P°_3/2)4p	^2[^3/_2]	2?	5.0	42.39107	0.00006		83 | or	
2s^22p^5(^2P°_1/2)4p	^2[^3/_2]	1	3.0	42.49417	0.00006		94 | or	
2s^22p^5(^2P°_1/2)4p	^2[^1/_2]	1	3.0	42.52298	0.00006		87 | or	
2s^22p^5(^2P°_3/2)4d	^2[^1/_2]°	0	1.0	43.76268	0.00006			
2s^22p^5(^2P°_3/2)4d	^2[^1/_2]°	1	3.0	43.77050	0.00006			
2s^22p^5(^2P°_3/2)4d	^2[^3/_2]°	2	5.0	43.78524	0.00006			
2s^22p^5(^2P°_3/2)4d	^2[^7/_2]°	4	9.0	43.79154	0.00006			
2s^22p^5(^2P°_3/2)4d	^2[^7/_2]°	3	7.0	43.79623	0.00006			
2s^22p^5(^2P°_3/2)4d	^2[^5/_2]°	2	5.0	43.82385	0.00006			
2s^22p^5(^2P°_3/2)4d	^2[^5/_2]°	3	7.0	43.82641	0.00006			
2s^22p^5(^2P°_3/2)5s	^2[^3/_2]°	2	5.0	43.83296	0.00006			
2s^22p^5(^2P°_3/2)4d	^2[^3/_2]°	1	3.0	43.84089	0.00006			
2s^22p^5(^2P°_3/2)5s	^2[^3/_2]°	1	3.0	43.85560	0.00006			
2s^22p^5(^2P°_3/2)4f	^2[^3/_2]	1	3.0	43.870225	0.000012			
2s^22p^5(^2P°_3/2)4f	^2[^3/_2]	2	5.0	43.870375	0.000012			
2s^22p^5(^2P°_3/2)4f	^2[^9/_2]	5	11.0	43.875668	0.000012			
2s^22p^5(^2P°_3/2)4f	^2[^9/_2]	4	9.0	43.875672	0.000012			
2s^22p^5(^2P°_3/2)4f	^2[^5/_2]	3	7.0	43.881208	0.000012			
2s^22p^5(^2P°_3/2)4f	^2[^5/_2]	2	5.0	43.881317	0.000012			
2s^22p^5(^2P°_3/2)4f	^2[^7/_2]	3	7.0	43.886987	0.000012			
2s^22p^5(^2P°_3/2)4f	^2[^7/_2]	4	9.0	43.887013	0.000012			
2s^22p^5(^2P°_1/2)4d	^2[^5/_2]°	2	5.0	43.95566	0.00006			
2s^22p^5(^2P°_1/2)4d	^2[^5/_2]°	3	7.0	43.95974?	0.00006			
2s^22p^5(^2P°_1/2)4d	^2[^3/_2]°	2	5.0	43.97806	0.00006			
2s^22p^5(^2P°_1/2)5s	^2[^1/_2]°	0	1.0	43.99701	0.00006			
2s^22p^5(^2P°_1/2)4d	^2[^3/_2]°	1	3.0	43.99908	0.00006			
2s^22p^5(^2P°_1/2)5s	^2[^1/_2]°	1	3.0	44.01412	0.00006			
2s^22p^5(^2P°_1/2)4f	^2[^7/_2]	3	7.0	44.049216	0.000012			
2s^22p^5(^2P°_1/2)4f	^2[^7/_2]	4	9.0	44.049250	0.000012			
2s^22p^5(^2P°_1/2)4f	^2[^5/_2]	3	7.0	44.049565	0.000012			
2s^22p^5(^2P°_1/2)4f	^2[^5/_2]	2	5.0	44.049668	0.000012			
2s^22p^5(^2P°_3/2)5d	^2[^1/_2]°	0	1.0	45.04745	0.00006			
2s^22p^5(^2P°_3/2)5d	^2[^1/_2]°	1	3.0	45.04934	0.00006			
2s^22p^5(^2P°_3/2)5d	^2[^3/_2]°	2	5.0	45.06103	0.00006			
2s^22p^5(^2P°_3/2)6s	^2[^3/_2]°	2	5.0	45.08192	0.00006			
2s^22p^5(^2P°_3/2)5d	^2[^3/_2]°	1	3.0	45.08461	0.00006			
2s^22p^5(^2P°_3/2)6s	^2[^3/_2]°	1	3.0	45.09625	0.00006			
2s^22p^5(^2P°_3/2)5f	^2[^3/_2]	1	3.0	45.10148	0.00006			
2s^22p^5(^2P°_3/2)5f	^2[^3/_2]	2	5.0	45.10161	0.00006			
2s^22p^5(^2P°_3/2)5f	^2[^9/_2]	5	11.0	45.10429	0.00006			
2s^22p^5(^2P°_3/2)5f	^2[^9/_2]	4	9.0	45.10429	0.00006			
2s^22p^5(^2P°_3/2)5f	^2[^5/_2]	3	7.0	45.10728	0.00006			
2s^22p^5(^2P°_3/2)5f	^2[^5/_2]	2	5.0	45.10736	0.00006			
2s^22p^5(^2P°_3/2)5f	^2[^7/_2]	3	7.0	45.11014	0.00006			
2s^22p^5(^2P°_3/2)5f	^2[^7/_2]	4	9.0	45.11016	0.00006			
2s^22p^5(^2P°_1/2)5d	^2[^3/_2]°	2	5.0	45.22250	0.00006			
2s^22p^5(^2P°_1/2)5d	^2[^3/_2]°	1	3.0	45.24569	0.00006			
2s^22p^5(^2P°_1/2)6s	^2[^1/_2]°	0	1.0	45.25546	0.00006			
2s^22p^5(^2P°_1/2)6s	^2[^1/_2]°	1	3.0	45.25963	0.00006			
2s^22p^5(^2P°_1/2)5f	^2[^7/_2]	3	7.0	45.275734	0.000012			
2s^22p^5(^2P°_1/2)5f	^2[^7/_2]	4	9.0	45.27577	0.00006			
2s^22p^5(^2P°_1/2)5f	^2[^5/_2]	3	7.0	45.275818	0.000012			
2s^22p^5(^2P°_3/2)6d	^2[^1/_2]°	1	3.0	45.68745	0.00006			
2s^22p^5(^2P°_3/2)7s	^2[^3/_2]°	1	3.0	45.75891	0.00006			
2s^22p^5(^2P°_3/2)6f	^2[^3/_2]	1	3.0	45.769847	0.000012			
2s^22p^5(^2P°_3/2)6f	^2[^3/_2]	2	5.0	45.769940	0.000012			
2s^22p^5(^2P°_3/2)6f	^2[^9/_2]	5	11.0	45.771486	0.000012			
2s^22p^5(^2P°_3/2)6f	^2[^9/_2]	4	9.0	45.771496	0.000012			
2s^22p^5(^2P°_3/2)6g	^2[^5/_2]°	2,3	12.0	45.772985	0.000012			
2s^22p^5(^2P°_3/2)6f	^2[^5/_2]	3	7.0	45.773292	0.000012			
2s^22p^5(^2P°_3/2)6f	^2[^5/_2]	2	5.0	45.773321	0.000012			
2s^22p^5(^2P°_3/2)6g	^2[^11/_2]°	5,6	24.0	45.773630	0.000012			
